,Dutch
0,dikke
1,rol
2,kerels
3,tijden
4,misdaad
5,homo
6,leef
7,springen
8,directeur
9,erachter
10,start
11,wezen
12,rijdt
13,duizend
14,wow
15,prins
16,antwoorden
17,raakte
18,tekenen
19,vieren
20,perfecte
21,zorgt
22,behoorlijk
23,majesteit
24,luistert
25,waarover
26,nadenken
27,volgt
28,neef
29,gestoord
30,vertaald
31,mijnheer
32,gewone
33,taak
34,Londen
35,aanvallen
36,opa
37,rook
38,geweten
39,trouw
40,signaal
41,kussen
42,ouder
43,dankzij
44,lach
45,sporen
46,jas
47,godverdomme
48,ster
49,sloeg
50,verschrikkelijk
51,vlug
52,tegenhouden
53,wonder
54,toegang
55,afdeling
56,pad
57,besloten
58,vorm
59,uren
60,stopt
61,medicijnen
62,bek
63,majoor
64,gekozen
65,beveiliging
66,ah
67,fijne
68,controleren
69,onschuldig
70,dossier
71,boel
72,durf
73,maan
74,post
75,auto's
76,betreft
77,leeftijd
78,toevallig
79,bos
80,waarin
81,ineens
82,overleden
83,Clark
84,kosten
85,gemeen
86,landen
87,enorm
88,sommigen
89,opeens
90,senator
91,gedoe
92,enorme
93,bloemen
94,steen
95,opzij
96,openen
97,tanden
98,hersenen
99,getuigen
