,Dutch
0,beweert
1,bevriend
2,belangrijks
3,geactiveerd
4,draaide
5,verklaar
6,ezel
7,tandarts
8,chirurg
9,ontkennen
10,fruit
11,allemachtig
12,speech
13,misverstand
14,vermijden
15,paradijs
16,Spaans
17,bewaard
18,behoort
19,Sheldon
20,exact
21,afdrukken
22,getrokken
23,slechtste
24,zingt
25,lijdt
26,megan
27,uitgeput
28,Burke
29,engelen
30,drama
31,mochten
32,Canada
33,beledigd
34,lage
35,dozen
36,uniek
37,bruin
38,dronk
39,vermiste
40,tegenstander
41,bronnen
42,wegkomen
43,beschuldigd
44,kroon
45,Lana
46,Ronnie
47,veranderingen
48,ruimen
49,commissie
50,fans
51,leerlingen
52,straal
53,bleven
54,cellen
55,goeiemorgen
56,bukken
57,machtig
58,ontploft
59,minuutje
60,kostuum
61,borrel
62,misselijk
63,weleens
64,klop
65,concert
66,ritje
67,artsen
68,juwelen
69,bliksem
70,verhuisd
71,Spanje
72,ambassade
73,script
74,luisterde
75,levenslang
76,opening
77,regent
78,symptomen
79,hitte
80,opent
81,gemene
82,handig
83,lamp
84,officieren
85,boer
86,reclame
87,ooh
88,opwindend
89,bedrogen
90,straling
91,hup
92,alpha
93,indianen
94,geluisterd
95,dadelijk
96,kern
97,spijtig
98,krachtig
99,gerucht
