,Dutch
0,sector
1,coördinaten
2,overeen
3,zout
4,ofzo
5,kleiner
6,traditie
7,konijn
8,symbool
9,ondervragen
10,creëren
11,afgewezen
12,politieagent
13,borg
14,zorgde
15,documenten
16,voorzien
17,Grant
18,vervolgens
19,kliniek
20,vergeleken
21,vredesnaam
22,oppakken
23,vroegen
24,defensie
25,info
26,cadeautje
27,kwade
28,eeuwige
29,flinke
30,staren
31,combinatie
32,opblazen
33,zoektocht
34,gedumpt
35,terugkeren
36,discussie
37,heuvel
38,avenue
39,nut
40,lust
41,patroon
42,bestemming
43,dient
44,verzonnen
45,wegging
46,Kirk
47,turner
48,gespannen
49,besefte
50,bloeddruk
51,bevindt
52,nachten
53,stervende
54,beleefd
55,neuk
56,hol
57,oordeel
58,ontploffen
59,eerwaarde
60,knie
61,Nina
62,buitenaardse
63,lieveling
64,demonen
65,studio
66,lawaai
67,gehele
68,verplaatst
69,waag
70,college
71,pagina
72,passie
73,mietje
74,Oliver
75,verspillen
76,lessen
77,zonden
78,techniek
79,relax
80,cirkel
81,gebeten
82,natuurlijke
83,veronderstel
84,applaus
85,schoonmaken
86,kooi
87,doodsbang
88,India
89,riskeren
90,brandstof
91,veertig
92,voeden
93,betekende
94,grazen
95,haatte
96,gewapend
97,pure
98,verrot
99,planten
