,Dutch
0,profiel
1,schulden
2,aandelen
3,riep
4,riem
5,echo
6,huil
7,schreeuw
8,logboek
9,laarzen
10,glazen
11,schamen
12,tof
13,favoriet
14,apart
15,gijzelaars
16,gefaald
17,Victoria
18,emotioneel
19,kwijtgeraakt
20,motief
21,militair
22,Curtis
23,voorbereiden
24,schuur
25,portemonnee
26,wiskunde
27,snoep
28,stevig
29,privacy
30,service
31,accepteer
32,populair
33,koninklijke
34,kindje
35,benieuwd
36,verzeker
37,senaat
38,Sid
39,winkelen
40,voorgesteld
41,Manhattan
42,internationale
43,juli
44,ervaren
45,weigeren
46,rob
47,hoofdstuk
48,toegestaan
49,toestaan
50,naderen
51,openbare
52,steelt
53,heerlijke
54,doorgeven
55,incident
56,douchen
57,all-in-one
58,bedreigd
59,reeds
60,Duke
61,geleefd
62,kleintje
63,noemden
64,oktober
65,geslaagd
66,Führer
67,heroïne
68,verloofd
69,opzet
70,misdaden
71,delta
72,star
73,vervloekt
74,achteraan
75,verbergt
76,gestoorde
77,passagiers
78,heelal
79,bloedt
80,gestraft
81,Virginia
82,versieren
83,verwoest
84,zowat
85,gesprekken
86,schei
87,porno
88,bevat
89,daarnet
90,pijp
91,begaan
92,verbind
93,uiterlijk
94,ontvoering
95,aangeven
96,schoen
97,verstop
98,Island
99,klimmen
