,Dutch
0,sterren
1,papier
2,gezelschap
3,jouwe
4,koers
5,doorheen
6,kilo
7,stukken
8,volle
9,storm
10,harde
11,data
12,black
13,beslist
14,vloer
15,geheugen
16,reken
17,liedje
18,blijkt
19,contract
20,eigenaar
21,verdiend
22,ernstig
23,bende
24,pers
25,gozer
26,lid
27,hiervoor
28,uitgenodigd
29,blauw
30,taart
31,steun
32,moeders
33,stilte
34,toeval
35,cent
36,gevangene
37,verliest
38,eenheid
39,roepen
40,wiens
41,dader
42,aannemen
43,talent
44,herinnert
45,hemelsnaam
46,vandoor
47,ondertiteling
48,borst
49,you
50,koken
51,westen
52,lenen
53,dans
54,aandoen
55,omgeving
56,miljoenen
57,vergissing
58,schepen
59,gezond
60,ren
61,bijvoorbeeld
62,tegenover
63,verstopt
64,korte
65,vreselijke
66,Chicago
67,klus
68,graden
69,sterke
70,groene
71,jazeker
72,beslissen
73,zuiden
74,lord
75,gaande
76,verdieping
77,magie
78,erom
79,snelheid
80,voren
81,kunst
82,kelder
83,redt
84,arresteren
85,gewacht
86,kwestie
87,bidden
88,beelden
89,niveau
90,hartelijk
91,geduld
92,gespeeld
93,schattig
94,nauwelijks
95,pond
96,bepaald
97,King
98,ruim
99,leerde
