,Dutch,POS,Translation
700,verdomde,Verb,damn
701,hierheen,Noun,here
702,punt,Noun,point
703,toekomst,Noun,future
704,probeerde,Verb,attempted
705,half,Adjective,half
706,leger,Noun,army
707,waard,Adjective,worth
708,opnieuw,Adverb,again
709,val,Noun,fall
710,vuur,Noun,firework
711,bewijs,Noun,proof
712,controle,Noun,check
713,stellen,Verb,set
714,tv,Noun,TV
715,loop,Noun,walk
716,woorden,Noun,words
717,droom,Noun,dream
718,begrijpen,Verb,to understand
719,eet,Verb,eat
720,bedoelt,Verb,means
721,onzin,Noun,nonsense
722,serieus,Adjective,serious
723,konden,Auxiliary,could
724,nietwaar,Interjection,not true
725,verlaten,Verb,to leave
726,pistool,Noun,pistol
727,gekregen,Verb,got
728,men,Pronoun,men
729,brengt,Verb,brings
730,fantastisch,Adjective,fantastic
731,trots,Adjective,pride
732,ziens,Adverb,goodbye
733,ongeluk,Noun,accident
734,geheim,Noun,secret
735,vroeger,Adjective,earlier
736,veranderd,Verb,changed
737,eentje,Numeral,one
738,werden,Auxiliary,became
739,begon,Verb,began
740,verliezen,Verb,to lose
741,probeert,Verb,tries
742,vliegtuig,Noun,aeroplane
743,let,Noun,please
744,slim,Adjective,smart
745,juiste,Adjective,right one
746,langer,Adjective,longer
747,slaap,Verb,sleep
748,lezen,Verb,read
749,ongeveer,Adverb,about
750,behalve,Conjunction,except
751,meid,Noun,girl
752,oom,Noun,uncle
753,gered,Verb,saved
754,bank,Noun,Bank
755,generaal,Noun,general
756,dienst,Noun,employ
757,tenminste,Adverb,at least
758,lief,Adjective,sweet
759,noem,Verb,name
760,gedood,Verb,killed
761,vraagt,Verb,asks
762,boos,Adjective,angry
763,spullen,Verb,stuff
764,volgen,Verb,to follow
765,sturen,Verb,to steer
766,hemel,Noun,heaven
767,makkelijk,Adjective,comfortable
768,ter,Preposition,ter
769,genomen,Verb,taken
770,grootste,Adjective,largest
771,gebeurde,Verb,happened
772,kwamen,Verb,came
773,excuseer,Proper noun,excuse me
774,meter,Noun,meters
775,weinig,Adverb,few
776,iedere,Determiner,every
777,moordenaar,Noun,killer
778,luisteren,Verb,listen
779,begrijpt,Verb,understands
780,gevaar,Noun,danger
781,ieder,Pronoun,every
782,sommige,Determiner,some
783,via,Preposition,through
784,succes,Noun,good luck
785,vertrekken,Verb,to leave
786,muziek,Noun,music
787,gestolen,Verb,stolen
788,meest,Adverb,most
789,hoef,Verb,hoof
790,advocaat,Noun,lawyer
791,kijkt,Verb,looks
792,helpt,Verb,helps
793,afspraak,Noun,appointment
794,maand,Noun,month
795,zwarte,Adjective,black
796,seconden,Noun,seconds
797,sterk,Adjective,strong
798,foto's,Noun,photos
799,lijken,Verb,corpses
