,Dutch
0,halve
1,verdwijnen
2,gelogen
3,past
4,bespreken
5,motor
6,ontsnapt
7,momentje
8,ontbijt
9,toilet
10,uitzoeken
11,volwassen
12,eeuwig
13,afmaken
14,dol
15,terecht
16,oren
17,machine
18,verpest
19,verlaat
20,klootzakken
21,top
22,gemakkelijk
23,gearresteerd
24,doos
25,geschoten
26,gegeten
27,betaalt
28,rare
29,big
30,ochtend
31,ruikt
32,huid
33,trut
34,verhalen
35,verraden
36,tonen
37,hopen
38,virus
39,bedoeling
40,officier
41,schreef
42,krachten
43,papieren
44,bijzonder
45,betekenen
46,opnemen
47,strand
48,rapport
49,binnenkort
50,twijfel
51,inspecteur
52,gekke
53,veld
54,rechercheur
55,lunch
56,ondertitel
57,opstaan
58,lui
59,gezocht
60,ophalen
61,verslaan
62,ergste
63,drankje
64,publiek
65,nerveus
66,gedrag
67,troep
68,lab
69,roken
70,keren
71,zocht
72,bad
73,dik
74,vaders
75,alarm
76,akkoord
77,doelwit
78,vaker
79,schade
80,bruiloft
81,gegevens
82,genoemd
83,terugkomen
84,vernietigd
85,steken
86,geweld
87,vergeven
88,Amerikanen
89,mening
90,kies
91,type
92,bedacht
93,belangrijkste
94,las
95,grens
96,paniek
97,universiteit
98,verboden
99,west
