,index,Dutch,Frequency,cumsum
0,600,nieuw,28626,86.44454277546964
1,601,elk,28596,86.4604752764897
2,602,erin,28567,86.47639161991675
3,603,ontmoeten,28519,86.4922812197416
4,604,vechten,28506,86.5081635765075
5,605,voorzichtig,28378,86.52397461700083
6,606,geworden,28370,86.53978120022713
7,607,enkel,28204,86.55549529516242
8,608,kwijt,28134,86.57117038901116
9,609,noemen,28031,86.5867880955468
10,610,valt,27984,86.60237961563861
11,611,prachtig,27978,86.61796779278014
12,612,rijden,27944,86.63353702653677
13,613,zin,27837,86.64904664434678
14,614,hield,27783,86.66452617560432
15,615,daarna,27523,86.67986084568318
16,616,mens,27427,86.69514202855761
17,617,schieten,27073,86.7102259773657
18,618,grappig,27044,86.72529376858078
19,619,stap,26802,86.74022672746803
20,620,zichzelf,26750,86.75513071411953
21,621,kantoor,26717,86.77001631454452
22,622,wapens,26652,86.78486569967484
23,623,normaal,26650,86.7997139704884
24,624,slechte,26611,86.81454051212516
25,625,maakte,26600,86.82936092501974
26,626,moord,26566,86.84416239452943
27,627,gebeld,26509,86.85893210601148
28,628,ervoor,26424,86.87365445903127
29,629,ten,26269,86.88829045250225
30,630,heer,26242,86.90291140269697
31,631,loopt,26221,86.91752065256573
32,632,einde,26138,86.93208365828899
33,633,gegaan,26104,86.94662772062735
34,634,gang,26099,86.9611689971738
35,635,vertelde,26079,86.97569913055267
36,636,spel,25676,86.99000472910461
37,637,informatie,25674,87.00430921333978
38,638,frank,25625,87.01858639681436
39,639,dames,25561,87.03282792215265
40,640,naartoe,25478,87.04702320334545
41,641,allebei,25469,87.06121347011282
42,642,leg,25435,87.07538479349529
43,643,acht,25262,87.0894597284781
44,644,pap,25250,87.10352797756038
45,645,seks,25173,87.11755332544742
46,646,minder,25151,87.13156641585012
47,647,gevoel,25137,87.1455717060355
48,648,trouwen,25044,87.1595251804916
49,649,nogal,25035,87.17347364052227
50,650,eh,25007,87.18740650011831
51,651,voelen,24924,87.20129311556887
52,652,begint,24760,87.21508835704519
53,653,plezier,24708,87.22885462628577
54,654,meisjes,24686,87.242608638042
55,655,stuur,24661,87.25634872083874
56,656,foto,24485,87.26999074376069
57,657,vreemd,24462,87.28361995203991
58,658,zomaar,24284,87.2971499861276
59,659,verkeerd,24278,87.310676677265
60,660,zeven,24259,87.32419278239317
61,661,lucht,24202,87.33767712949373
62,662,grond,24177,87.3511475476348
63,663,leeft,24157,87.36460682260828
64,664,nam,24117,87.37804381124657
65,665,pardon,24108,87.39147578545946
66,666,verwacht,24104,87.40490553103882
67,667,kopen,24100,87.41833304798467
68,668,koffie,24099,87.43176000777214
69,669,onderzoek,24067,87.44516913849145
70,670,gesproken,24049,87.45856824035995
71,671,herinner,23992,87.4719355842008
72,672,idioot,23990,87.48530181372492
73,673,ziekenhuis,23934,87.49863684237977
74,674,daarmee,23910,87.5119584992335
75,675,shit,23893,87.5252706843948
76,676,eindelijk,23795,87.5385282680349
