Unnamed: 0.1,Unnamed: 0,French,POS,ChatGPT_Sentence,Translation
0,0,être,"verb, auxiliary verb, noun","Être ici est important si tu veux venir.

Being here is important if you want to come.",be
1,1,avoir,"verb, auxiliary verb","J'ai le voir.
I have seen him.",to have
2,2,je,personal pronoun,"Je te donne des livres.
I give you some books.",I
3,3,de,preposition,"Sa maison est près de la petit école.
Her house is near the small school.",of
4,4,ne,adverb,"Je ne sais pas qui est en retard.
I do not know who is late.",born
5,5,pas,"adverb, noun","Je ne pense pas à cette idée.
I do not think about this idea.",not
6,6,le,"definite article, personal pronoun","Le chat est à toi, ce n'est pas le mien.
The cat is yours, it is not mine.",THE
7,7,la,"definite article, personal pronoun","La fille s'en va.
The girl is leaving.",there
8,8,tu,personal pronoun,"Tu es en train de lire son livre.
You are reading his book.",you
9,9,vous,personal pronoun,"Comment allez-vous, elle demande.  
How are you, she asks.",YOU
10,10,il,personal pronoun,"Il aime cette chanson comme moi.
He likes this song like me.",he
11,11,et,conjunction,"Les enfants jouent et passent du temps ensemble.
The children play and spend time together.",And
12,12,à,preposition,"Alors, nous allons à la plage.
Then, we are going to the beach.",has
13,13,un,indefinite article,"Mes amis ont un chat.  
My friends have a cat.",A
14,14,l',"definite article, personal pronoun","L'enfant croit que c'est bon.
The child believes that it is good.",L'
15,15,qui,"relative pronoun, interrogative pronoun","Qui sont les amis de ta sœur ?
Who are the friends of your sister?",Who
16,16,aller,verb,"L'enfant va sur le pont.
The child goes on the bridge.",go
17,17,les,"definite article, personal pronoun","Les enfants jouent à mon jardin.
The children play in my garden.",THE
18,18,en,"preposition, personal pronoun, adverb","Le petit chat en mange.
The little cat eats some.",in
19,19,ça,demonstrative pronoun,"Non, ça ne va pas à la fête.
No, that is not going to the party.",That
20,20,faire,verb,"Cette fille aime faire l'art.
This girl likes to do art.",TO DO
21,21,tout,"adjective, indefinite adjective, indefinite pronoun, adverb, noun","Tout le monde est très curieux de savoir comment tout cela fonctionne.

Everyone is very curious to know how all of this works.",All
22,22,on,personal pronoun,"On mange dans cette maison.
We eat in this house.",we
23,23,que,"relative pronoun, interrogative pronoun","Que veux-tu être, mais pourquoi?  
What do you want to be, but why?",that
24,24,ce,"demonstrative pronoun, demonstrative adjective","Ce livre est comme celui que je veux trouver.
This book is like the one I want to find.",This
25,25,une,indefinite article,"Il y a une pomme dans le panier du marché.
There is an apple in the basket from the market.",a
26,26,mes,possessive adjective,"Mes amis ont une voiture alors nous pouvons partir.
My friends have a car so we can leave.",my
27,27,d',preposition,"Je veux parler d'amour avec toi.
I want to talk about love with you.",of
28,28,pour,preposition,"Je fais ça pour de bonnes raisons.
I do that for good reasons.",For
29,29,se,personal pronoun,"Elle ne se laisse pas croire une histoire si étrange.
She doesn't let herself believe such a strange story.",se
30,30,des,indefinite article,"Je vais attendre des amis à la gare.
I am going to wait for some friends at the station.",of the
31,31,dire,"verb, noun","Cette phrase est difficile à dire comme ça.  
This sentence is hard to say like that.",say
32,32,pouvoir,"verb, noun","Je pense que le pouvoir est important, mais il faut savoir l'utiliser.

I think that power is important, but you have to know how to use it.",power
33,33,vouloir,verb,"Je veux que tu restes ici.
I want you to stay here.",to want
34,34,mais,conjunction,"Je veux du pain et du fromage, mais quoi d'autre?
I want bread and cheese, but what else?",but
35,35,me,personal pronoun,"Ils me donnent mon livre.
They give me my book.",me
36,36,nous,personal pronoun,"Nous aimons des livres à la bibliothèque.
We like some books at the library.",We
37,37,dans,preposition,"Il y a une chose dans la boîte en carton.
There is a thing in the cardboard box.",In
38,38,elle,personal pronoun,"Elle va bien là-bas.  
She is doing well there.",She
39,39,savoir,verb,"Merci pour m'avoir aidé avec ce problème, je veux savoir comment le résoudre.

Thank you for helping me with this problem, I want to know how to solve it.",know
40,40,du,definite article,"Il y a du pain très frais, ça sent bon.
There is some very fresh bread, it smells good.",of
41,41,où,"relative pronoun, interrogative pronoun","Je ne sais pas où j'ai mis une chose dans la maison.
I don't know where I put a thing in the house.",Or
42,42,y,personal pronoun,"J'y vais avec mon frère et les amis.
I am going there with my brother and the friends.",y
43,43,t',personal pronoun,"Je t'invite à voir ces films.
I invite you to see these movies.",you
44,44,bien,"adverb, noun","Bien faire est aussi important.

Doing well is also important.",GOOD
45,45,voir,verb,"Alors, je veux voir ça.  
So, I want to see that.",see
46,46,plus,adverb,"Je veux aller dans un endroit plus calme.
I want to go to a quieter place.",more
47,47,non,adverb,"Non, il ne lui parle pas.  
No, he does not speak to him.",No
48,48,te,personal pronoun,"Je te donne un petit cadeau, moi.
I give you a small gift, me.",you
49,49,mon,possessive adjective,"Mon frère ne fait rien.
My brother does nothing.",My
50,50,au,definite article,"Je veux dire plus au professeur.
I want to say more to the teacher.",At
51,51,avec,preposition,"Je pense avec vous.
I think with you.",with
52,52,moi,personal pronoun,"Ils ont le même livre que moi.
They have the same book as me.",Me
53,53,si,"adverb, conjunction","Si tu veux, tu peux prendre ces livres pour ta sœur.
If you want, you can take these books for your sister.",if
54,54,quoi,"adjective, relative pronoun, interrogative pronoun","L'homme ne sait pas quoi faire.
The man does not know what to do.",What
55,55,devoir,"verb, noun","Je dois faire du devoir ce soir.
I have to do some homework tonight.",duty
56,56,oui,adverb,"Oui, je veux parler et prendre un café.

Yes, I want to talk and have a coffee.",Yes
57,57,ils,personal pronoun,"Où sont ces livres qu'ils ont pris?

Where are those books that they took?",they
58,58,comme,"conjunction, adverb","Je pense que tu devrais venir comme tu es.

I think you should come as you are.",as
59,59,s',"personal pronoun, conjunction","Tu t'amuses et tu ris.
You have fun and you laugh.",if
