,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,2800,ras,3823,noun,ras,race breed strain
1,1,2801,zekerheid,3817,noun,zekerheid,certainty assurance safety
2,2,2802,resultaat,3816,noun,resultaat,result outcome product
3,3,2803,geschikt,3816,adjective,geschikt,suitable suited appropriate
4,4,2804,psychiater,3816,noun,psychiater,psychiatrist alienist
5,5,2805,ontspan,3809,interjection,Ontspan!,Relax!
6,6,2806,zekere,3809,adjective,zeker,sure certain confident
7,7,2807,instructies,3804,noun,instructie,instruction directive direction
8,8,2808,scène,3803,noun,scène,scene
9,9,2809,dagboek,3801,noun,dagboek,diary journal logbook
10,10,2810,daarboven,3799,adverb,daarboven,above therewithal
11,11,2811,gevoelig,3799,adjective,gevoelig,sensitive delicate tender
12,12,2812,overkant,3799,noun,overkant,other side the opposite side
13,13,2813,interessante,3798,adjective,interessant,interesting tasty
14,14,2814,beesten,3797,noun,beest,beast brute carcase
15,15,2815,organisatie,3797,noun,organisatie,organization organism bureaux
16,16,2816,bekende,3797,noun,bekende,acquaintance
17,17,2817,penis,3796,noun,penis,penis cock dick
18,18,2818,student,3792,noun,student,student scholar colleger
19,19,2819,tovenaar,3791,noun,tovenaar,wizard magician sorcerer
20,20,2820,commando,3790,noun,commando,command
21,21,2821,fort,3787,noun,fort,fort fortress fortification
22,22,2822,tranen,3784,noun,tranen,weeping water
23,23,2823,gelegd,3784,verb,leggen,lay put set
24,24,2824,verstandig,3780,adjective,verstandig,wise sensible prudent
25,25,2825,verdachten,3778,noun,verdachte,suspect accused indictee
26,26,2826,mijzelf,3777,pronoun,mijzelf,myself
27,27,2827,lacht,3775,verb,lachen,laugh smile
28,28,2828,voorgoed,3775,adverb,voorgoed,permanently positively definitely
29,29,2829,uitgeschakeld,3772,adjective,uitgeschakeld,out of gear
30,30,2830,blazen,3772,verb,blazen,blow puff toot
31,31,2831,verpesten,3772,verb,verpesten,screw up infest poison
32,32,2832,beet,3771,noun,beet,bite snap morsel
33,33,2833,geraken,3770,verb,geraken,get find oneself on fly into
34,34,2834,meekomen,3770,verb,meekomen,come along with
35,35,2835,hartaanval,3769,noun,hartaanval,heart attack infarct
36,36,2836,schoft,3768,noun,schoft,withers shoulder blackguard
37,37,2837,politieke,3765,adjective,politiek,political politic
38,38,2838,repareren,3761,verb,repareren,repair mend refit
39,39,2839,bierdopje,3758,No Google Info,No Google Info,No Google Info
40,40,2840,veroorzaken,3755,verb,veroorzaken,cause induce provoke
41,41,2841,zusje,3755,noun,zusje,sissy
42,42,2842,Linda,3755,No Google Info,No Google Info,No Google Info
43,43,2843,at,3753,verb,eten,food eat meal
44,44,2844,herkennen,3751,verb,herkennen,recognize identify know
45,45,2845,koekjes,3749,No Google Info,No Google Info,No Google Info
46,46,2846,schakel,3748,noun,schakel,link shackle clasp
47,47,2847,personen,3747,noun,personen,persons people
48,48,2848,staart,3745,noun,staart,tail tailing queue
49,49,2849,optie,3743,noun,optie,option choice election
50,50,2850,beschermd,3740,verb,beschermen,protect safeguard guard
51,51,2851,schutter,3738,noun,schutter,shooter marksman shot
52,52,2852,lelijke,3736,adjective,lelijk,ugly unsightly nasty
53,53,2853,oost,3732,adjective,oost,east
54,54,2854,gok,3732,noun,gok,gambling
55,55,2855,heleboel,3730,adjective,heleboel,quiverful
56,56,2856,geopend,3726,adjective,geopend,unclosed free-for-all
57,57,2857,admiraal,3725,noun,admiraal,admiral
58,58,2858,stress,3724,No Google Info,No Google Info,No Google Info
59,59,2859,teams,3724,noun,team,team side detachment
60,60,2860,eeuwen,3723,noun,eeuw,century centennial
61,61,2861,resultaten,3723,noun,resultaat,result outcome product
62,62,2862,vaste,3723,adjective,vast,fixed solid set
63,63,2863,geboorte,3720,noun,geboorte,birth nativity giving birth
64,64,2864,bevestigen,3718,verb,bevestigen,confirm affirm secure
65,65,2865,drukken,3718,verb,drukken,print press squeeze
66,66,2866,Britse,3718,adjective,Brits,British Britannic
67,67,2867,feesten,3716,verb,feesten,celebrate
68,68,2868,gevolgen,3715,noun,gevolg,result consequence effect
69,69,2869,vers,3714,adjective,vers,fresh new wet
70,70,2870,Duitsland,3712,noun,Duitsland,Germany
71,71,2871,beloofde,3712,verb,beloven,promise make a promise plight
72,72,2872,degenen,3709,pronoun,degenen,those such
73,73,2873,helden,3707,adjective,helden-,heroic
74,74,2874,little,3707,No Google Info,No Google Info,No Google Info
75,75,2875,uitziet,3706,No Google Info,No Google Info,No Google Info
76,76,2876,sneeuw,3705,noun,sneeuw,snow
77,77,2877,jungle,3705,No Google Info,No Google Info,No Google Info
78,78,2878,geruchten,3704,noun,gerucht,rumor report noise
79,79,2879,proef,3702,noun,proef,test experiment proof
80,80,2880,baby's,3701,noun,baby,baby nursling nurseling
81,81,2881,middel,3699,noun,middel,means agent way
82,82,2882,Vietnam,3699,noun,Vietnam,Vietnam
83,83,2883,gezichten,3698,noun,gezicht,face sight vision
84,84,2884,Angela,3698,No Google Info,No Google Info,No Google Info
85,85,2885,kopie,3697,noun,kopie,copy replica replication
86,86,2886,releases,3697,No Google Info,No Google Info,No Google Info
87,87,2887,slagen,3696,verb,slagen,succeed make the grade get through
88,88,2888,flikker,3696,No Google Info,No Google Info,No Google Info
