,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,2000,wellicht,5884,adverb,wellicht,perhaps maybe perchance
1,1,2001,gedronken,5882,verb,drinken,drink take a drink bib
2,2,2002,daarheen,5880,adverb,daarheen,there thereto thereunto
3,3,2003,herken,5877,verb,herkennen,recognize identify know
4,4,2004,gas,5861,noun,gas,gas fluid xenon
5,5,2005,knieën,5843,noun,knie,knee
6,6,2006,ontdekken,5839,verb,ontdekken,discover find detect
7,7,2007,bedoeld,5825,adjective,bedoeld,intentional
8,8,2008,verbonden,5824,adjective,verbonden,confederate allied joint
9,9,2009,smaak,5823,noun,smaak,taste flavor liking
10,10,2010,job,5808,noun,Job,Job
11,11,2011,reactie,5805,noun,reactie,reaction revulsion repercussion
12,12,2012,bescherming,5796,noun,bescherming,protection safeguard security
13,13,2013,bevelen,5795,verb,bevelen,order command enjoin
14,14,2014,vervangen,5795,verb,vervangen,substitute supersede relieve
15,15,2015,huh,5788,No Google Info,No Google Info,No Google Info
16,16,2016,tellen,5788,verb,tellen,count number tell
17,17,2017,mogelijkheid,5780,noun,mogelijkheid,possibility opportunity possible
18,18,2018,moeilijke,5773,adjective,moeilijk,difficult tough tight
19,19,2019,Nathan,5762,No Google Info,No Google Info,No Google Info
20,20,2020,achterlaten,5759,verb,achterlaten,leave leave behind vacate
21,21,2021,voorstel,5755,noun,voorstel,proposal suggestion proposition
22,22,2022,afspraakje,5752,noun,afspraakje,date
23,23,2023,Angeles,5742,No Google Info,No Google Info,No Google Info
24,24,2024,vlieg,5740,noun,vlieg,fly housefly gad-fly
25,25,2025,dekking,5739,noun,dekking,cover covering provision
26,26,2026,wed,5739,noun,wed,watering place water hole
27,27,2027,ho,5736,interjection,Ho!,Whoa!
28,28,2028,pillen,5736,noun,pil,pill bolus pilule
29,29,2029,Europa,5731,noun,Europa,Europe Old World
30,30,2030,wetenschap,5728,noun,wetenschap,science knowledge scholarship
31,31,2031,naakt,5720,adjective,naakt,naked nude bare
32,32,2032,pauze,5719,noun,pauze,pause intermission rest
33,33,2033,vrees,5716,noun,vrees,fear apprehension dread
34,34,2034,schrijft,5703,verb,schrijven,write pen scribe
35,35,2035,waarde,5701,noun,waarde,value worth valuable
36,36,2036,priester,5698,noun,priester,priest high priest
37,37,2037,natuur,5692,noun,natuur,nature kind make
38,38,2038,pik,5692,noun,pik,cock prick peck
39,39,2039,binnenkomen,5691,verb,binnenkomen,come in enter get in
40,40,2040,detective,5688,noun,detective,detective sleuth detective story
41,41,2041,gerust,5687,adjective,gerust,safe easy quiet
42,42,2042,maandag,5687,noun,maandag,Monday
43,43,2043,volledige,5673,adjective,volledig,full complete entire
44,44,2044,beer,5671,noun,beer,bear buttress abutment
45,45,2045,meerdere,5670,noun,meerdere,superior overmatch
46,46,2046,heks,5667,noun,heks,witch hag gypsy
47,47,2047,assistent,5656,noun,assistent,assistant aide helper
48,48,2048,eeuw,5646,noun,eeuw,century centennial
49,49,2049,toegeven,5636,verb,toegeven,admit concede acknowledge
50,50,2050,spring,5629,verb,springen,jump skip leap
51,51,2051,verhuizen,5628,verb,verhuizen,move move out move house
52,52,2052,vermoordde,5626,verb,vermoorden,murder assassinate slay
53,53,2053,verstoppen,5622,verb,verstoppen,hide clog obstruct
54,54,2054,brood,5621,noun,brood,bread loaf
55,55,2055,bemanning,5620,noun,bemanning,hands
56,56,2056,troepen,5618,noun,troep,flock gang troop
57,57,2057,zwijg,5616,interjection,Zwijg!,Dry up!
58,58,2058,zondag,5613,noun,zondag,Sunday
59,59,2059,dienen,5611,auxiliary verb,dienen,should
60,60,2060,Rose,5605,adjective,rose,rose pink
61,61,2061,Roger,5603,No Google Info,No Google Info,No Google Info
62,62,2062,opgenomen,5603,verb,opnemen,record take receive
