,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,1200,vlees,11262,noun,vlees,meat flesh pulp
1,1,1201,richting,11250,noun,richting,direction way course
2,2,1202,ruzie,11241,noun,ruzie,quarrel brawl wrangle
3,3,1203,verdient,11240,verb,verdienen,earn make deserve
4,4,1204,gesloten,11227,adjective,gesloten,closed close secretive
5,5,1205,welterusten,11225,interjection,Welterusten!,Good night!
6,6,1206,belachelijk,11216,adjective,belachelijk,ridiculous ludicrous laughable
7,7,1207,rekening,11199,noun,rekening,account bill invoice
8,8,1208,verdorie,11194,interjection,Verdorie!,Shucks!
9,9,1209,ach,11172,interjection,Ach!,Oh! Ah! Aha!
10,10,1210,monster,11168,noun,monster,sample monster specimen
11,11,1211,verrassing,11162,noun,verrassing,surprise abruptness surprise attack
12,12,1212,rechter,11138,adjective,rechter,right off right-hand
13,13,1213,ontsnappen,11133,verb,ontsnappen,escape evade elude
14,14,1214,gasten,11121,noun,gast,guest invitee
15,15,1215,radio,11116,noun,radio,radio wireless
16,16,1216,energie,11113,noun,energie,energy vigor life
17,17,1217,kennis,11104,noun,kennis,knowledge acquaintance cognizance
18,18,1218,verlies,11100,noun,verlies,loss waste bereavement
19,19,1219,verschillende,11093,verb,verschillen,differ disagree disseminate
20,20,1220,tas,11059,noun,tas,bag purse briefcase
21,21,1221,veiligheid,11018,noun,veiligheid,safety security fuse
22,22,1222,draagt,11016,verb,dragen,wear bear carry
23,23,1223,enig,11011,adverb,enig,any solely
24,24,1224,voet,11004,noun,voet,foot sole hoof
25,25,1225,weekend,10991,noun,weekend,weekend
26,26,1226,haalt,10978,verb,halen,catch fetch bring
27,27,1227,wijn,10969,noun,wijn,wine vine
28,28,1228,verschil,10964,noun,verschil,difference discrepancy dissimilarity
29,29,1229,verkocht,10953,verb,verkopen,sell market auctioneer
30,30,1230,stoel,10943,noun,stoel,chair seat pew
31,31,1231,commandant,10874,noun,commandant,commander commandant captain
32,32,1232,gat,10873,noun,gat,hole gap opening
33,33,1233,mes,10854,noun,mes,knife blade chive
34,34,1234,beslissing,10849,noun,beslissing,decision resolution determination
35,35,1235,boom,10846,noun,boom,tree boom spar
36,36,1236,glas,10797,noun,glas,glass bell bloom
37,37,1237,basis,10771,noun,basis,basis base fundamental
38,38,1238,schrijf,10751,adjective,schrijf-,writing graphic graphical
39,39,1239,reet,10746,noun,reet,crack chink
40,40,1240,knul,10742,noun,knul,guy chap
41,41,1241,captain,10724,noun,captain,captain
42,42,1242,der,10721,No Google Info,No Google Info,No Google Info
43,43,1243,verjaardag,10711,noun,verjaardag,birthday anniversary fortieth
44,44,1244,geregeld,10706,adverb,geregeld,regularly steadily
45,45,1245,procent,10701,noun,procent,per cent percentage
46,46,1246,neergeschoten,10698,verb,neerschieten,shoot pop down down
47,47,1247,spoor,10691,noun,spoor,track trace railway
48,48,1248,kilometer,10691,noun,kilometer,kilometer kilometre
49,49,1249,bezorgd,10681,adjective,bezorgd,concerned worried anxious
50,50,1250,opdracht,10678,noun,opdracht,command mission commission
51,51,1251,gevangen,10667,adjective,gevangen,captive hooked
52,52,1252,hoek,10644,noun,hoek,corner angle hook
53,53,1253,vanmorgen,10639,adjective,van morgen,tomorrow
54,54,1254,verandert,10634,verb,veranderen,change alter turn
55,55,1255,vis,10629,noun,vis,fish
56,56,1256,waarvan,10621,pronoun,waarvan,whose
57,57,1257,heilige,10606,noun,heilige,saint
58,58,1258,hoge,10592,adjective,hoog,high tall steep
59,59,1259,excuses,10580,noun,excuus,excuse
60,60,1260,bedoelde,10577,verb,bedoelen,mean intend design
61,61,1261,klas,10526,noun,klas,class classroom
62,62,1262,kogel,10524,noun,kogel,ball bullet shot
63,63,1263,simpel,10497,adjective,simpel,simple dull stupid
64,64,1264,hoogte,10492,noun,hoogte,height altitude level
65,65,1265,honden,10491,noun,honden,canis
66,66,1266,waarmee,10476,No Google Info,No Google Info,No Google Info
67,67,1267,goud,10474,noun,goud,gold gilt
68,68,1268,wens,10473,noun,wens,wish desire want
69,69,1269,prachtige,10464,adjective,prachtig,wonderful magnificent gorgeous
70,70,1270,zakken,10439,verb,zakken,lower sink subside
71,71,1271,eenmaal,10405,adverb,eenmaal,once ever
72,72,1272,kat,10404,noun,kat,cat puss gib
73,73,1273,plaatsen,10402,verb,plaatsen,place put set
74,74,1274,rood,10396,adjective,rood,red ruddy flush
75,75,1275,sleutels,10393,noun,sleutel,key clef damper
76,76,1276,ware,10389,adjective,waar,true real authentic
77,77,1277,onderzoeken,10380,verb,onderzoeken,examine investigate research
78,78,1278,dachten,10371,verb,denken,think think of conceive
79,79,1279,vrijheid,10364,noun,vrijheid,freedom liberty latitude
80,80,1280,sprak,10358,verb,spreken,speak talk see
