,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,3200,verkeer,3252,noun,verkeer,traffic intercourse commerce
1,1,3201,rit,3252,noun,rit,ride drive tour
2,2,3202,paspoort,3251,noun,paspoort,passport
3,3,3203,verzekering,3249,noun,verzekering,insurance assurance warrant
4,4,3204,vandaar,3249,adverb,vandaar,hence thence there
5,5,3205,jongetje,3248,noun,jongetje,brat
6,6,3206,waanzin,3245,noun,waanzin,frenzy mania delirium
7,7,3207,bestellen,3245,verb,bestellen,order deliver bespeak
8,8,3208,mobiel,3245,adjective,mobiel,mobile
9,9,3209,vrouwelijke,3241,adjective,vrouwelijk,female feminine woman
10,10,3210,doof,3240,adjective,doof,deaf
11,11,3211,werkelijkheid,3240,noun,werkelijkheid,fact actuality the real
12,12,3212,zusters,3237,noun,zuster,sister nurse sibling
13,13,3213,ruilen,3235,verb,ruilen,exchange trade swap
14,14,3214,kopje,3235,noun,kopje,cup dobbin
15,15,3215,Todd,3232,No Google Info,No Google Info,No Google Info
16,16,3216,Olivia,3231,No Google Info,No Google Info,No Google Info
17,17,3217,inclusief,3228,adjective,inclusief,including inclusive
18,18,3218,gif,3228,noun,gif,poison toxic virus
19,19,3219,verzinnen,3226,verb,verzinnen,invent make up devise
20,20,3220,satelliet,3225,noun,satelliet,satellite orbiter secondary
21,21,3221,betekenis,3224,noun,betekenis,meaning significance sense
22,22,3222,motoren,3223,noun,motor,engine motor motorcycle
23,23,3223,aard,3222,noun,aard,nature kind character
24,24,3224,paleis,3222,noun,paleis,palace
25,25,3225,hoeren,3219,No Google Info,No Google Info,No Google Info
26,26,3226,wachtte,3218,verb,wachten,wait await expect
27,27,3227,bewijst,3215,verb,bewijzen,prove evidence show
28,28,3228,vullen,3215,verb,vullen,fill fill in cover
29,29,3229,slimmer,3214,No Google Info,No Google Info,No Google Info
30,30,3230,ondergoed,3212,noun,ondergoed,underclothes underclothing underwear
31,31,3231,uitvoeren,3208,verb,uitvoeren,perform carry out execute
32,32,3232,overnemen,3206,verb,overnemen,take over take on take
33,33,3233,uitkomen,3206,verb,uitkomen,come hatch lead
34,34,3234,Jessica,3204,No Google Info,No Google Info,No Google Info
35,35,3235,hoofdkwartier,3202,noun,hoofdkwartier,headquarters head office
36,36,3236,goedemiddag,3202,interjection,Goedemiddag!,Good afternoon!
