,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,2600,herinnering,4181,noun,herinnering,reminder memory remembrance
1,1,2601,koninkrijk,4180,noun,koninkrijk,kingdom realm
2,2,2602,bewaker,4179,noun,bewaker,guard guardian warden
3,3,2603,bommen,4178,noun,bom,bomb bombshell egg
4,4,2604,koos,4178,verb,kiezen,choose select pick
5,5,2605,lunchen,4176,verb,lunchen,lunch luncheon snack
6,6,2606,dringend,4174,adjective,dringend,urgent pressing instant
7,7,2607,verliet,4174,verb,verlaten,leave abandon quit
8,8,2608,Florida,4173,noun,Florida,Florida
9,9,2609,bravo,4169,interjection,Bravo!,Bravo! Well done!
10,10,2610,lading,4169,noun,lading,cargo charge load
11,11,2611,Lincoln,4162,No Google Info,No Google Info,No Google Info
12,12,2612,middernacht,4160,noun,middernacht,midnight
13,13,2613,handelen,4159,verb,handelen,act trade deal
14,14,2614,terugtrekken,4158,verb,terugtrekken,withdraw pull back move back
15,15,2615,bepalen,4157,verb,bepalen,determine define decide
16,16,2616,illegaal,4153,adjective,illegaal,backstreet
17,17,2617,verander,4152,verb,veranderen,change alter turn
18,18,2618,geweren,4151,noun,geweer,rifle gun musket
19,19,2619,samenwerken,4149,verb,samenwerken,co-operate collaborate team
20,20,2620,partij,4146,noun,partij,party lot batch
21,21,2621,levende,4146,noun,levende,liver
22,22,2622,botten,4146,verb,botten,bud
23,23,2623,brein,4145,noun,brein,brain mastermind
24,24,2624,leid,4144,verb,leiden,lead guide manage
25,25,2625,groots,4143,adjective,groots,grand magnificent grandiose
26,26,2626,grot,4136,noun,grot,cave grotto cavern
27,27,2627,volgend,4134,adjective,volgend,next following subsequent
28,28,2628,zacht,4132,adjective,zacht,soft gentle mild
29,29,2629,volkomen,4127,adverb,volkomen,completely entirely fully
30,30,2630,klasse,4126,noun,klasse,class classroom genus
31,31,2631,zone,4126,noun,zone,zone dead-spot
32,32,2632,mannetje,4125,noun,mannetje,male bull dog
33,33,2633,rand,4122,noun,rand,edge outskirts border
34,34,2634,bied,4120,verb,bieden,offer propose
35,35,2635,smeerlap,4119,noun,smeerlap,pig skunk ragamuffin
36,36,2636,handtekening,4119,noun,handtekening,signature
37,37,2637,wauw,4116,No Google Info,No Google Info,No Google Info
38,38,2638,namelijk,4115,adverb,namelijk,namely viz to wit
39,39,2639,beters,4115,adjective,beter,superior
40,40,2640,kerstfeest,4114,noun,Kerstfeest,Christmas Yule
41,41,2641,bedreiging,4113,noun,bedreiging,threat menace danger
42,42,2642,betekend,4112,verb,betekenen,mean signify serve
