,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,0,ik,7840843,pronoun,ik,I me
1,1,1,je,7242582,pronoun,je,you your thou
2,2,2,het,5233420,article,het,the
3,3,3,de,5171977,article,de,the ye
4,4,4,dat,4505789,conjunction,dat,that which what
5,5,5,is,4439481,verb,zijn,be
6,6,6,een,3715858,article,een,a an
7,7,7,niet,3678884,adverb,niet,not no
8,8,8,en,2800789,conjunction,en,and
9,9,9,wat,2228941,conjunction,wat,what which
10,10,10,van,2209684,preposition,van,of from by
11,11,11,we,2076863,pronoun,we,we
12,12,12,in,1963658,preposition,in,in into at
13,13,13,ze,1789915,pronoun,ze,they she them
14,14,14,hij,1719998,pronoun,hij,he it him
15,15,15,op,1696645,adverb,op,on up upward
16,16,16,te,1691827,particle,te,to
17,17,17,zijn,1681160,pronoun,zijn,his its her
18,18,18,er,1615173,adverb,er,there yonder
19,19,19,maar,1598672,conjunction,maar,but only
20,20,20,die,1434016,pronoun,die,that which who
21,21,21,heb,1429701,verb,hebben,have possess own
22,22,22,me,1411318,pronoun,me,me I
23,23,23,met,1395328,preposition,met,with by on
24,24,24,voor,1389735,preposition,voor,for prior to in front of
25,25,25,als,1273513,adverb,als,as
26,26,26,ben,1144955,noun,ben,basket
27,27,27,was,1031488,noun,was,wash wax washing
28,28,28,dit,1012898,pronoun,dit,this it
29,29,29,mijn,961659,pronoun,mijn,my mine of mine
30,30,30,om,950863,preposition,om,to for at
31,31,31,aan,939521,preposition,aan,to on at
32,32,32,jij,928107,pronoun,jij,you thou
33,33,33,naar,908546,preposition,naar,to for at
34,34,34,dan,904663,conjunction,dan,than
35,35,35,hier,892773,adverb,hier,here
36,36,36,weet,870605,verb,weten,know wit wot
37,37,37,kan,827534,noun,kan,can jug pot
38,38,38,geen,799250,adjective,geen,no none neither
39,39,39,nog,792339,adverb,nog,yet still stilly
40,40,40,moet,762775,noun,moet,must blot
41,41,41,wil,759522,noun,wil,will willingness volition
42,42,42,wel,758242,adjective,wel,well
43,43,43,ja,746431,particle,ja,yes yeah yea
44,44,44,zo,746139,adverb,zo,so that thus
45,45,45,heeft,735768,verb,hebben,have possess own
46,46,46,hebben,732206,auxiliary verb,hebben,have
47,47,47,hem,730248,pronoun,hem,him to him
48,48,48,goed,711659,adjective,goed,good well correct
49,49,49,nee,663369,particle,nee,no
50,50,50,waar,634748,adverb,waar,where whereabouts veraciously
51,51,51,nu,633525,adverb,nu,now nowadays
52,52,52,hoe,632454,adverb,hoe,how
53,53,53,ga,579630,verb,gaan,go proceed work
54,54,54,haar,573366,pronoun,haar,its her their
55,55,55,uit,562873,preposition,uit,from out in
56,56,56,doen,557710,verb,doen,do make perform
57,57,57,ook,555481,adverb,ook,also too as well
58,58,58,over,555424,preposition,over,about on over
59,59,59,bent,551495,verb,zijn,be
60,60,60,mij,549004,pronoun,mij,me I
61,61,61,gaan,545717,verb,gaan,go proceed work
62,62,62,of,506118,conjunction,of,or either whether
63,63,63,kom,502576,noun,kom,bowl basin pelvis
64,64,64,zou,501036,verb,zullen,will shall
65,65,65,al,493269,adjective,al,all every
66,66,66,bij,490366,preposition,bij,at in to
67,67,67,daar,482796,adverb,daar,there yonder
68,68,68,ons,473851,pronoun,ons,us our to us
69,69,69,jullie,472767,pronoun,jullie,you you all
70,70,70,hebt,460950,verb,hebben,have possess own
71,71,71,gaat,454817,noun,gaat,perforation
72,72,72,iets,442933,pronoun,iets,something anything somewhat
