,Unnamed: 0,Dutch,POS,ChatGPT_Sentence
0,300,hen,pronoun,"Ik help hen en hoop dat ze blij zijn.
I help them and hope that they are happy."
1,301,stop,noun,"De politie zette een stop om verder te zoeken.  
The police set up a stop to search further."
2,302,eigen,adjective,"Je moet jezelf vertrouwen en je eigen pad volgen, dr. Janssen.  
You must trust yourself and follow your own path, Dr. Janssen."
3,303,kleine,adjective,"Ik bel soms met de kleine telefoon.
I sometimes call with the small phone."
4,304,hoop,noun,"Je hebt hoop in jezelf gemaakt.  
You have created hope in yourself."
5,305,wou,verb,"Volgens mijn eigen plan, wou ik naar het park gaan.  
According to my own plan, I wanted to go to the park."
6,306,vermoord,verb,"De beste detective vermoorde de verdachte in de kamer.
The best detective murdered the suspect in the room."
7,307,elke,pronoun,"Elke van mijn vrienden helpt me.
Each of my friends helps me."
8,308,krijg,noun,"Ik heb een slecht hoofd en krijg.

I have a bad head and a cold."
9,309,horen,verb,"De agent kan verder niets horen.
The officer can hear nothing further."
10,310,gelijk,adjective,"De politie is op zoek naar een gelijk antwoord.
The police are looking for an equal answer."
11,311,bijna,adverb,"Ik werk bijna altijd tussen de middag.

I almost always work around noon."
12,312,zouden,verb,"Mijn familie en ik zouden naar het strand gaan, maar mijn broer wou niet.  
My family and I would go to the beach, but my brother didn't want to."
13,313,open,adjective,"De school is open in vijf minuten.
The school is open in five minutes."
14,314,orde,noun,"De leraar heeft ons verteld dat orde belangrijk is.  
The teacher told us that order is important."
15,315,begrijp,noun,"Het begrip van de les is bijna overal hetzelfde.
The understanding of the lesson is almost the same everywhere."
16,316,hoofd,noun,"Het hoofd ligt op het kussen en ik help je.

The head lies on the pillow and I help you."
17,317,gebeurt,verb,"Hij heeft verteld wat er op zijn werk gebeurt.
He told what happens at his work."
18,318,kant,noun,"De bal ligt aan de kant, dus ik zal hem brengen.  
The ball is on the side, so I will bring it."
19,319,vrienden,noun,"Ik hoop dat mijn vrienden met mij willen spreken.
I hope that my friends want to talk with me."
20,320,houdt,verb,"De jongen houdt van de plaats waar hij veel aandacht krijgt.
The boy loves the place where he gets a lot of attention."
21,321,eigenlijk,adverb,"Ik zoek eigenlijk vanavond naar mijn sleutels.
I am actually looking for my keys tonight."
22,322,alsof,conjunction,"Ik haal mijn boeken op, alsof ik naar school ga.
I pick up my books, as if I am going to school."
23,323,pak,noun,"Hè, je hebt gelijk, dat pak staat je goed.
Hey, you are right, that suit looks good on you."
24,324,geeft,verb,"De leraar geeft ons vijf minuten om te horen.  
The teacher gives us five minutes to listen."
25,325,politie,noun,"De politie arriveerde bijna tien minuten te laat.
The police arrived almost ten minutes late."
26,326,precies,adverb,"Ik begrijp precies wat mijn vrienden zeggen.
I understand exactly what my friends are saying."
27,327,wachten,verb,"Ik ben eigenlijk blij om te wachten.  
I am actually happy to wait."
28,328,familie,noun,"Mijn familie heeft eigenlijk vier leden.
My family actually has four members."
29,329,verder,adjective,"Het kind heeft een verdere kans nodig.

The child needs a further chance."
30,330,zat,adjective,"De bel ging na drie dagen, en ik was zat van het wachten.
The bell rang after three days, and I was fed up with waiting."
31,331,soms,adverb,"Vanavond is het soms heet.
Tonight it is sometimes hot."
32,332,werken,verb,"Mijn broer zat te werken.

My brother was working."
33,333,bel,noun,"De bel in de volgende kamer is kapot.
The bell in the next room is broken."
34,334,voel,verb,"Ik voel een pijn in mijn hoofd, maar alles is in orde.
I feel a pain in my head, but everything is in order."
35,335,kind,noun,"Het kind heeft de deur open gehad.
The child has had the door open."
36,336,probeer,verb,"Ik probeer de deur te openen, maar hij geeft niet mee.
I try to open the door, but it doesn't budge."
37,337,ding,noun,"Volgens mij zijn er vijf dingen op de tafel.
According to me, there are five things on the table."
38,338,minuten,noun,"Ik heb je verteld dat we vijf minuten moeten wachten.
I told you that we have to wait five minutes."
39,339,krijgt,verb,"Hij krijgt precies wat hij nodig heeft om te werken.  
He gets exactly what he needs to work."
40,340,zet,noun,"De hulp van de politie heeft de zet van de crimineel vermoord.
The help of the police has killed the move of the criminal."
41,341,vijf,noun,"Hij wou een vijf zetten op het bord.
He wanted to put a five on the board."
42,342,gehad,verb,"Ik heb een drukke dag op school gehad en nu breng ik mijn boeken naar huis.
I had a busy day at school and now I am bringing my books home."
43,343,haal,noun,"De vier vrienden vindt de haal van de dag geweldig.
The four friends find the catch of the day amazing."
44,344,gemaakt,adjective,"Hij deed alsof hij de zelfgemaakte taart zonder hulp had gemaakt.
He pretended as if he had made the homemade cake without help."
45,345,hè,interjection,"Wat een kleine kind, hè?  
What a small child, right?"
46,346,manier,noun,"Op deze manier kunnen we de deur open houden en verder gaan.

In this way, we can keep the door open and move on."
47,347,dagen,verb,"De klok klopt en dagen gebeurt.

The clock ticks and days happen."
48,348,zoek,adjective,"De zoek werkt in mijn hoofd.
The search works in my head."
