,Unnamed: 0,Dutch,POS,ChatGPT_Sentence
0,100,nou,adverb,"Wij zullen nou beginnen.
We will start now."
1,101,mee,noun,"Zij komen mee.

They come along."
2,102,misschien,adverb,"Misschien kan ik je even helpen.
Maybe I can help you for a moment."
3,103,even,adverb,"Je kunt even wachten, ik zal je helpen.  
You can wait a moment, I will help you."
4,104,iemand,pronoun,"Iemand komt en wil iets.

Someone comes and wants something."
5,105,komt,verb,"Hij komt net na het eten.
He comes just after the meal."
6,106,niets,noun,"Niemand heeft twee keer niets gekregen.
No one received nothing twice."
7,107,zei,verb,"Zij zei dat ze meer tijd wilde.  
She said that she wanted more time."
8,108,hou,verb,"Ik hou van z'n hond en geef hem een koekje.
I love his dog and give him a cookie."
9,109,komen,verb,"Zij zeggen dat ze morgen komen.
They say that they are coming tomorrow."
10,110,mensen,noun,"De mensen doet me spijt.
The people make me feel sorry."
11,111,onze,pronoun,"Onze hond vind ik leuk, oh!

I like our dog, oh!"
12,112,nodig,adjective,"Ik heb niks anders nodig.  
I need nothing else."
13,113,tot,preposition,"Ik wacht tot jouw drie vrienden komen.
I wait until your three friends come."
14,114,worden,verb,"Het spijt me dat het zo laat wordt.
I'm sorry that it is getting so late."
15,115,veel,adverb,"Ik ben bijna klaar en heb veel werk af.  
I am almost done and have finished a lot of work."
16,116,weten,verb,"Ik weet dat je de hele film hebt gezien.
I know that you have seen the whole movie."
17,117,leven,noun,"God gaf ons een uur van leven.
God gave us an hour of life."
18,118,wij,pronoun,"Wij hebben allemaal een leuke dag.  
We all have a nice day."
19,119,weer,noun,"Het weer is niets erg vandaag.
The weather is nothing bad today."
20,120,gewoon,adverb,"Niemand heeft genoeg, het is gewoon zo.

Nobody has enough, it is just like that."
21,121,kijk,noun,"De kijk tot succes wordt duidelijk.

The view to success becomes clear."
22,122,zeggen,verb,"Ik zeg zoals ik dacht.  
I say as I thought."
23,123,tijd,noun,"Het leven en werk nemen veel tijd.  
Life and work take a lot of time."
24,124,zeg,interjection,"Zeg, zei je dag tegen hem?

Hey, did you say goodbye to him?"
25,125,twee,noun,"Twee mensen zijn dood, misschien.

Two people are dead, maybe."
26,126,toen,conjunction,"Ik wachtte, omdat het regende toen ik naar buiten ging.
I waited because it was raining when I went outside."
27,127,tegen,preposition,"Toen liep ik misschien tegen de muur.  
When I walked, I maybe bumped into the wall."
28,128,zit,noun,"De zit van de stoel komt erg comfortabel over.
The seat of the chair comes across as very comfortable."
29,129,net,adverb,"Ik heb net een goede dag gehad, zeker weten.
I just had a good day, for sure."
30,130,dood,noun,"Hij was dood na z'n val.
He was dead after his fall."
31,131,uw,pronoun,"Uw huis is anders dan z'n huis.
Your house is different from his house."
