,Dutch,POS
500,slapen,verb
501,ver,adjective
502,reden,noun
503,fout,noun
504,vallen,verb
505,maanden,noun
506,mogen,verb
507,oud,adjective
508,vergeet,verb
509,voelt,verb
510,vent,noun
511,sir,sir
512,hoorde,verb
513,hoort,verb
514,klinkt,verb
515,terwijl,conjunction
516,vriendin,noun
517,welkom,adjective
518,team,noun
519,rond,adverb
520,president,noun
521,oorlog,noun
522,duidelijk,adjective
523,jaren,noun
524,rest,noun
525,schuld,noun
526,avond,noun
527,eerlijk,adjective
528,fijn,adjective
529,mond,noun
530,buurt,noun
531,drinken,verb
532,telefoon,noun
533,per,preposition
534,wapen,noun
535,liet,verb
536,belangrijk,adjective
537,kreeg,verb
538,ouders,noun
539,stuk,noun
540,rust,noun
541,vandaan,preposition
542,kennen,verb
543,Jezus,noun
544,deel,noun
545,baan,noun
546,kapitein,noun
547,erop,adverb
548,geluk,noun
549,dezelfde,pronoun
550,overal,adverb
551,schip,noun
552,heren,noun
553,gegeven,adjective
554,anderen,others
555,zeer,adjective
556,langs,adverb
557,mam,noun
558,recht,adjective
559,lichaam,noun
560,aardig,adjective
561,vertrouwen,noun
562,ermee,with it
563,neemt,verb
564,vanaf,preposition
565,vaak,adverb
566,boek,noun
567,mezelf,pronoun
568,zetten,verb
569,stil,adjective
570,ok,noun
571,kerel,noun
572,betalen,verb
573,geval,noun
574,miljoen,
575,tweede,adjective
576,haat,noun
577,hard,adjective
578,inderdaad,adverb
579,woord,noun
580,stond,noun
581,hond,noun
582,straks,adverb
583,weken,verb
584,film,noun
585,antwoord,noun
586,veranderen,verb
587,licht,adjective
588,houd,verb
589,pa,noun
590,tijdens,during the day
591,lieverd,noun
592,liever,adverb
593,kwaad,adjective
594,ontmoet,verb
595,nergens,adverb
596,gebruikt,adjective
597,schatje,noun
598,verloren,adjective
599,koning,noun
