,Dutch,POS
900,gedachten,noun
901,derde,adjective
902,rennen,verb
903,namen,noun
904,teken,noun
905,speelt,verb
906,stem,noun
907,bedrijf,noun
908,moe,adjective
909,tenzij,conjunction
910,dom,adjective
911,vlucht,noun
912,raak,adjective
913,relatie,noun
914,lachen,verb
915,leuke,adjective
916,schuldig,adjective
917,negen,noun
918,tafel,noun
919,sneller,adjective
920,James,James
921,jong,adjective
922,vanwege,preposition
923,beide,adjective
924,viel,verb
925,oog,noun
926,leek,noun
927,gestuurd,verb
928,lijn,noun
929,grapje,noun
930,komaan,interjection
931,moesten,verb
932,daarvoor,adverb
933,onderweg,adverb
934,lijst,noun
935,vanuit,preposition
936,band,noun
937,gelooft,verb
938,gemist,verb
939,sleutel,noun
940,lag,verb
941,kont,noun
942,reis,noun
943,arm,noun
944,show,show
945,vertelt,verb
946,groep,noun
947,belde,verb
948,zweer,noun
949,agenten,noun
950,eer,noun
951,onmogelijk,adjective
952,steek,noun
953,hel,noun
954,zwaar,adjective
955,tuurlijk,of course
956,bevel,noun
957,jonge,adjective
958,kerk,noun
959,huwelijk,noun
960,delen,verb
961,sla,noun
962,Amerikaanse,noun
963,wedstrijd,noun
964,maat,noun
965,allen,all
966,gebroken,adjective
967,dromen,verb
968,direct,adverb
969,luitenant,noun
970,planeet,noun
971,vooral,adverb
972,missie,noun
973,midden,noun
974,gezin,noun
975,gisteravond,adverb
976,leiden,verb
977,dame,noun
978,bericht,noun
979,angst,noun
980,stierf,verb
981,wagen,noun
982,blijkbaar,adverb
983,kapot,adjective
984,zoekt,verb
985,ziel,noun
986,positie,noun
987,waarvoor,adverb
988,respect,noun
989,wet,noun
990,gesprek,noun
991,verleden,adjective
992,kost,noun
993,links,adjective
994,witte,adjective
995,ring,noun
996,da's,noun
997,regelen,verb
998,computer,noun
999,dronken,adjective
