,Dutch
800,geest
801,gingen
802,straat
803,slechts
804,verkeerde
805,slaan
806,FBI
807,afgelopen
808,hotel
809,bekend
810,ene
811,ruimte
812,lange
813,trouwens
814,feest
815,vliegen
816,boot
817,meester
818,doel
819,zolang
820,regels
821,stomme
822,begonnen
823,zak
824,absoluut
825,spreek
826,stom
827,bestaat
828,welk
829,gevaarlijk
830,jawel
831,mocht
832,goedemorgen
833,wilden
834,erger
835,vreselijk
836,zodra
837,geraakt
838,nadat
839,vertrouw
840,kolonel
841,voelde
842,kleren
843,rug
844,naast
845,totdat
846,verliefd
847,lukt
848,wonen
849,lieve
850,gaten
851,raar
852,geprobeerd
853,geleerd
854,erover
855,raad
856,volg
857,verkopen
858,geweldige
859,zover
860,red
861,woont
862,Amerika
863,lul
864,gedacht
865,bewijzen
866,prijs
867,www
868,raken
869,voorstellen
870,vorige
871,regel
872,schrijven
873,rot
874,gebouw
875,trekken
876,herinneren
877,dansen
878,gebracht
879,meeste
880,koud
881,jammer
882,wegwezen
883,macht
884,drugs
885,geboren
886,dragen
887,keuze
888,gefeliciteerd
889,situatie
890,missen
891,honger
892,betaald
893,liefje
894,duurt
895,schelen
896,kaart
897,rij
898,bal
899,werkte
