,Dutch,POS
100,nou,adverb
101,mee,noun
102,misschien,adverb
103,even,adverb
104,iemand,pronoun
105,komt,verb
106,niets,noun
107,zei,verb
108,hou,verb
109,komen,verb
110,mensen,noun
111,onze,pronoun
112,nodig,adjective
113,tot,preposition
114,worden,verb
115,veel,adverb
116,weten,verb
117,leven,noun
118,wij,pronoun
119,weer,noun
120,gewoon,adverb
121,kijk,noun
122,zeggen,verb
123,tijd,noun
124,zeg,interjection
125,twee,noun
126,toen,conjunction
127,tegen,preposition
128,zit,noun
129,net,adverb
130,dood,noun
131,uw,pronoun
132,wordt,verb
133,hé,interjection
134,maken,verb
135,mag,noun
136,één,noun
137,z'n,his
138,omdat,conjunction
139,gedaan,adjective
140,heel,adjective
141,af,adverb
142,altijd,adverb
143,jouw,pronoun
144,zeker,adjective
145,geef,verb
146,zie,interjection
147,wacht,noun
148,allemaal,pronoun
149,jaar,noun
150,doet,verb
151,dag,noun
152,zij,pronoun
153,hun,pronoun
154,huis,noun
155,vader,noun
156,dank,noun
157,dacht,verb
158,kunt,verb
159,zoals,adverb
160,vrouw,noun
161,keer,noun
162,anders,adverb
163,andere,adjective
164,willen,verb
165,erg,adverb
166,spijt,noun
167,bedankt,interjection
168,niemand,noun
169,wilt,verb
170,geld,noun
171,zitten,verb
172,niks,pronoun
173,iedereen,pronoun
174,binnen,adverb
175,staat,noun
176,wilde,noun
177,zich,pronoun
178,beter,adverb
179,werk,noun
180,praten,verb
181,gezien,adjective
182,zullen,verb
183,waren,noun
184,god,noun
185,maak,noun
186,neem,verb
187,vinden,verb
188,vind,verb
189,moeder,noun
190,kon,verb
191,uur,noun
192,klaar,adjective
193,genoeg,adjective
194,helpen,verb
195,oh,interjection
196,hele,adjective
197,drie,
198,vast,adjective
199,na,preposition
