,Dutch,POS
300,hen,pronoun
301,stop,noun
302,eigen,adjective
303,kleine,adjective
304,hoop,noun
305,wou,verb
306,vermoord,verb
307,elke,pronoun
308,krijg,noun
309,horen,verb
310,gelijk,adjective
311,bijna,adverb
312,zouden,verb
313,open,adjective
314,orde,noun
315,begrijp,noun
316,hoofd,noun
317,gebeurt,verb
318,kant,noun
319,vrienden,noun
320,houdt,verb
321,eigenlijk,adverb
322,alsof,conjunction
323,pak,noun
324,geeft,verb
325,politie,noun
326,precies,adverb
327,wachten,verb
328,familie,noun
329,verder,adjective
330,zat,adjective
331,soms,adverb
332,werken,verb
333,bel,noun
334,voel,verb
335,kind,noun
336,probeer,verb
337,ding,noun
338,minuten,noun
339,krijgt,verb
340,zet,noun
341,vijf,noun
342,gehad,verb
343,haal,noun
344,gemaakt,adjective
345,hè,interjection
346,manier,noun
347,dagen,verb
348,zoek,adjective
349,heet,adjective
350,volgende,adjective
351,daarom,conjunction
352,gehoord,verb
353,pas,adverb
354,werkt,verb
355,vanavond,adverb
356,volgens,adverb
357,best,adjective
358,pijn,noun
359,kans,noun
360,eruit,adverb
361,help,interjection
362,plaats,noun
363,hoeveel,adverb
364,vroeg,adjective
365,oude,noun
366,stad,noun
367,zoeken,verb
368,ogen,noun
369,jezelf,pronoun
370,geloven,verb
371,moment,noun
372,kamer,noun
373,schiet,verb
374,vier,noun
375,vindt,verb
376,word,verb
377,agent,noun
378,slecht,adjective
379,verteld,verb
380,brengen,verb
381,blij,adjective
382,hulp,noun
383,welke,adjective
384,blijft,verb
385,ligt,verb
386,broer,noun
387,school,noun
388,tussen,preposition
389,deur,noun
390,spreken,verb
391,plan,noun
392,dollar,noun
393,handen,adjective
394,ergens,adverb
395,dr.,dr.
396,klopt,verb
397,breng,verb
398,dokter,noun
399,juist,adjective
