,Dutch,POS
0,ik,pronoun
1,je,pronoun
2,het,article
3,de,article
4,dat,conjunction
5,is,verb
6,een,article
7,niet,adverb
8,en,conjunction
9,wat,conjunction
10,van,preposition
11,we,pronoun
12,in,preposition
13,ze,pronoun
14,hij,pronoun
15,op,adverb
16,te,particle
17,zijn,pronoun
18,er,adverb
19,maar,conjunction
20,die,pronoun
21,heb,verb
22,me,pronoun
23,met,preposition
24,voor,preposition
25,als,adverb
26,ben,noun
27,was,noun
28,dit,pronoun
29,mijn,pronoun
30,om,preposition
31,aan,preposition
32,jij,pronoun
33,naar,preposition
34,dan,conjunction
35,hier,adverb
36,weet,verb
37,kan,noun
38,geen,adjective
39,nog,adverb
40,moet,noun
41,wil,noun
42,wel,adjective
43,ja,particle
44,zo,adverb
45,heeft,verb
46,hebben,auxiliary verb
47,hem,pronoun
48,goed,adjective
49,nee,particle
50,waar,adverb
51,nu,adverb
52,hoe,adverb
53,ga,verb
54,haar,pronoun
55,uit,preposition
56,doen,verb
57,ook,adverb
58,over,preposition
59,bent,verb
60,mij,pronoun
61,gaan,verb
62,of,conjunction
63,kom,noun
64,zou,verb
65,al,adjective
66,bij,preposition
67,daar,adverb
68,ons,pronoun
69,jullie,pronoun
70,hebt,verb
71,gaat,noun
72,iets,pronoun
73,zal,auxiliary verb
74,meer,adverb
75,waarom,adverb
76,had,verb
77,deze,pronoun
78,laat,adjective
79,moeten,verb
80,m'n,pronoun
81,jou,pronoun
82,doe,verb
83,wie,conjunction
84,kunnen,verb
85,alles,pronoun
86,denk,verb
87,door,preposition
88,echt,adverb
89,alleen,adverb
90,oké,Okay
91,eens,adverb
92,dus,adverb
93,weg,adjective
94,zien,verb
95,toch,adverb
96,man,noun
97,nooit,adverb
98,terug,adverb
99,laten,verb
