,Dutch,POS
700,verdomde,adjective
701,hierheen,adjective
702,punt,noun
703,toekomst,noun
704,probeerde,verb
705,half,noun
706,leger,noun
707,waard,adjective
708,opnieuw,adverb
709,val,noun
710,vuur,noun
711,bewijs,noun
712,controle,noun
713,stellen,verb
714,tv,abbreviation
715,loop,noun
716,woorden,noun
717,droom,noun
718,begrijpen,verb
719,eet,adjective
720,bedoelt,verb
721,onzin,noun
722,serieus,adjective
723,konden,verb
724,nietwaar,not true
725,verlaten,verb
726,pistool,noun
727,gekregen,verb
728,men,pronoun
729,brengt,verb
730,fantastisch,adjective
731,trots,noun
732,ziens,goodbye
733,ongeluk,noun
734,geheim,adjective
735,vroeger,adverb
736,veranderd,adjective
737,eentje,one
738,werden,verb
739,begon,verb
740,verliezen,noun
741,probeert,verb
742,vliegtuig,noun
743,let,noun
744,slim,adjective
745,juiste,adjective
746,langer,adverb
747,slaap,noun
748,lezen,verb
749,ongeveer,adverb
750,behalve,preposition
751,meid,noun
752,oom,noun
753,gered,verb
754,bank,noun
755,generaal,noun
756,dienst,noun
757,tenminste,adverb
758,lief,adjective
759,noem,verb
760,gedood,verb
761,vraagt,verb
762,boos,adjective
763,spullen,verb
764,volgen,verb
765,sturen,verb
766,hemel,noun
767,makkelijk,adjective
768,ter,preposition
769,genomen,verb
770,grootste,adjective
771,gebeurde,verb
772,kwamen,verb
773,excuseer,verb
774,meter,noun
775,weinig,adjective
776,iedere,adjective
777,moordenaar,noun
778,luisteren,verb
779,begrijpt,verb
780,gevaar,noun
781,ieder,pronoun
782,sommige,adjective
783,via,preposition
784,succes,noun
785,vertrekken,verb
786,muziek,noun
787,gestolen,adjective
788,meest,adjective
789,hoef,noun
790,advocaat,noun
791,kijkt,verb
792,helpt,verb
793,afspraak,noun
794,maand,noun
795,zwarte,adjective
796,seconden,noun
797,sterk,adjective
798,foto's,noun
799,lijken,verb
