,Dutch,POS
200,hallo,noun
201,leuk,adjective
202,sorry,interjection
203,alle,adjective
204,elkaar,adverb
205,toe,preposition
206,wist,verb
207,zegt,verb
208,bedoel,verb
209,blijf,verb
210,alsjeblieft,interjection
211,lang,adjective
212,meneer,abbreviation
213,ziet,verb
214,maakt,verb
215,luister,noun
216,dingen,verb
217,mooi,adjective
218,werd,verb
219,eerste,adjective
220,graag,adverb
221,natuurlijk,adverb
222,houden,verb
223,zonder,preposition
224,steeds,adverb
225,krijgen,verb
226,grote,adjective
227,achter,adverb
228,helemaal,adverb
229,naam,noun
230,gek,adjective
231,blijven,verb
232,onder,adverb
233,vriend,noun
234,geweest,been
235,kijken,verb
236,geven,verb
237,ging,verb
238,vertellen,verb
239,ooit,adverb
240,snel,adverb
241,hand,noun
242,idee,noun
243,goede,noun
244,auto,adjective
245,kwam,verb
246,verdomme,interjection
247,beetje,noun
248,moest,verb
249,kinderen,noun
250,wanneer,adverb
251,gebeurd,verb
252,jongen,noun
253,bang,adjective
254,vraag,noun
255,lijkt,verb
256,geweldig,adjective
257,paar,noun
258,hoor,verb
259,laatste,noun
260,deed,verb
261,nieuwe,adjective
262,vragen,verb
263,kun,can
264,zag,verb
265,zorgen,verb
266,staan,verb
267,wereld,noun
268,eten,verb
269,jongens,adjective
270,enige,adjective
271,zelf,pronoun
272,want,conjunction
273,nemen,verb
274,heen,adverb
275,zo'n,noun
276,beste,Best
277,ken,verb
278,vandaag,adverb
279,zelfs,adverb
280,ie,ie
281,gezegd,verb
282,hadden,verb
283,vertel,verb
284,eerst,adjective
285,gevonden,verb
286,zoon,noun
287,buiten,adverb
288,samen,adverb
289,denken,verb
290,geloof,noun
291,morgen,adverb
292,geleden,adverb
293,meisje,noun
294,thuis,adverb
295,denkt,verb
296,rustig,adjective
297,mannen,adjective
298,halen,verb
299,probleem,noun
