,French,POS,Translation
900,blague,noun,
901,avenir,noun,
902,beauté,noun,
903,laisse,noun,
904,course,noun,
905,manière,noun,
906,traverser,verb,
907,expérience,noun,
908,soin,noun,
909,hors,preposition,
910,cour,noun,
911,gauche,noun,
912,stupide,adjective,
913,retenir,verb,
914,liste,noun,
915,remonter,verb,
916,réaliser,verb,
917,i,noun,
918,moquer,verb,
919,étudier,verb,
920,installer,verb,
921,courage,noun,
922,bleu,adjective,
923,secours,noun,
924,milieu,noun,
925,proposer,verb,
926,m,noun,
927,contact,noun,
928,inspecteur,noun,
929,mignon,adjective,
930,projet,noun,
931,probablement,adverb,
932,rôle,noun,
933,risque,noun,
934,action,noun,
935,ange,noun,
936,avance,noun,
937,intéressant,adjective,
938,parmi,preposition,
939,langue,noun,
940,emporter,verb,
941,thé,noun,
942,colère,noun,
943,départ,noun,
944,époque,noun,
945,engager,verb,
946,voleur,noun,
947,cesser,verb,
948,tort,noun,
949,vacance,noun,
950,là-haut,adverb,
951,machine,noun,
952,signifier,verb,
953,réparer,verb,
954,construire,verb,
955,pain,noun,
956,bar,noun,
957,chier,verb,
958,club,noun,
959,été,noun,
960,horrible,adjective,
961,profiter,verb,
962,pierre,noun,
963,pleuvoir,verb,
964,plusieurs,indefinite adjective,
965,salope,noun,
966,tel,indefinite adjective,
967,glace,noun,
968,décision,noun,
969,juge,noun,
970,contrôle,noun,
971,séparer,verb,
972,sept,numerical adjective,
973,maladie,noun,
974,quartier,noun,
975,désirer,verb,
976,travers,noun,
977,dommage,noun,
978,cigarette,noun,
979,traîner,verb,
980,respecter,verb,
981,époux,noun,
982,tas,noun,
983,enfuir,verb,
984,diriger,verb,
985,crever,verb,
986,fil,noun,
987,combat,noun,
988,poursuivre,verb,
989,morceau,noun,
990,église,noun,
991,directeur,noun,
992,demande,noun,
993,forcer,verb,
994,bombe,noun,
995,j,noun,
996,espoir,noun,
997,tueur,noun,
998,grandir,verb,
999,dimanche,noun,Sunday
