,French,POS,Translation
600,bateau,noun,"boat, ship"
601,million,noun,million
602,sac,noun,"bag, sack"
603,impossible,adjective,impossible
604,seconde,noun,"second, moment"
605,bête,"noun, adjective","stupid, silly"
606,découvrir,verb,"to discover, find"
607,erreur,noun,"error, mistake"
608,soleil,noun,"sun, sunlight"
609,voyage,noun,"trip, journey"
610,sauter,verb,to jump
611,rêver,verb,to dream
612,détester,verb,"to hate, detest"
613,clair,adjective,"clear, apparent"
614,faux,adjective,"wrong, false, fallacious"
615,paraître,verb,"to come out, be published"
616,balle,noun,ball (sports equipment)
617,empêcher,verb,to prevent
618,maintenir,verb,"to keep, maintain"
619,cheveu,noun,a hair
620,papier,noun,paper
621,présent,"noun, adjective","a present; present, current"
622,sujet,noun,"subject, topic, theme"
623,supposer,verb,"to suppose, assume"
624,tranquille,adjective,"quiet, calm"
625,neuf,"numerical adjective, adjective","nine; new, unused"
626,épouser,verb,"to marry, to espouse"
627,blanc,adjective,white; blank
628,table,noun,table
629,toute,indefinite adjective,"everything, all"
630,dix,numerical adjective,"ten, tenth"
631,clé,noun,key; solutioin
632,agent,noun,"officer, oficial, agent"
633,approcher,verb,to approach
634,sens,noun,"direction, way; meaning; sense; senses"
635,craindre,verb,"to fear, to be afraid of"
636,six,numerical adjective,six
637,message,noun,message
638,crier,verb,to shout
639,salle,noun,"room, hall, audience"
640,inviter,verb,to invite
641,effet,noun,"effect, impression"
642,réfléchir,verb,"to reflect, think"
643,espèce,noun,"species, kind"
644,arranger,verb,"to arrange, to organize"
645,naître,verb,to be born
646,allô,onomatopoeia,Hello! (telephone)
647,bois,noun,wood; antlers
648,propos,noun,"subject, topic, remark, point"
649,camp,noun,camp
650,sorte,noun,"sort, kind"
651,hôtel,noun,hotel
652,début,noun,beginning
653,souffrir,verb,"to be in pain, suffer"
654,jambe,noun,leg
655,remercier,verb,to thank
656,choix,noun,"choice, selection"
657,sécurité,noun,"safety, security"
658,avocat,noun,lawyer
659,attraper,verb,to catch
660,client,noun,"customer, client, guest"
661,courant,noun,"current, trend"
662,dépêcher,verb,to dispatch
663,peuple,noun,people
664,dame,noun,"lady, queen"
665,vérifier,verb,"to check, verify"
666,abandonner,verb,"to abandon, leave, desert"
667,journal,noun,"newspaper, diary, journal"
668,sérieux,adjective,"genuine, serious"
669,brûler,verb,to burn
670,or,noun,gold
671,loi,noun,"law, rule"
672,fond,noun,"bottom, back"
673,gosse,noun,"kid (colloquial, child, youngster)"
674,fric,noun,"doug, money, cash"
675,situation,noun,situation; job; location
676,euh,onomatopoeia,Er…
677,sauf,preposition,except
678,accident,noun,accident
679,doute,noun,doubt
680,scène,noun,scene
681,soldat,noun,soldier
682,amoureux,adjective,loving
683,assurer,verb,"to assure, insure"
684,preuve,noun,"proof, evidence"
685,humain,adjective,human
686,mer,noun,"sea, seaside"
687,silence,noun,silence
688,télé,noun,"TV, telly"
689,victime,noun,"victim, casualty"
690,complètement,adverb,"completely, fully, in depth"
691,pute,noun,whore
692,garde,noun,"guard; carer, nurse"
693,meurtre,noun,murder
694,groupe,noun,group
695,crime,noun,crime
696,traiter,verb,to treat; to deal
697,doucement,adverb,"gently, softly"
698,blesser,verb,"to injure, wound, hurt"
699,colonel,noun,colonel
