,Dutch,Quizlet


0,verdomde,"*damn*
adjective: damned
""Verdomde, ik ben mijn sleutels kwijt!"" - Damn, I've lost my keys!"


1,hierheen,"*over here*
adjective: hither
adverb: here, this way, hither
""Kom hierheen!"" - ""Come here!"""


2,punt,"*point*
noun: point, dot, end
abbreviation: pt.
Ik heb de punt van de les gemist. - I missed the point of the lesson."


3,toekomst,"*future*
noun: future, hereafter, to-be
De toekomst is onzeker. - The future is uncertain."


4,probeerde,"*attempted*
verb: try, attempt, endeavor
Probeerde ik het een keer, I tried it once."


5,half,"*half*
noun: half
adverb: parcel
adjective: half-and-half
""Het duurde bijna een half jaar."" - It almost took a half year."


6,leger,"*army*
noun: army, military, host
Het leger is de strijdkracht van het land. 
Translation: The army is the fighting force of the country."


7,waard,"*worth*
adjective: worth, worthy, expensive
noun: host, innkeeper, landlord
Deze kamer is het waard om te bezoeken. - This room is worth visiting."


8,opnieuw,"*again*
adverb: again, anew, over again
prefix: re-
Ik moet het opnieuw proberen. - I have to try it again."


9,val,"*fall*
noun: fall, trap, falling
Ik val van de trap. - I fall down the stairs."


10,vuur,"*firework*
noun: fire, flame, fervor
Het vuur brandt heet. - The fire is burning hot."


11,bewijs,"*evidence*
noun: proof, certificate, demonstration
""Het bewijs is duidelijk."" - The evidence is clear."


12,controle,"*check*
noun: control, check, monitoring
De controle was niet goed. - The control was not good."


13,stellen,"*set*
verb: set, put, adjust
Ik stel voor dat we het over een andere keer uitstellen. - I suggest that we postpone it for another time."


14,tv,"*TV*
abbreviation: TV
De tv staat aan. - The TV is on."


15,loop,"*walk*
noun: walk, course, run
Ik heb een loop in het park gedaan. - I went for a walk in the park."


16,woorden,"*words*
noun: phrase
""Ik heb veel woorden geschreven in mijn essay."" - ""I have written many words in my essay."""


17,droom,"*dream*
noun: dream
Ik droom van een reis naar Australië. - I dream of a trip to Australia."


18,begrijpen,"*to understand*
verb: understand, grasp, comprehend
Ik begrijp het niet. = I don't understand it."


19,eet,"*eat*
adjective: cooking, table
Ik eet appels. - I eat apples."


20,bedoelt,"*mean*
verb: mean, intend, design
""Hij bedoelt dat het niet zo makkelijk is."" - He means that it is not so easy."


21,onzin,"*nonsense*
noun: nonsense, rubbish, shit
""Het is onzin om zo'n lange weg te lopen."" - It is nonsense to walk such a long way."


22,serieus,"*serious*
adjective: serious, earnest
Serieus, ik ben het volkomen met je eens. - Seriously, I completely agree with you."


23,konden,"*could*
verb: can, may, be able
""We konden de klus niet klaren."" - ""We couldn't finish the job."""


24,nietwaar,"*not true*

""Het is mooi weer vandaag, nietwaar?"" - ""It is nice weather today, isn't it?"""


25,verlaten,"*to leave*
verb: leave, abandon, quit
adjective: abandoned, desolate, derelict
Ik heb het verlaten stadje verlaten. - I left the abandoned town."


26,pistool,"*gun*
noun: pistol, pistole, Mauser
""Hij had een pistool in zijn hand."" - He had a gun in his hand."


27,gekregen,"*got*
verb: get, receive, have
Ik heb een cadeau gekregen. - I received a gift."


28,men,"*man*
pronoun: one, they
noun: people
Mensen komen hier vaak om te winkelen. - People often come here to shop."


