,Dutch,Quizlet


0,ik,"*I*
pronoun: I, me
en verdrietig. - I am sad."


1,je,"*you*
pronoun: you, your, thou
ent mijn beste vriend. - You are my best friend."


2,het,"*It*
article: the
pronoun: it
is een mooie dag. - It is a beautiful day."


3,de,"*the*
article: the, ye
at loopt door de tuin. - The cat is walking through the garden."


4,dat,"*that*
conjunction: that, which, what
pronoun: that, which, it
 is mijn huis."" - That is my house."


5,is,"*is*
verb: be
is een mooie dag. - It is a beautiful day."


6,een,"*An*
article: a, an
noun: one
pronoun: any
appel per dag houdt de dokter weg. - An apple a day keeps the doctor away."


7,niet,"*not *
adverb: not, no
noun: rivet, clench
heb niet veel tijd."" - I don't have much time."


8,en,"*and*
conjunction: and
is warm en zonnig. - It is warm and sunny."


9,wat,"*what*
conjunction: what, which
pronoun: what, which, some
adjective: some
adverb: few
 ga je doen?"" - What are you going to do?"


10,van,"*by*
preposition: of, from, by
noun: surname
mijn vrienden hou ik het meest van jou. - Of all my friends, I like you the most."


11,we,"*we*
pronoun: we
aan naar de bioscoop. - We are going to the movies."


12,in,"*in*
preposition: in, into, at
en in de stad. - I am in the city."


13,ze,"*she*
pronoun: they, she, them
eeft een grote lach. - She has a big laugh."


14,hij,"*he*
pronoun: he, it, him
rent naar school. - He runs to school."


15,op,"*on*
adverb: on, up, upward
preposition: on, at, in
adjective: spent, exhausted, perished
ta op om te gaan lopen. - I'm getting up to go for a walk."


16,te,"*at*
particle: to
adverb: too
preposition: in, at, on
prefix: over-
eb te veel gegeten. - I ate too much."


17,zijn,"*are*
pronoun: his, its, her
verb: be
noun: entity
is mijn broer. - He is my brother."


18,er,"*there*
adverb: there, yonder
s geen tijd om te wachten - There is no time to wait."


19,maar,"*but*
conjunction: but, only
preposition: but
adverb: only, however, solely
adjective: mere
noun: battleship
moet helaas maar gaan,"" - ""Unfortunately, I have to go."""


20,die,"*That*
pronoun: that, which, who
conjunction: which, who
 kat is zwart."" - ""The cat is black."""


21,heb,"*have*
verb: have, possess, own
eb een boek gelezen. = I have read a book."


22,me,"*me*
pronoun: me, I
eb me vergist. - I made a mistake."


23,met,"*of*
preposition: with, by, on
adverb: along with
a met mijn vrienden naar het strand. - I'm going to the beach with my friends."


24,voor,"*for*
preposition: for, prior to, in front of
adverb: before, ahead, along
noun: furrow, grip, rut
conjunction: ere
eb geen tijd om te wachten voor de trein. - I don't have time to wait for the train."


25,als,"*if*
adverb: as
conjunction: as, if, when
preposition: like
je moe bent, neem dan een rustpauze. - If you are tired, take a break."


26,ben,"*am*
noun: basket
en vermoeid. - I am tired."


27,was,"*used to be*
noun: wash, wax, washing
as daar gisteren. - I was there yesterday."


28,dit,"*this*
pronoun: this, it
is mijn huis. - This is my house."


29,mijn,"*mine*
pronoun: my, mine, of mine
noun: mine, pit, quarry
 huis is groot. - My house is big."


30,om,"*to*
preposition: to, for, at
adverb: around, about
ebruik deze spullen om mijn huis te versieren. - I use these things to decorate my house."


31,aan,"*On*
preposition: to, on, at
eb aan het werk gewerkt. - I have been working."


