,Dutch,Quizlet


0,hallo,"*Hello*
noun: hello, hallo
Hallo, goedendag! - Hello, good day!"


1,leuk,"*nice*
adjective: nice, entertaining, amusing
adverb: prettily
Het is leuk om hier te zijn. - It is nice to be here."


2,sorry,"*Sorry*
interjection: Sorry!, I am sorry!
Sorry, ik heb je verkeerd begrepen. - Sorry, I misunderstood you."


3,alle,"*all*
adjective: all
Alle mensen zijn gelijk. - All people are equal."


4,elkaar,"*each other*
adverb: each other, one another
pronoun: each other, one another
We zien elkaar morgen. - We'll see each other tomorrow."


5,toe,"*please*
preposition: to
adverb: towards
adjective: shut, closed
Ik voeg het toe. - I add it."


6,wist,"*knew*
verb: know, wit, wot
Ik wist dat het zo zou zijn. - I knew it would be this way."


7,zegt,"*say*
verb: say, tell, put
Zij zegt dat het te laat is. She says it's too late."


8,bedoel,"*mean*
verb: mean, intend, design
Ik bedoel dat ik het niet weet. - I mean that I don't know."


9,blijf,"*stay*
verb: remain, stay, keep
Blijf bij me, stay with me."


10,alsjeblieft,"*please*
interjection: Please!
""Kan ik alsjeblieft een glas water hebben?"" - ""Can I please have a glass of water?"""


11,lang,"*long*
adjective: long, tall, prolonged
adverb: long
Het duurde lang voordat hij aankwam - It took a long time before he arrived."


12,meneer,"*sir*
abbreviation: Mr.
noun: mister, monsieur, gent
Meneer, mag ik u iets vragen? - Mister, may I ask you something?"


13,ziet,"*sees*
verb: see, view, look
""Hij ziet er goed uit."" - He looks good."


14,maakt,"*makes*
verb: make, do, build
Hij maakt een goede indruk. - He makes a good impression."


15,luister,"*listen*
noun: splendor, magnificence, pomp
Luister naar mij! - Listen to me!"


16,dingen,"*stuff*
verb: bargain, sue, chaffer
Ik doe dingen die ik leuk vind. = I do things that I like."


17,mooi,"*Nice*
adjective: beautiful, nice, pretty
adverb: beautifully, fine, prettily
Het is een mooie dag. - It is a beautiful day."


18,werd,"*became*
verb: be, become, get
Hij werd gekozen als president. - He was elected as president."


19,eerste,"*first*
adjective: first, initial, former
noun: first
adverb: initially
Mijn eerste taal was Engels. - My first language was English."


20,graag,"*Please*
adverb: gladly, willingly, fain
Ik zou het graag weten. - I'd like to know."


21,natuurlijk,"*Naturally*
adverb: of course, naturally, no doubt
adjective: natural, native, unsophisticated
Natuurlijk wil ik dat doen. - Of course I want to do that."


22,houden,"*to hold*
verb: keep, hold, retain
Ik houd van jou. - I love you."


23,zonder,"*without*
preposition: without, sans, out of
adverb: no
Ik kan niet zonder jou leven. - I can't live without you."


24,steeds,"*still*
adverb: always, ever
adjective: town
Steeds meer mensen kopen hun boodschappen online. - More and more people are buying their groceries online."


25,krijgen,"*to get*
verb: get, receive, have
Ik krijg een cadeau. - I am getting a present."


26,grote,"*great*
adjective: large, great, big
Mijn grote broer woont in een andere stad. - My big brother lives in another city."


27,achter,"*behind*
adverb: behind, after, post
preposition: behind, after
adjective: hind, slow
noun: venerator
Ik sta achter mijn beslissing. - I stand behind my decision."


28,helemaal,"*absolutely*
adverb: all, completely, quite
Hij is helemaal klaar. - He is completely ready."


