,Dutch,Quizlet


0,slapen,"*to sleep*
verb: sleep, lie, doss
Ik slaap al een uur. - I have been sleeping for an hour."


1,ver,"*far*
adjective: far, remote, distant
adverb: far, remotely, off
Ik verkies dit boek boven dat boek. - I prefer this book over that book."


2,reden,"*rode*
noun: reason, cause, matter
""Ik heb geen reden om hier te blijven."" - ""I have no reason to stay here."""


3,fout,"*wrong*
noun: error, mistake, fault
adjective: wrong, incorrect, erroneous
Ik heb een fout gemaakt. - I made a mistake."


4,vallen,"*traps*
verb: fall, drop, fall down
Ik viel van mijn stoel. - I fell off my chair."


5,maanden,"*months*
noun: month, moon
De maanden vliegen voorbij. - The months fly by."


6,mogen,"*to be allowed to*
verb: may
Ik mag naar buiten gaan. - I may go outside."


7,oud,"*old*
adjective: old, ancient, aged
Mijn oude auto is een beetje versleten. - My old car is a bit worn out."


8,vergeet,"*forgets*
verb: forget
Vergeet niet om de boodschappen te doen. - Don't forget to do the shopping."


9,voelt,"*feels*
verb: feel, sense, emote
Het voelt als een droom. - It feels like a dream."


10,vent,"*guy*
noun: fellow, bloke, chap
Hij heeft veel venten gekregen voor zijn verjaardag. 
Translation: He got a lot of gifts for his birthday."


11,sir,"*sir*

""De heer is hier, meneer."" - ""Sir is here, sir."""


12,hoorde,"*heard*
verb: hear, belong, learn
Ik hoorde dat je naar Parijs gaat. - I heard that you're going to Paris."


13,hoort,"*belongs*
verb: hear, belong, learn
""Hij hoort de klokken luiden."" - He hears the bells ringing."


14,klinkt,"*sounds*
verb: sound, ring, clink
""Het klinkt als een goed idee."" - It sounds like a good idea."


15,terwijl,"*while*
conjunction: while, whilst, as
preposition: during
Terwijl ik mijn huiswerk maak, kijk ik naar mijn favoriete tv-programma. 

While I do my homework, I watch my favorite TV show."


16,vriendin,"*female friend*
noun: girlfriend, friend, lover
Mijn vriendin is heel lief. - My girlfriend is very sweet."


17,welkom,"*welcome*
adjective: welcome, acceptable
adverb: acceptably
Welkom! = Welcome!"


18,team,"*team*
noun: team, side, detachment
Het team is gedreven om het doel te bereiken.

Translation: The team is driven to achieve the goal."


19,rond,"*round*
adverb: around, roundly
adjective: round, circular, rotund
noun: round, rondure
Ik heb rond gelopen. - I walked around."


20,president,"*president*
noun: president, chairman
De president is de leider van het land.
Translation: The president is the leader of the country."


21,oorlog,"*war*
noun: war, warfare
De oorlog was een verschrikkelijke tijd. (The war was a terrible time.)"


22,duidelijk,"*clearly*
adjective: clear, obvious, evident
adverb: clearly, obviously, plain
""Het is duidelijk dat we deze taak moeten voltooien."" - It is clear that we must complete this task."


23,jaren,"*years*
noun: year, annum, twelvemonth
Ik heb al jaren geen contact meer met haar gehad. - I haven't had any contact with her for years."


24,rest,"*rest*
noun: rest, remainder, residual
De rest van de dag heb ik gewerkt. - I worked the rest of the day."


25,schuld,"*debt*
noun: debt, fault, blame
Ik voel me schuldig. - I feel guilty."


26,avond,"*evening*
noun: evening, night, even
adjective: vespertine
Ik heb vanavond vrij. - I have free time this evening."


