,Dutch,Quizlet


0,gedachten,"*thoughts*
noun: mind
De gedachten van mijn vrienden zijn belangrijk voor me. - My friends' thoughts are important to me."


1,derde,"*third*
adjective: third
noun: third
: third
De derde dag was de moeilijkste. - The third day was the most difficult."


2,rennen,"*run*
verb: run, race, rush
Ik ren naar huis. - I am running home."


3,namen,"*names*
noun: name, first name, title
De namen zijn John en Mary. - The names are John and Mary."


4,teken,"*sign*
noun: sign, symbol, token
Ik heb een teken gegeven. - I have given a sign."


5,speelt,"*plays*
verb: play, game, perform
Hij speelt voetbal. - He is playing football."


6,stem,"*voice*
noun: vote, voice, vox
Ik heb de stam van de boom gezien. - I saw the trunk of the tree."


7,bedrijf,"*company*
noun: business, enterprise, working
Mijn bedrijf is gespecialiseerd in softwareontwikkeling. - My company specialises in software development."


8,moe,"*tired*
adjective: tired, weary, sick
Ik ben moe. - I am tired."


9,tenzij,"*unless*
conjunction: unless, save, without
Tenzij je het anders wilt, zal ik je helpen. Unless you want it differently, I will help you."


10,dom,"*stupid*
adjective: stupid, silly, foolish
noun: cathedral, dome
adverb: stupidly, vainly
De kat is zo dom als een doos, translated as The cat is as dumb as a box."


11,vlucht,"*flight*
noun: flight, covey, rush
De vlucht was vertraagd vanwege het slechte weer. - The flight was delayed due to the bad weather."


12,raak,"*touch*
adjective: striking, home, pat
adverb: strikingly, home, pat
Raak mij niet aan. - Don't touch me."


13,relatie,"*relation*
noun: relation, acquaintance
Mijn relatie met mijn vriend is erg sterk. - My relationship with my boyfriend is very strong."


14,lachen,"*laugh*
verb: laugh, smile
Ik lachte hard. - I laughed loudly."


15,leuke,"*nice*
adjective: nice, entertaining, amusing
Het is een leuke dag vandaag - It's a nice day today."


16,schuldig,"*guilty*
adjective: guilty, due, culpable
Ik ben schuldig. - I am guilty."


17,negen,"*nine*
noun: nine
: nine
De kat heeft negen levens. - The cat has nine lives."


18,tafel,"*table*
noun: table, board, meal
De tafel staat in de hoek. - The table is in the corner."


19,sneller,"*faster*
adjective: hair-trigger
""Hij loopt sneller dan ik."" - He runs faster than me."


20,James,"*James*

James is een populaire naam. - James is a popular name."


21,jong,"*young*
adjective: young, infant, juvenile
noun: cub, child, youngling
Hij is jong, he is young."


22,vanwege,"*because of*
preposition: because of, on account of, seeing
Vanwege het slechte weer, hebben we besloten om binnen te blijven.
Due to the bad weather, we have decided to stay inside."


23,beide,"*both*
adjective: both
pronoun: either
Beide kinderen hebben een prijs gewonnen. - Both children have won a prize."


24,viel,"*fell*
verb: fall, drop, fall down
Ik viel van mijn fiets - I fell off my bike"


25,oog,"*eye*
noun: eye, dot, pip
Het oog van de naald is erg klein.
The eye of the needle is very small."


26,leek,"*seemed*
noun: layman, secular, laic
De leek had geen idee wat er aan de hand was. - The layman had no idea what was going on."


27,gestuurd,"*sent*
verb: send, steer, forward
Ik heb de brief gestuurd. - I sent the letter."


28,lijn,"*line*
noun: line, rope, score
De lijn liep langs de rivier. - The line ran along the river."


29,grapje,"*just kidding*
noun: joke, wisecrack, lark
""Het is maar een grapje!"" - It's just a joke!"


