,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
0,0,0,vond,Ik vond het boek interessant. - I found the book interesting.
1,1,1,praat,Hij praat met mij. - He is talking to me.
2,2,2,prima,Mijn dag was prima! - My day was great!
3,3,3,betekent,Het betekent 'it means'
4,4,4,soort,Deze soort appels is het lekkerst. - This type of apples is the tastiest.
5,5,5,zaak,"""Het is een belangrijke zaak."" - ""It is an important matter."""
6,6,6,proberen,Ik probeer mijn best te doen. - I'm trying my best.
7,7,7,jack,Jack is mijn favoriete kledingstuk. - Jack is my favorite article of clothing.
8,8,8,spelen,Ik speel graag piano. - I like to play the piano.
9,9,9,lekker,"""Het eten is lekker!"" - The food is delicious!"
10,10,10,doden,De soldaten hebben veel doden gemaakt. - The soldiers have made many deaths.
11,11,11,gebruiken,Ik gebruik het boek voor mijn onderzoek. - I am using the book for my research.
12,12,12,groot,Mijn huis is erg groot. - My house is very big.
13,13,13,kent,De kat kent de muis. - The cat knows the mouse.
14,14,14,boven,Ik zou graag boven willen zitten. - I would like to sit upstairs.
15,15,15,water,Het water is koud. - The water is cold.
16,16,16,problemen,"De directeur heeft veel problemen met het beheren van het bedrijf.

The director has many problems managing the company."
17,17,17,land,Het land was enorm groot. - The land was incredibly large.
18,18,18,sta,Ik sta klaar om te gaan. - I'm ready to go.
19,19,19,later,Later zal ik je bellen. - I will call you later.
20,20,20,papa,Mijn papa is de beste! - My dad is the best!
21,21,21,pakken,Ik pak mijn tas. - I'm grabbing my bag.
22,22,22,week,Deze week heb ik veel gewerkt. - This week I have worked a lot.
23,23,23,schat,"Mijn schat, ik hou van je. My darling, I love you."
24,24,24,voordat,"Voordat ik naar school ging, at ik mijn ontbijt. 
Before I went to school, I ate my breakfast."
25,25,25,zoveel,Zoveel mensen bezoeken de stad elke dag. - So many people visit the city every day.
26,26,26,vrij,Ik ben vrij om te gaan waar ik wil. - I am free to go wherever I want.
27,27,27,echte,"""Hij is een echte gentleman."" - He is a true gentleman."
28,28,28,stoppen,Ik moet stoppen met roken. - I have to stop smoking.
29,29,29,klootzak,"""Hij is een echte klootzak!"" - He is a real jerk!"
30,30,30,beginnen,Ik begin met het maken van de taart. - I am starting to make the cake.
31,31,31,alstublieft,"Alstublieft, mag ik wat water, alstjeblieft?
Please, may I have some water, please?"
32,32,32,zodat,"""Ik heb de instructies gelezen zodat ik de taak kon voltooien."" - ""I read the instructions so that I could complete the task."""
33,33,33,zorg,"""Ik heb veel zorgen."" - ""I have a lot of worries."""
34,34,34,mooie,"""Het is een mooie dag!"" - ""It's a beautiful day!"""
35,35,35,wees,Wees voorzichtig! - Be careful!
36,36,36,vermoorden,"Ik vermoordde hem, I killed him."
37,37,37,mis,Ik mis je. - I miss you.
38,38,38,vooruit,"Vooruit, laten we naar huis gaan! - Come on, let's go home!"
39,39,39,bellen,"Ik bel je later nog, I'll call you later."
40,40,40,dochter,Mijn dochter is mijn beste vriendin - My daughter is my best friend.
41,41,41,vrouwen,"""Vrouwen zijn sterk."" - Women are strong."
42,42,42,tien,De tien katten zaten in de tuin. - The ten cats were sitting in the garden.
43,43,43,hoeft,Hoeft u niet te wachten? - Do you not need to wait?
44,44,44,lopen,Ik loop naar school. - I am walking to school.
45,45,45,hart,"""Mijn hart klopt snel."" - My heart is beating fast."
46,46,46,snap,"""Snap je dat?"" - ""Do you understand that?"""
47,47,47,voorbij,De trein reed voorbij. - The train passed by.
48,48,48,los,Het losse stuk papier vloog door de lucht. - The loose piece of paper flew through the air.
49,49,49,vergeten,Ik heb mijn sleutels vergeten. - I have forgotten my keys.
50,50,50,gebeuren,Het gebeuren was onverwacht. - The event was unexpected.
51,51,51,bloed,"""Het bloed stroomde over de grond."" - The blood flowed over the ground."
52,52,52,druk,Het is druk in de stad. - It is busy in the city.
53,53,53,verhaal,Het verhaal was erg interessant. - The story was very interesting.
54,54,54,moeilijk,Moeilijk zijn de lessen van de leraar. - The teacher's lessons are difficult.
55,55,55,hoi,"Hoi, Hallo!"
56,56,56,zes,Zes mensen waren aanwezig. - Six people were present.
57,57,57,eerder,Ik had eerder koffie gedronken. - I had drunk coffee earlier.
58,58,58,neer,Ik heb mijn boek neergelegd. - I have put down my book.
59,59,59,ervan,Ik ben ervan overtuigd dat het waar is. - I am convinced that it is true.
60,60,60,bed,Het bed is groot. - The bed is big.
61,61,61,nacht,De nacht was donker en koud. - The night was dark and cold.
62,62,62,bezig,Ik ben bezig met het schrijven van een brief. - I am busy writing a letter.
63,63,63,wakker,Ik ben wakker geworden - I woke up.
64,64,64,redden,Hij redde haar uit de brand. - He saved her from the fire.
65,65,65,klein,Klein als een muis. - Small as a mouse.
66,66,66,gekomen,Ik ben gekomen om te helpen. - I have come to help.
67,67,67,sinds,"Sinds gisteren heb ik geen honger meer.
Since yesterday I haven't been hungry anymore."
68,68,68,kop,De kop was leeg. - The cup was empty.
69,69,69,zult,Zult u mij helpen? - Will you help me?
70,70,70,begrepen,"Ik begrepen het, I understood it."
71,71,71,plek,Deze plek is mooi. - This place is beautiful.
72,72,72,veilig,"""Het is veilig om te zwemmen in het meer."" - It is safe to swim in the lake."
73,73,73,stel,Stel je voor hoe leuk het zou zijn als we hier konden blijven! - Imagine how much fun it would be if we could stay here!
74,74,74,vol,Het vliegtuig was vol passagiers. - The plane was full of passengers.
75,75,75,nummer,"""Ik heb het nummer van haar."" - I have her number."
76,76,76,waarheid,De waarheid is dat ik je nooit zal vergeten. - The truth is that I will never forget you.
77,77,77,zoiets,"""Zoiets als dit heb ik nog nooit gezien."" - ""I have never seen something like this before."""
78,78,78,mevrouw,"Mevrouw, mag ik alstublieft de krant hebben? - May I please have the newspaper, ma'am?"
79,79,79,leren,Ik leer Nederlands. - I am learning Dutch.
80,80,80,hetzelfde,Ik heb hetzelfde probleem. - I have the same problem.
81,81,81,gaf,Hij gaf me een cadeau. - He gave me a present.
82,82,82,baby,De baby sliep rustig. - The baby was sleeping peacefully.
83,83,83,baas,"""Mijn baas is heel streng."" - My boss is very strict."
84,84,84,gelukkig,"""Gelukkig heb ik mijn huiswerk afgerond!"" - ""Fortunately, I finished my homework!"""
85,85,85,meteen,Ik doe het meteen. - I'll do it right away.
86,86,86,beneden,Ik ben beneden. - I am downstairs.
87,87,87,waarschijnlijk,Waarschijnlijk zal het vandaag regenen. - It is likely to rain today.
88,88,88,sterven,Ik sterf van de honger - I'm dying of hunger.
89,89,89,gezicht,Mijn gezicht gloeide van de zon. - My face was glowing from the sun.
90,90,90,begin,Begin met het lezen van het boek. - Start reading the book.
91,91,91,mogelijk,Het is mogelijk dat ik naar de winkel ga. - It is possible that I go to the store.
92,92,92,mama,"Mama, ik hou van je! - Mum, I love you!"
93,93,93,dicht,De deur is dicht. - The door is closed.
94,94,94,zaken,"""Hij heeft veel zaken gedaan."" - He has done a lot of business."
95,95,95,liggen,"De kat ligt op de bank, The cat is lying on the couch."
96,96,96,nieuws,Het nieuws is interessant. - The news is interesting.
97,97,97,ander,De andere man was dapper. - The other man was brave.
98,98,98,eraan,Ik voegde er nog wat extra ingrediënten aan eraan toe. - I added some extra ingredients to it.
99,99,99,liefde,Liefde is het meest kostbare wat we hebben. - Love is the most precious thing we have.
