,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
0,0,0,verdomde,"""Verdomde, ik ben mijn sleutels kwijt!"" - Damn, I've lost my keys!"
1,1,1,hierheen,"""Kom hierheen!"" - ""Come here!"""
2,2,2,punt,Ik heb de punt van de les gemist. - I missed the point of the lesson.
3,3,3,toekomst,De toekomst is onzeker. - The future is uncertain.
4,4,4,probeerde,"Probeerde ik het een keer, I tried it once."
5,5,5,half,"""Het duurde bijna een half jaar."" - It almost took a half year."
6,6,6,leger,"Het leger is de strijdkracht van het land. 
Translation: The army is the fighting force of the country."
7,7,7,waard,Deze kamer is het waard om te bezoeken. - This room is worth visiting.
8,8,8,opnieuw,Ik moet het opnieuw proberen. - I have to try it again.
9,9,9,val,Ik val van de trap. - I fall down the stairs.
10,10,10,vuur,Het vuur brandt heet. - The fire is burning hot.
11,11,11,bewijs,"""Het bewijs is duidelijk."" - The evidence is clear."
12,12,12,controle,De controle was niet goed. - The control was not good.
13,13,13,stellen,Ik stel voor dat we het over een andere keer uitstellen. - I suggest that we postpone it for another time.
14,14,14,tv,De tv staat aan. - The TV is on.
15,15,15,loop,Ik heb een loop in het park gedaan. - I went for a walk in the park.
16,16,16,woorden,"""Ik heb veel woorden geschreven in mijn essay."" - ""I have written many words in my essay."""
17,17,17,droom,Ik droom van een reis naar Australië. - I dream of a trip to Australia.
18,18,18,begrijpen,Ik begrijp het niet. = I don't understand it.
19,19,19,eet,Ik eet appels. - I eat apples.
20,20,20,bedoelt,"""Hij bedoelt dat het niet zo makkelijk is."" - He means that it is not so easy."
21,21,21,onzin,"""Het is onzin om zo'n lange weg te lopen."" - It is nonsense to walk such a long way."
22,22,22,serieus,"Serieus, ik ben het volkomen met je eens. - Seriously, I completely agree with you."
23,23,23,konden,"""We konden de klus niet klaren."" - ""We couldn't finish the job."""
24,24,24,nietwaar,"""Het is mooi weer vandaag, nietwaar?"" - ""It is nice weather today, isn't it?"""
25,25,25,verlaten,Ik heb het verlaten stadje verlaten. - I left the abandoned town.
26,26,26,pistool,"""Hij had een pistool in zijn hand."" - He had a gun in his hand."
27,27,27,gekregen,Ik heb een cadeau gekregen. - I received a gift.
28,28,28,men,Mensen komen hier vaak om te winkelen. - People often come here to shop.
29,29,29,brengt,Hij brengt de boodschappen naar huis. - He brings the groceries home.
30,30,30,fantastisch,"""Het is echt fantastisch!"" - It is really fantastic!"
31,31,31,trots,Ik ben trots op mijn prestaties. - I am proud of my achievements.
32,32,32,ziens,"""Ziens je later!"" - See you later!"
33,33,33,ongeluk,"""Hij had een ongeluk met zijn fiets."" - He had an accident with his bike."
34,34,34,geheim,Het geheim is nog steeds onbekend. - The secret is still unknown.
35,35,35,vroeger,"Vroeger was ik heel bang voor spinnen. - Before, I was very scared of spiders."
36,36,36,veranderd,De situatie is veranderd. - The situation has changed.
37,37,37,eentje,"""Ik wil eentje koffie, alstublieft."" - ""I'd like one coffee, please."""
38,38,38,werden,De kinderen werden uitgeput na het spelen in de tuin. - The children became exhausted after playing in the garden.
39,39,39,begon,Het begon te regenen. - It started to rain.
40,40,40,verliezen,Ik heb mijn sleutels verloren. - I lost my keys.
41,41,41,probeert,Hij probeert de deur te openen. - He is trying to open the door.
42,42,42,vliegtuig,Het vliegtuig vliegt naar Parijs. - The plane is flying to Paris.
43,43,43,let,Laat het me weten - Let me know
44,44,44,slim,"""Hij is erg slim!"" - He is very smart!"
45,45,45,juiste,De juiste antwoorden zijn gegeven. - The correct answers have been given.
46,46,46,langer,Ik ben langer dan mijn broer. - I am taller than my brother.
47,47,47,slaap,Ik heb vannacht slecht geslapen. - I slept badly last night.
48,48,48,lezen,Ik lees graag boeken. - I enjoy reading books.
49,49,49,ongeveer,Ongeveer twee uur geleden was ik hier. - Approximately two hours ago I was here.
50,50,50,behalve,"Behalve mijn ouders, heb ik nog twee broers.

Except for my parents, I have two more brothers."
51,51,51,meid,De meid komt om de hoek kijken. - The girl is coming around the corner to look.
52,52,52,oom,Mijn oom is een leraar. - My uncle is a teacher.
53,53,53,gered,Ik heb de kat gered. - I saved the cat.
54,54,54,bank,De bank staat in de woonkamer. - The bank is in the living room.
55,55,55,generaal,De generaal was de leider van het leger. - The general was the leader of the army.
56,56,56,dienst,"De dienst was uitstekend, The service was excellent."
57,57,57,tenminste,"""Tenminste, we hebben al onze vrienden gezien."" - At least, we have seen all of our friends."
