,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,vond,"*found*
verb: find, think of, hit upon
Ik vond het boek interessant. - I found the book interesting.",Ik vond het boek interessant. - I found the book interesting.,*found*,"[['find', 'think of', 'hit upon', 'contrive', 'open up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vond,"verb: find, think of, hit upon"


1,praat,"*talk*
noun: talking
Hij praat met mij. - He is talking to me.",Hij praat met mij. - He is talking to me.,*talk*,[['talking']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=praat,noun: talking


2,prima,"*fine*
adjective: prime, top, choice
noun: tiptop
adverb: toppingly
Mijn dag was prima! - My day was great!",Mijn dag was prima! - My day was great!,*fine*,"[['prime', 'top', 'choice', 'magnificent', 'superfine', 'top notch', 'topping', 'tiptop', 'champion', 'number one', 'tops', 'top flight', 'prize', 'star', 'clipping', 'nailing', 'first-class', 'top-hole', 'slap-up'], ['tiptop'], ['toppingly']]",adjective noun adverb,adjective noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=prima,"adjective: prime, top, choice
noun: tiptop
adverb: toppingly"


3,betekent,"*means*
verb: mean, signify, serve
Het betekent 'it means'",Het betekent 'it means',*means*,"[['mean', 'signify', 'serve', 'matter', 'connote', 'import', 'infer', 'token', 'connotate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=betekent,"verb: mean, signify, serve"


4,soort,"*kind*
noun: kind, sort, variety
Deze soort appels is het lekkerst. - This type of apples is the tastiest.",Deze soort appels is het lekkerst. - This type of apples is the tastiest.,*kind*,"[['kind', 'sort', 'variety', 'nature', 'genus', 'specie', 'breed', 'brand', 'genre', 'manner', 'order', 'persuasion', 'tribe', 'kidney', 'make', 'touch']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=soort,"noun: kind, sort, variety"


5,zaak,"*case*
noun: case, matter, business
""Het is een belangrijke zaak."" - ""It is an important matter.""","""Het is een belangrijke zaak."" - ""It is an important matter.""",*case*,"[['case', 'matter', 'business', 'cause', 'affair', 'shop', 'concern', 'boutique', 'proposition']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=zaak,"noun: case, matter, business"


6,proberen,"*to attempt*
verb: try, attempt, endeavor
Ik probeer mijn best te doen. - I'm trying my best.",Ik probeer mijn best te doen. - I'm trying my best.,*to attempt*,"[['try', 'attempt', 'endeavor', 'test', 'sample', 'give it a try', 'prove', 'endeavour']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=proberen,"verb: try, attempt, endeavor"


7,jack,"*jack*

Jack is mijn favoriete kledingstuk. - Jack is my favorite article of clothing.",Jack is mijn favoriete kledingstuk. - Jack is my favorite article of clothing.,*jack*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=jack,


