,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,nieuw,"*new*
adjective: new, novel, fresh
Het nieuwe jaar is begonnen. - The new year has begun.",Het nieuwe jaar is begonnen. - The new year has begun.,*new*,"[['new', 'novel', 'fresh', 'recent', 'modern', 'incoming', 'pioneer', 'green', 'young', 'new-made', 'new-fledged']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nieuw,"adjective: new, novel, fresh"


1,elk,"*each*
pronoun: each, any, everyone
adjective: every, all, whatever
adverb: apiece
Elk kind heeft recht op onderwijs. - Every child has the right to education.",Elk kind heeft recht op onderwijs. - Every child has the right to education.,*each*,"[['each', 'any', 'everyone'], ['every', 'all', 'whatever', 'whatsoever'], ['apiece']]",pronoun adjective adverb,pronoun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=elk,"pronoun: each, any, everyone
adjective: every, all, whatever
adverb: apiece"


2,erin,"*in it*

Erin heeft het boek gelezen. - Erin has read the book.",Erin heeft het boek gelezen. - Erin has read the book.,*in it*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=erin,


3,ontmoeten,"*Meet*
verb: meet, encounter, see
Ik heb haar vorige week ontmoeten. - I met her last week.",Ik heb haar vorige week ontmoeten. - I met her last week.,*Meet*,"[['meet', 'encounter', 'see', 'join', 'forgather', 'fall in with', 'drop across']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ontmoeten,"verb: meet, encounter, see"


4,vechten,"*to fight*
verb: fight, battle, combat
Ik vecht voor mijn rechten. - I'm fighting for my rights.",Ik vecht voor mijn rechten. - I'm fighting for my rights.,*to fight*,"[['fight', 'battle', 'combat', 'scuffle', 'scrap', 'cuff', 'scrimmage']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vechten,"verb: fight, battle, combat"


5,voorzichtig,"*carefully*
adjective: careful, cautious, prudent
adverb: carefully, gently, gingerly
Wees voorzichtig! - Be careful!",Wees voorzichtig! - Be careful!,*carefully*,"[['careful', 'cautious', 'prudent', 'wary', 'tentative', 'mindful', 'guarded', 'chary', 'cagey', 'gingery', 'circumspective', 'ware'], ['carefully', 'gently', 'gingerly', 'warily']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=voorzichtig,"adjective: careful, cautious, prudent
adverb: carefully, gently, gingerly"


6,geworden,"*become*
verb: be, become, get
Ik ben een professionele schrijver geworden. = I have become a professional writer.",Ik ben een professionele schrijver geworden. = I have become a professional writer.,*become*,"[['be', 'become', 'get', 'take', 'grow', 'come', 'force upon', 'flake off', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=geworden,"verb: be, become, get"


