,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,ik,"*I*
pronoun: I, me
en verdrietig. - I am sad.",en verdrietig. - I am sad.,*I*,"[['I', 'me']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=ik,"pronoun: I, me"


1,je,"*you*
pronoun: you, your, thou
ent mijn beste vriend. - You are my best friend.",ent mijn beste vriend. - You are my best friend.,*you*,"[['you', 'your', 'thou']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=je,"pronoun: you, your, thou"


2,het,"*It*
article: the
pronoun: it
is een mooie dag. - It is a beautiful day.",is een mooie dag. - It is a beautiful day.,*It*,"[['the'], ['it']]",article pronoun,article pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=het,"article: the
pronoun: it"


3,de,"*the*
article: the, ye
at loopt door de tuin. - The cat is walking through the garden.",at loopt door de tuin. - The cat is walking through the garden.,*the*,"[['the', 'ye']]",article,article,https://www.linguee.com/english-dutch/search?source=auto&query=de,"article: the, ye"


4,dat,"*that*
conjunction: that, which, what
pronoun: that, which, it
 is mijn huis."" - That is my house."," is mijn huis."" - That is my house.",*that*,"[['that', 'which', 'what'], ['that', 'which', 'it', 'those', 'that one']]",conjunction pronoun,conjunction pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=dat,"conjunction: that, which, what
pronoun: that, which, it"


5,is,"*is*
verb: be
is een mooie dag. - It is a beautiful day.",is een mooie dag. - It is a beautiful day.,*is*,[['be']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=is,verb: be


6,een,"*An*
article: a, an
noun: one
pronoun: any
appel per dag houdt de dokter weg. - An apple a day keeps the doctor away.",appel per dag houdt de dokter weg. - An apple a day keeps the doctor away.,*An*,"[['a', 'an'], ['one'], ['any']]",article noun pronoun,article noun pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=een,"article: a, an
noun: one
pronoun: any"


7,niet,"*not *
adverb: not, no
noun: rivet, clench
heb niet veel tijd."" - I don't have much time.","heb niet veel tijd."" - I don't have much time.",*not *,"[['not', 'no'], ['rivet', 'clench']]",adverb noun,adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=niet,"adverb: not, no
noun: rivet, clench"


8,en,"*and*
conjunction: and
is warm en zonnig. - It is warm and sunny.",is warm en zonnig. - It is warm and sunny.,*and*,[['and']],conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=en,conjunction: and


9,wat,"*what*
conjunction: what, which
pronoun: what, which, some
adjective: some
adverb: few
 ga je doen?"" - What are you going to do?"," ga je doen?"" - What are you going to do?",*what*,"[['what', 'which'], ['what', 'which', 'some', 'that', 'whatever', 'something', 'whatsoever'], ['some'], ['few']]",conjunction pronoun adjective adverb,conjunction pronoun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=wat,"conjunction: what, which
pronoun: what, which, some
adjective: some
adverb: few"


