,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,geest,"*spirit*
noun: spirit, mind, ghost
De geest van de ruimte was vreemd.

The spirit of the room was strange.","De geest van de ruimte was vreemd.

The spirit of the room was strange.",*spirit*,"[['spirit', 'mind', 'ghost', 'soul', 'genie', 'genius', 'intellect', 'psyche', 'demon', 'phantom', 'sprite', 'esprit', 'tone', 'tenor', 'shadow', 'daemon', 'goblin', 'eidolon']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=geest,"noun: spirit, mind, ghost"


1,gingen,"*used to go*
verb: go, proceed, work
Wij gingen naar de markt. - We went to the market.",Wij gingen naar de markt. - We went to the market.,*used to go*,"[['go', 'proceed', 'work', 'walk', 'step', 'wend', 'gang']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gingen,"verb: go, proceed, work"


2,straat,"*street*
noun: street, road, strait
De straat is geplaveid met kiezels. - The street is paved with pebbles.",De straat is geplaveid met kiezels. - The street is paved with pebbles.,*street*,"[['street', 'road', 'strait', 'straits', 'gate']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=straat,"noun: street, road, strait"


3,slechts,"*only*
adverb: only, merely, but
Slechts één persoon kwam op tijd. Only one person arrived on time.",Slechts één persoon kwam op tijd. Only one person arrived on time.,*only*,"[['only', 'merely', 'but', 'solely']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=slechts,"adverb: only, merely, but"


4,verkeerde,"*wrong*
adjective: wrong, incorrect, mistaken
De verkeerde kleur was gekozen - The wrong colour was chosen.",De verkeerde kleur was gekozen - The wrong colour was chosen.,*wrong*,"[['wrong', 'incorrect', 'mistaken', 'erroneous', 'faulty', 'perverse', 'abusive', 'preposterous', 'wry', 'cockeyed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=verkeerde,"adjective: wrong, incorrect, mistaken"


5,slaan,"*to beat*
verb: beat, hit, strike
noun: embossing
Ik sloeg de bal in het doel. - I hit the ball into the goal.",Ik sloeg de bal in het doel. - I hit the ball into the goal.,*to beat*,"[['beat', 'hit', 'strike', 'smite', 'knock', 'slap', 'whack', 'bang', 'whip', 'smack', 'bash', 'lash', 'hammer', 'slash', 'flap', 'swat', 'buffet', 'thrash', 'knock out', 'swipe', 'chime', 'flog', 'thump', 'pulse', 'coin', 'cuff', 'flail', 'wallop', 'maul', 'dub', 'rap', 'bludgeon', 'land', 'warble', 'pelt', 'mill', 'switch', 'biff', 'chop up', 'fib', 'paw', 'clap on', 'knap', 'pulsate', 'cane', 'incuse', 'jug', 'feeze'], ['embossing']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=slaan,"verb: beat, hit, strike
noun: embossing"


6,FBI,"*FBI*

De FBI heeft een onderzoek ingesteld. (The FBI has initiated an investigation.)",De FBI heeft een onderzoek ingesteld. (The FBI has initiated an investigation.),*FBI*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=FBI,


