,Dutch,Quizlet
0,dief,"noun, thief robber crook"
1,moordenaars,"noun, killer murderer assassin"
2,hoogheid,"noun, highness sublimity"
3,poging,"noun, attempt effort try"
4,Jesse,"No Google Info, No Google Info"
5,materiaal,"noun, material data"
6,toestand,"noun, state condition situation"
7,amper,"adverb, barely hardly scarcely"
8,voorlopig,"adjective, provisional temporary interim"
9,veilige,"adjective, safe secure sure"
10,verloofde,"noun, fiance fiancee bride"
11,daarin,"adverb, therein there"
12,slet,"noun, slut whore trollop"
13,Texas,"noun, Texas"
14,oefenen,"verb, exercise train school"
15,Franse,"noun, Frenchwoman"
16,woonde,"verb, live dwell reside"
17,prettige,"adjective, pleasant nice enjoyable"
18,voordeel,"noun, advantage benefit profit"
19,eindigt,"verb, end finish end up"
20,vliegt,"verb, fly wing rush"
21,verdediging,"noun, defense apology vindication"
22,vanochtend,"No Google Info, No Google Info"
23,zielig,"adjective, pathetic forlorn piteous"
24,Wilson,"No Google Info, No Google Info"
25,woestijn,"noun, desert waste sands"
26,apparaat,"noun, device apparatus set"
27,rat,"noun, rat"
28,kocht,"verb, buy purchase market"
29,lossen,"verb, unload discharge release"
30,diner,"noun, dinner diner dinner party"
31,cliënt,"noun, client customer"
32,feite,"No Google Info, No Google Info"
33,verkoopt,"verb, sell market auctioneer"
34,idioten,"No Google Info, No Google Info"
35,komende,"verb, come get come to"
36,plegen,"verb, commit perpetrate accustom"
37,kaartje,"noun, card ticket note"
38,-ste,"No Google Info, No Google Info"
39,dier,"noun, animal beast"
40,waarschuwing,"noun, warning alarm caution"
41,verbinding,"noun, connection link communication"
42,dichter,"noun, poet swan"
43,wijze,"noun, way manner mode"
44,pensioen,"noun, pension retirement superannuation"
45,Afrika,"noun, Africa"
46,winnaar,"noun, winner top dog"
47,drinkt,"verb, drink take a drink bib"
48,scheelt,"verb, differ ail"
49,doodde,"verb, kill slay jugulate"
50,lieten,"verb, let leave make"
51,smerig,"adjective, filthy nasty dirty"
52,bewakers,"noun, guard guardian warden"
53,klok,"noun, clock bell timepiece"
54,oor,"noun, ear listener"
55,verzet,"noun, resistance opposition protest"
56,stijl,"noun, style pillar stile"
57,richten,"verb, set address aim"
58,invloed,"noun, influence leverage consequence"
59,opgepakt,"verb, take up"
60,mogelijke,"adjective, possible potential eventual"
61,spelletjes,"No Google Info, No Google Info"
62,kerstman,"No Google Info, No Google Info"
63,markt,"noun, market marketplace mart"
64,bewaren,"verb, keep save preserve"
65,brieven,"noun, letter epistle postal"
66,studenten,"noun, student scholar colleger"
67,varken,"noun, pig hog swine"
68,komst,"noun, arrival coming advent"
69,lelijk,"adjective, ugly unsightly nasty"
70,centrum,"noun, center focus navel"
71,vijftien,"noun, fifteen"
72,kaas,"noun, cheese"
73,genie,"noun, genius mastermind master spirit"
74,valse,"adjective, false counterfeit foul"
75,donkere,"adjective, dark deep black"
76,huur,"noun, rent rental hire"
77,VS,"abbreviation, USA"
78,verdween,"verb, disappear vanish go"
79,overtuigd,"adjective, convinced confident satisfied"
80,aangezien,"conjunction, as since because"
81,cijfers,"noun, figure digit mark"
