,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,1400,capaz,capaz,,"Ella es capaz de manejar una emergencia con calma y una mente blanca.
She is capable of handling an emergency with calmness and a clear mind."
1,1401,verme,*verme* (ver),,"Tu opinión me sirve para verme mejor.  
Your opinion helps me to see myself better."
2,1402,beber,beber,,"El gato sube por el cuello de la botella para beber agua.
The cat climbs up the neck of the bottle to drink water."
3,1403,velocidad,velocidad,,"El niño entiende que los coches viejos no tienen mucha velocidad.
The child understands that old cars do not have much speed."
4,1404,darte,*darte* (dar),,"Quiero darte las gracias por aprender lo que ha cambiado.

I want to thank you for learning what has changed."
5,1405,llevas,*llevas* (llevar),,"¿Mami, llevas el uniforme al partido?
Mom, are you taking the uniform to the game?"
6,1406,partido,partido,partido,"El partido de tenis en la pista terminó con un golpe increíble.
The tennis match on the court ended with an incredible shot."
7,1407,partido,*partido* (partir),partir,"Estén atentos y caminen despacio hacia el partido.

Be attentive and walk slowly towards the game."
8,1408,estuviera,*estuviera* (estar),,"Si el príncipe estuviera aquí, ¿qué llevas puesto?
If the prince were here, what are you wearing?"
9,1409,dia,*dia* (día),,"¿Puedes ayudarme en esta emergencia hoy en día?
Can you help me in this emergency nowadays?"
10,1410,opinión,opinión,,"¿Cuál es tu opinión sobre los estados que visitaste cuando tuviste vacaciones?
What is your opinion about the states you visited when you had vacations?"
11,1411,irte,*irte* (ir),,"El príncipe te invita a irte a EEUU.

The prince invites you to go to the USA."
12,1412,cocina,cocina,cocina,"Tuviste un accidente en la cocina y se te cayó el tiro.
You had an accident in the kitchen and you dropped the shot."
13,1413,cocina,*cocina* (cocinar),cocinar,"Si estuviera en la cocina, trataría de cocinar algo delicioso.
If I were in the kitchen, I would try to cook something delicious."
14,1414,abrir,abrir,,"El príncipe decidió abrir la puerta después de escuchar un tiro.
The prince decided to open the door after hearing a shot."
15,1415,perros,*perros* (perro),,"Los perros siempre tratan de ayudarme cuando estoy triste.
The dogs always try to help me when I am sad."
16,1416,tambien,*tambien* (también),,"Conocí a María y también tengo ganas de verla otra vez.
I met María and I also want to see her again."
17,1417,sepa,*sepa* (saber),,"Espero que el príncipe sepa que vuelvo mañana.
I hope the prince knows that I return tomorrow."
18,1418,pareces,*pareces* (parecer),,"Pareces muy agradable, así que déjalo así.

You seem very nice, so leave it like that."
19,1419,escribir,escribir,,"Me gusta escribir historias con estilo para contar aventuras.

I like to write stories with style to tell adventures."
20,1420,golpe,golpe,,"El golpe fue una experiencia que me enseñó a ir despacio.  
The hit was an experience that taught me to go slowly."
21,1421,tenia,*tenia* (tener),,"Tenía unos libros viejos para aprender español.
I had some old books to learn Spanish."
22,1422,alta,alta,,"La camisa tiene un precio muy alto.
The shirt has a very high price."
23,1423,estados,*estados* (estado),estado,"Los estados son capaces de asegurar que tengan recursos suficientes.

The states are capable of ensuring that they have sufficient resources."
