,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,800,ejército,ejército,ejército,"El ejército implementó un nuevo sistema, pero fue una pena que no funcionara bien.
The army implemented a new system, but it was a shame that it didn't work well."
1,801,futuro,futuro,futuro,"Señorita, fuiste muy valiente y tu futuro será brillante.
Miss, you were very brave and your future will be bright."
2,802,llevar,llevar,llevar,"Llevo a mi amigo al centro para ver un negocio.
I take my friend to the center to see a business."
3,803,compañía,compañía,compañía,"Voy a cambiar de compañía para empezar un nuevo trabajo.
I am going to change companies to start a new job."
4,804,venido,*venido* (venir),venir,"Claro, aquí tienes una oración:

""Cuando ocurre algo importante, él ha venido y entra en la sala.""

""When something important happens, he has come and enters the room."""
5,805,listos,*listos* (listo),listo,"Los estudiantes no son estúpidos, están listos para pedir permiso.  
The students are not stupid, they are ready to ask for permission."
6,806,haremos,*haremos* (hacer),hacer,"Haremos lo que suena divertido, como cuando fuiste al parque.

We will do what sounds fun, like when you went to the park."
7,807,sitio,sitio,sitio,"El sitio es bonito, vale la pena que andes por allí.
The place is beautiful, it's worth walking around there."
8,808,verlo,*verlo* (ver),ver,"Quiero verlo en la llamada en línea.
I want to see him on the online call."
9,809,puesto,puesto,puesto,"El sistema vio que el puesto estaba vacío.
The system saw that the position was empty."
10,810,puesto,*puesto* (poner),poner,"He puesto un mensaje en la mesa por si ocurre algo.

I have placed a message on the table in case something happens."
11,811,atención,atención,atención,"Fuiste muy amable al prestar atención a mi error.
You were very kind to pay attention to my mistake."
12,812,sino,sino,sino,"El sistema no es perfecto, sino que necesitamos que sean mejores.

The system is not perfect, but we need them to be better."
13,813,cambiar,cambiar,cambiar,"Es una pena que no pueda cambiar el pase.

It's a shame that I can't change the pass."
14,814,error,error,error,"Encontré un error en el puesto de trabajo.
I found an error at the workstation."
15,815,blanco,blanco,blanco,"Presta atención al sitio blanco.

Pay attention to the white place."
16,816,raro,raro,raro,"El gato lindo hace algo raro cuando ocurre una tormenta.
The cute cat does something strange when a storm happens."
17,817,palabras,*palabras* (palabra),palabra,"Claro, aquí tienes una oración:

""Con tu permiso, necesito algunas palabras para aclarar mi mente.""

""With your permission, I need some words to clear my mind."""
18,818,llegó,*llegó* (llegar),llegar,"Fuiste al parque y llegó un día lindo.
You went to the park and a beautiful day arrived."
19,819,sal,sal,sal,"El mató la sal cuando pase por la cocina.
He killed the salt when he passed through the kitchen."
20,820,sal,*sal* (salir),salir,"Entendido, es imposible salir ahora.

Understood, it is impossible to leave now."
21,821,pase,*pase* (pasar),pasar,"Entra al parque y pase tiempo para ganar tranquilidad.
Enter the park and spend time to gain tranquility."
22,822,mente,mente,mente,"Haremos una foto para recordar este momento en nuestra mente.
We will take a photo to remember this moment in our mind."
23,823,sistema,sistema,sistema,"El sistema del barco se rompió en mitad del viaje.
The ship's system broke down in the middle of the trip."
24,824,película,película,película,"La película sobre el error en el negocio fue interesante.
The movie about the mistake in the business was interesting."
25,825,anda,*anda* (andar),andar,"Mi novia anda por el parque.
My girlfriend walks through the park."
26,826,ello,ello,ello,"Ello es normal, no espere nada diferente.
It is normal, do not expect anything different."
27,827,negocio,negocio,negocio,"El sistema del negocio necesita más sal.
The business system needs more salt."
28,828,negocio,*negocio* (negociar),negociar,"El negocio de la tienda vale la pena, según la foto que vi.  
The store's business is worth it, according to the photo I saw."
29,829,novia,novia,novia,"Mi novia vive en el piso de arriba, y me da pena no verla todos los días.
My girlfriend lives on the floor above, and it makes me sad not to see her every day."
30,830,permiso,permiso,permiso,"Creí que tenía permiso para usar el puesto.
I thought I had permission to use the position."
31,831,creí,*creí* (creer),creer,"Creí que el Grinch mató la navidad.

I believed that the Grinch killed Christmas."
32,832,suena,*suena* (sonar),sonar,"El timbre suena cuando alguien abre la puerta para llevar el paquete.
The doorbell rings when someone opens the door to deliver the package."
33,833,ocurre,*ocurre* (ocurrir),ocurrir,"El puesto abre cuando ocurre la feria.
The stand opens when the fair occurs."
34,834,oficial,oficial,oficial,"No soy un oficial sino un escritor de palabras.
I am not an official but a writer of words."
35,835,espere,*espere* (esperar),esperar,"Espere hasta que llegó el coche blanco.
Wait until the white car arrived."
36,836,aire,aire,aire,"Estamos listos para ganar y sentir el aire fresco.

We are ready to win and feel the fresh air."
37,837,mató,*mató* (matar),matar,"El hombre mató a la serpiente en la mitad del camino sin pena.
The man killed the snake in the middle of the road without remorse."
38,838,regresar,regresar,regresar,"Voy a regresar al centro después de terminar el negocio.
I will return to the downtown after finishing the business."
39,839,vio,*vio* (ver),ver,"El gato vio al ratón y lo mató con su trasero.
The cat saw the mouse and killed it with its rear."
40,840,hazlo,*hazlo* (hacer),hacer,"Hazlo ahora, cuando eras parte del ejército.

Do it now, when you were part of the army."
41,841,trasero,trasero,trasero,"El perro corre tras el gato, moviendo su trasero en el aire.
The dog runs after the cat, wagging its rear in the air."
42,842,grupo,grupo,grupo,"El grupo abre la película en el cine.
The group opens the movie at the cinema."
43,843,entendido,*entendido* (entender),entender,"He entendido lo que quieres decirle al grupo.
I have understood what you want to tell the group."
44,844,señorita,señorita,señorita,"La señorita nos dijo que haremos una visita a la compañía.
The young lady told us that we will make a visit to the company."
45,845,música,música,música,"Estamos listos para escuchar música, pero el ruido mató el ambiente.
We are ready to listen to music, but the noise killed the mood."
46,846,perra,perra,perra,"La perra busca atención tras la puerta.
The dog seeks attention behind the door."
47,847,conoce,*conoce* (conocer),conocer,"La señorita conoce al hombre que mató al perro.
The young lady knows the man who killed the dog."
48,848,empezar,empezar,empezar,"Empieza en cinco segundos, hazlo ahora.

Start in five seconds, do it now."
49,849,siente,*siente* (sentir),sentir,"Ella se siente feliz cuando la llevan al centro.
She feels happy when they take her to the center."
50,850,siente,*siente* (sentar),sentar,"Siente su trasero en la silla y pasa la sal.

Sit your bottom on the chair and pass the salt."
51,851,acabo,*acabo* (acabar),acabar,"Acabo de ver un ejército raro.

I just saw a strange army."
52,852,estúpido,estúpido,estúpido,"La compañía no quiere a alguien con una mente estúpida.
The company does not want someone with a stupid mind."
53,853,diferente,diferente,diferente,"El futuro será diferente después del accidente.
The future will be different after the accident."
54,854,traje,*traje* (traer),traer,"Él no trajo el libro, sino que vio la película.  
He didn't bring the book, but he watched the movie."
55,855,traje,traje,traje,"El traje que llevas es muy raro.
The suit you are wearing is very strange."
