,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,1800,gana,*gana* (ganar),ganar,"Ella gana un premio por partir la lengua de manera correcta.
She wins a prize for splitting the tongue correctly."
1,1801,cura,cura,cura,"Puse los medicamentos en un lugar seguro para la cura.

I put the medications in a safe place for the cure."
2,1802,cura,*cura* (curar),curar,"La leche es buena para la cura de la lucha contra la deshidratación.
Milk is good for the cure in the fight against dehydration."
3,1803,lengua,lengua,,"Mi lengua toca mis dedos cuando saco la mano.

My tongue touches my fingers when I stick out my hand."
4,1804,araña,araña,araña,"La araña está en el libro abierto que he escrito.
The spider is on the open book that I have written."
5,1805,araña,*araña* (arañar),arañar,"La araña encontró varios trozos de pan.

The spider found several pieces of bread."
6,1806,podré,*podré* (poder),,"Llámame mañana y podré ir al doc.

Call me tomorrow and I will be able to go to the doctor."
7,1807,voluntad,voluntad,,"La voluntad de ayudar después del desastre fue total.

The will to help after the disaster was total."
8,1808,total,total,,"La lucha total no será olvidada.
The total struggle will not be forgotten."
9,1809,dedo,dedo,,"Los niños vieron una extraña marca en su dedo.
The children saw a strange mark on his finger."
10,1810,pago,pago,pago,"He olvidado el pago y mi amiga extraña está molesta.
I have forgotten the payment and my strange friend is upset."
11,1811,pago,*pago* (pagar),pagar,"Sigan caminando hasta la playa para hacer el pago.

Keep walking to the beach to make the payment."
12,1812,agradezco,*agradezco* (agradecer),,"Te agradezco de todo corazón por el apoyo que me diste.

I thank you with all my heart for the support you gave me."
13,1813,partir,partir,,"Voy a partir ahora, pero espero que te quede bien y sigan felices.

I am going to leave now, but I hope you stay well and remain happy."
14,1814,lucha,lucha,lucha,"El niño estaba sentado, viendo a su padre saliendo para la lucha.

The boy was sitting, watching his father leaving for the fight."
15,1815,lucha,*lucha* (luchar),luchar,"Estoy saliendo para ver un show de lucha.  
I am going out to see a wrestling show."
16,1816,leche,leche,,"La araña está saliendo de la cocina con un vaso de leche.
The spider is leaving the kitchen with a glass of milk."
17,1817,diste,*diste* (dar),,"Me diste las llaves del carro y revisé los lados.

You gave me the car keys and I checked the sides."
18,1818,copa,copa,,"La copa estaba en la mesa, olvidada a un lado.
The cup was on the table, forgotten to one side."
19,1819,quedarte,*quedarte* (quedar),,"Puedes quedarte con los mismos amigos si encuentras una verdadera conexión.

You can stay with the same friends if you find a true connection."
20,1820,seguros,*seguros* (seguro),,"Los profesionales llevan seguros para protegerse.  
Professionals carry insurance to protect themselves."
21,1821,destruir,destruir,,"El terremoto puede destruir la ciudad y causar muchas heridas, según el show de noticias.
The earthquake can destroy the city and cause many injuries, according to the news show."
22,1822,bienvenidos,*bienvenidos* (bienvenido),,"Bienvenidos a la clínica, donde intentaremos encontrar una cura.

Welcome to the clinic, where we will try to find a cure."
23,1823,llevan,*llevan* (llevar),,"Ellos llevan leche y películas a la fiesta.
They bring milk and movies to the party."
24,1824,ponga,*ponga* (poner),,"Ponga la imagen en la mesa, por favor, dijo el dueño.
Put the picture on the table, please, said the owner."
25,1825,lados,*lados* (lado),,"Ponga una venda en ambos lados de la herida.
Put a bandage on both sides of the wound."
26,1826,acceso,acceso,,"Tengo acceso al pan con mis dedos.
I have access to the bread with my fingers."
27,1827,intentar,intentar,,"Voy a intentar ser responsable y no romper la copa.  
I am going to try to be responsible and not break the glass."
28,1828,trajo,*trajo* (traer),,"Él trajo la comida, pero no puse mucha gana en comer.

He brought the food, but I didn't put much effort into eating."
29,1829,desastre,desastre,,"El desastre fue grande, pero la lucha sigue.  
The disaster was big, but the fight continues."
30,1830,deber,deber,,"El cura dijo que todos deben hacer lo que vieron en la iglesia.
The priest said that everyone should do what they saw in the church."
31,1831,herida,herida,herida,"He olvidado cómo podre curar esta herida.
I have forgotten how I will be able to heal this wound."
32,1832,herida,*herida* (herido),herido,"Llámame si la herida empieza a destruir la piel.
Call me if the wound starts to destroy the skin."
