,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,1900,interior,interior,,"El interior de la casa sería jodido de limpiar.

The interior of the house would be a pain to clean."
1,1901,hechos,*hechos* (hecho),hecho,"He terminado el trabajo, pero está jodido por los hechos.

I finished the work, but it's messed up because of the facts."
2,1902,hechos,*hechos* (hacer),hacer,"Los toques finales que dará el chef están hechos con mucho cuidado.
The final touches that the chef will give are done with great care."
3,1903,piedra,piedra,,"La piedra no es una amenaza, pero tiene toques de belleza.

The stone is not a threat, but it has touches of beauty."
4,1904,jodido,jodido,jodido,"El motivo del video está jodido.
The reason for the video is messed up."
5,1905,jodido,*jodido* (joder),joder,"Mi estudio está jodido porque el ordenador está roto.
My studio is messed up because the computer is broken."
6,1906,militar,militar,,"El militar está encantado de cerrar la puerta.
The soldier is pleased to close the door."
7,1907,computadora,computadora,,"La computadora cuesta más que una piedra.
The computer costs more than a stone."
8,1908,encantaría,*encantaría* (encantar),,"Me encantaría que abran un restaurante en Cabo.  
I would love for them to open a restaurant in Cabo."
9,1909,siga,*siga* (seguir),,"Saca la protección y sigue adelante.

Take off the protection and keep going."
10,1910,silla,silla,,"La silla está en el interior del cuarto, cerca del pecho de la cama.
The chair is inside the room, near the foot of the bed."
11,1911,movimiento,movimiento,,"Abran la puerta o mataré el movimiento.

Open the door or I will kill the movement."
12,1912,momentos,*momentos* (momento),,"Los viernes disfruto de momentos de descanso.  
On Fridays, I enjoy moments of rest."
13,1913,familiar,familiar,,"Sentí una conexión familiar y perfecta con ellos.  
I felt a familiar and perfect connection with them."
14,1914,apartamento,apartamento,,"El apartamento está cerca de las calles principales y del colegio.
The apartment is near the main streets and the school."
15,1915,disparar,disparar,,"El viernes, el policía tuvo que disparar porque había una amenaza.  
On Friday, the police officer had to shoot because there was a threat."
16,1916,tesoro,tesoro,,"El tesoro familiar está escondido entre las casas.

The family treasure is hidden among the houses."
17,1917,perfecta,*perfecta* (perfecto),,"La profesora dijo que la respuesta era perfecta antes de cerrar el colegio.  
The teacher said that the answer was perfect before closing the school."
18,1918,refiero,*refiero* (referir),,"Me refiero a la víctima de las clases.
I am referring to the victim of the classes."
19,1919,motivo,motivo,,"El motivo de su alegría tiene un toque especial en esos momentos.

The reason for his/her joy has a special touch in those moments."
20,1920,dará,*dará* (dar),,"El profesor dará toques en la mesa y sentí curiosidad.

The teacher will tap on the table and I felt curious."
21,1921,nuevas,*nuevas* (nuevo),,"Las nuevas reglas ofrecen descanso y protección.

The new rules offer rest and protection."
22,1922,mr,*mr* (mister),,"El Sr. García reportó un robo grave en su casa.
Mr. García reported a serious robbery in his house."
23,1923,querer,querer,,"Quiero un vuelo directo que me dará más tiempo.

I want a direct flight that will give me more time."
24,1924,matarlo,*matarlo* (matar),,"El autobús directo casi lo atropella, pero no logró matarlo.
The direct bus almost ran him over, but it didn't manage to kill him."
25,1925,valiente,valiente,,"El señor Martínez terminó su trabajo valiente.

Mr. Martínez finished his brave work."
26,1926,víctima,víctima,,"La víctima fue el objetivo directo de matarlo.
The victim was the direct target to kill him."
27,1927,tendrán,*tendrán* (tener),,"Los soldados tendrán el cabo en su pecho.

The soldiers will have the corporal on their chest."
28,1928,estúpida,*estúpida* (estúpido),,"Encantado de conocerte, pero esa idea es estúpida.

Nice to meet you, but that idea is stupid."
29,1929,envió,*envió* (enviar),,"El sheriff envió una amenaza al ladrón.
The sheriff sent a threat to the thief."
30,1930,encantado,encantado,encantado,"Encantado de conocerlos, pero tendrán que matarlo.

Nice to meet you, but you will have to kill him."
31,1931,encantado,*encantado* (encantar),encantar,"Encantado con los hechos, me puse el sombrero.

Delighted with the facts, I put on the hat."
32,1932,diario,diario,,"Imagino que escribir en el diario no es algo grave.

I imagine that writing in the diary is not something serious."
33,1933,abran,*abran* (abrir),,"Abran la caja que he traído, pero tengan cuidado porque está rota.  
Open the box that I have brought, but be careful because it is broken."
34,1934,sentí,*sentí* (sentir),,"Sentí unos toques en la puerta de mi apartamento.
I felt some knocks on the door of my apartment."
35,1935,autobús,autobús,,"El autobús está yendo por las calles.  
The bus is going through the streets."
36,1936,traído,*traído* (traer),,"Él ha traído secretos sin motivo.  
He has brought secrets without reason."
37,1937,casas,*casas* (casa),casa,"Obviamente, mi amigo nos dará las llaves de sus casas.
Obviously, my friend will give us the keys to his houses."
38,1938,casas,*casas* (casar),casar,"Las casas están en una situación grave, pero no sepas por qué.
The houses are in a serious situation, but you don't know why."
39,1939,apúrate,*apúrate* (apurar),,"Apúrate, la víctima encontró el tesoro.

Hurry up, the victim found the treasure."
40,1940,encuentras,*encuentras* (encontrar),,"¿Dónde encuentras un sombrero en Inglaterra?
Where do you find a hat in England?"
41,1941,descanso,descanso,descanso,"Me senté en la piedra para tomar un descanso y no matarte de cansancio.

I sat on the stone to take a break and not tire you out."
42,1942,descanso,*descanso* (descansar),descansar,"El sheriff tomó un descanso después de patrullar el pueblo de tamaño pequeño.
The sheriff took a break after patrolling the small town."
43,1943,sheriff,sheriff,,"Me encantaría ser el jodido sheriff del pueblo.
I would love to be the damn sheriff of the town."
44,1944,mueve,*mueve* (mover),,"El perro se mueve de inmediato hacia la protección de su dueño.
The dog moves immediately towards the protection of its owner."
45,1945,inglaterra,*inglaterra* (Inglaterra),,"Leo el diario en una silla de Inglaterra.
I read the newspaper on a chair from England."
46,1946,quieto,quieto,,"El gato negro se quedó quieto al cerrar los ojos.  
The black cat stayed still when it closed its eyes."
47,1947,matarte,*matarte* (matar),,"Encantado de conocerte, pero necesito un descanso antes de matarte.

Nice to meet you, but I need a break before killing you."
48,1948,calles,*calles* (calle),calle,"Estoy encantado de jugar con la pelota en las calles.
I am delighted to play with the ball in the streets."
49,1949,calles,*calles* (callar),callar,"Me encantaría recibir tu apoyo para limpiar las calles.
I would love to receive your support to clean the streets."
50,1950,tamaño,tamaño,,"El tamaño del pecho cuesta mucho.

The size of the chest costs a lot."
51,1951,colegio,colegio,,"Terminé mis tareas en el colegio bajo la protección de mis maestros.  
I finished my homework at school under the protection of my teachers."
52,1952,usando,*usando* (usar),,"Tomé apuntes usando mi cuaderno mientras estudio.  
I took notes using my notebook while I study."
53,1953,cabo,cabo,,"Estoy encantado de que el robo se haya llevado a cabo sin problemas.
I am pleased that the robbery was carried out without problems."
54,1954,video,video,,"Claro, aquí tienes una oración:

""Con mi apoyo, irás a ver el video.""

""With my support, you will go to watch the video."""
55,1955,toques,*toques* (toque),toque,"Por favor, no le des toques a la computadora.

Please, don't give touches to the computer."
56,1956,toques,*toques* (tocar),tocar,"El robo dará tres toques en la puerta.

The thief will knock three times on the door."
57,1957,pelota,pelota,,"El sheriff encontró la pelota que los niños habían perdido.
The sheriff found the ball that the children had lost."
58,1958,yendo,*yendo* (ir),,"Estoy yendo a la biblioteca para buscar hechos interesantes.
I am going to the library to look for interesting facts."
59,1959,directo,directo,,"El familiar del militar tomó un vuelo directo.

The relative of the soldier took a direct flight."
