,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,1200,río,río,río,"Acaso la obra está cerca del río.
Perhaps the construction is near the river."
1,1201,río,*río* (reír),reír,"El río azul es muy amable.
The blue river is very kind."
2,1202,relación,relación,,"Al principio de nuestra relación, escuchamos una canción juntos.
At the beginning of our relationship, we listened to a song together."
3,1203,drogas,*drogas* (droga),,"Es importante que viva siguiendo las reglas y evite las drogas.
It is important to live by the rules and avoid drugs."
4,1204,luces,*luces* (luz),,"La vieja casa tiene muchas luces, detente a mirar.

The old house has many lights, stop to look."
5,1205,bromeando,*bromeando* (bromear),,"Él estaba bromeando sobre irse de su cargo.

He was joking about leaving his position."
6,1206,ojalá,ojalá,,"Ojalá pare de llover antes del encuentro.
I hope it stops raining before the meeting."
7,1207,hablamos,*hablamos* (hablar),,"Hablamos y él siempre pone una cara graciosa cuando estamos bromeando.
We talk and he always makes a funny face when we are joking."
8,1208,trabaja,*trabaja* (trabajar),,"Mi consejo es que no te detente mientras trabaja.
My advice is that you don't stop while working."
9,1209,irse,*irse* (ir),,"Los soldados decidieron irse después de cenar.
The soldiers decided to leave after dinner."
10,1210,libros,*libros* (libro),,"Yo cargo los libros con paciencia.  
I carry the books patiently."
11,1211,radio,radio,,"He dejado la radio debajo de la mesa.
I have left the radio under the table."
12,1212,vienes,*vienes* (venir),,"¿Vienes mañana y hablamos sobre el dolor en tu brazo?
Will you come tomorrow and we'll talk about the pain in your arm?"
13,1213,quedan,*quedan* (quedar),,"¿Vienes a la tienda o te quedan drogas en casa?  
Are you coming to the store or do you have drugs left at home?"
14,1214,excepto,excepto,,"Todos tienen un cargo en la investigación excepto Juan.  
Everyone has a role in the investigation except Juan."
15,1215,brazo,brazo,,"El guardia levantó el brazo para saludar al público.
The guard raised his arm to greet the public."
16,1216,tome,*tome* (tomar),,"Tome el camino conocido para llegar a mi hogar.
Take the known path to reach my home."
17,1217,rojo,rojo,,"El radio rojo merece respeto.  
The red radio deserves respect."
18,1218,conocido,conocido,conocido,"Me alegro de haber conocido a alguien en la radio.
I am glad to have met someone on the radio."
19,1219,conocido,*conocido* (conocer),conocer,"Mi amigo es conocido por estar siempre bromeando.

My friend is known for always joking around."
20,1220,universidad,universidad,,"Voy a la universidad para escuchar a los profesores con respeto.
I go to the university to listen to the professors with respect."
21,1221,investigación,investigación,,"El científico ha dejado su investigación en el bosque.
The scientist has left his research in the forest."
22,1222,batalla,batalla,,"Serás fuerte en la batalla por nuestra relación.
You will be strong in the battle for our relationship."
23,1223,reglas,*reglas* (regla),,"Las reglas del juego están equivocadas en el río.
The rules of the game are wrong in the river."
24,1224,cargo,cargo,cargo,"El imbécil perdió su cargo y no creo que vuelva.

The idiot lost his position and I don't think he will return."
25,1225,cargo,*cargo* (cargar),cargar,"El médico tiene una buena relación con el paciente y siempre carga con la responsabilidad de su salud.
The doctor has a good relationship with the patient and always carries the responsibility for their health."
26,1226,hogar,hogar,,"En nuestro hogar, siempre hay respeto, así que cálmate.

In our home, there is always respect, so calm down."
27,1227,ninguno,ninguno,,"No tengo ninguno respeto, pero me alegro de verte.

I have no respect, but I am glad to see you."
28,1228,dieron,*dieron* (dar),,"Los actores dieron una obra muy viva.

The actors gave a very lively performance."
29,1229,vuelva,*vuelva* (volver),,"Espero que vuelva pronto a su cargo ocupado.
I hope he/she returns soon to his/her busy position."
30,1230,sabías,*sabías* (saber),,"¿Sabías que todos tienen un cargo excepto tú?

Did you know that everyone has a position except you?"
31,1231,respeto,respeto,respeto,"El guardia muestra respeto en nuestro hogar.
The guard shows respect in our home."
32,1232,respeto,*respeto* (respetar),respetar,"¿Sabías que es importante mostrar respeto en público?
Did you know that it is important to show respect in public?"
33,1233,estación,estación,,"Vienes a la estación para evitar las drogas.
You come to the station to avoid drugs."
34,1234,corte,corte,corte,"Los soldados patrullan la zona del corte.
The soldiers patrol the area of the cut."
35,1235,corte,*corte* (cortar),cortar,"El consejo está debajo del corte.
The advice is below the cut."
36,1236,paciente,paciente,,"El paciente lleva todo excepto un abrigo rojo.
The patient wears everything except a red coat."
37,1237,encuentro,encuentro,encuentro,"Me encuentro con mis amigos en la universidad bajo las luces.

I meet with my friends at the university under the lights."
38,1238,encuentro,*encuentro* (encontrar),encontrar,"Acaso encuentro el corte en la tela.

Perhaps I find the cut in the fabric."
39,1239,energía,energía,,"La simple obra requiere mucha energía.
The simple work requires a lot of energy."
40,1240,dejado,dejado,dejado,"He dejado una bonita canción en la mesa.
I have left a beautiful song on the table."
41,1241,dejado,*dejado* (dejar),dejar,"Él ha dejado la fiesta temprano porque estaba triste y pensó que podrían necesitarlo en casa.
He left the party early because he was sad and thought they might need him at home."
42,1242,baile,baile,,"El corte de la música pone fin al baile.
The cut of the music puts an end to the dance."
43,1243,abuela,abuela,,"Mi abuela está ocupada preparando la cena.
My grandmother is busy preparing dinner."
44,1244,caliente,caliente,,"El paciente espera mientras quedan pocas tazas de café caliente.
The patient waits while there are few cups of hot coffee left."
45,1245,vieja,*vieja* (viejo),,"La vieja trabaja con mucho respeto.

The old woman works with a lot of respect."
46,1246,viendo,*viendo* (ver),,"Estoy viendo si serán paciente.  
I am seeing if they will be patient."
47,1247,veremos,*veremos* (ver),,"Veremos el río cuando estemos allí.
We will see the river when we are there."
48,1248,rayos,*rayos* (rayo),,"Finalmente, los rayos del sol iluminaron San Juan.

Finally, the rays of the sun illuminated San Juan."
49,1249,simple,simple,,"La estación de tren está debajo del puente simple.
The train station is below the simple bridge."
50,1250,bailar,bailar,,"Me gusta bailar en el baile junto al río.
I like to dance at the dance by the river."
