,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,2000,roto,*roto* (romper),romper,"El menudo juguete está roto después de tantas caídas.
The tiny toy is broken after so many falls."
1,2001,piloto,piloto,,"El piloto te llevará a donde mires.
The pilot will take you wherever you look."
2,2002,marca,marca,marca,"La nueva marca comienza con una tienda abierta.
The new brand starts with an open store."
3,2003,marca,*marca* (marcar),marcar,"Uso la marca para señalar los números.

I use the mark to point out the numbers."
4,2004,combate,combate,combate,"Los autos puedan resistir el combate.

The cars can withstand the combat."
5,2005,combate,*combate* (combatir),combatir,"María es una muchacha valiente que combate el miedo.

María is a brave girl who combats fear."
6,2006,hablé,*hablé* (hablar),,"Hablé con el doctor sobre el virus.
I talked to the doctor about the virus."
7,2007,manejar,manejar,,"Manejo el coche todos los días, pero nunca he disparado un arma.

I drive the car every day, but I have never fired a gun."
8,2008,sección,sección,,"De repente, encontramos una tumba en la sección del cementerio.

Suddenly, we found a tomb in the section of the cemetery."
9,2009,profundo,profundo,,"El americano hizo llamadas desde un lugar profundo.

The American made calls from a deep place."
10,2010,tantos,*tantos* (tanto),,"Hay tantos americanos en la fiesta.

There are so many Americans at the party."
11,2011,conocía,*conocía* (conocer),,"Conocía a alguien que vivía a miles de millas bajo un techo rojo.  
I knew someone who lived thousands of miles away under a red roof."
12,2012,serie,serie,,"La serie trata sobre un detective que investiga un contrato de asesinato, matando a los culpables.

The series is about a detective who investigates a murder contract, killing the culprits."
13,2013,contrato,contrato,contrato,"El jefe me dio un contrato de empleo y estoy en alerta para empezar.  
The boss gave me an employment contract and I am on alert to start."
14,2014,contrato,*contrato* (contratar),contratar,"Estoy enamorado y firmé un contrato bajo la lluvia.  
I am in love and signed a contract in the rain."
15,2015,americano,americano,,"El turista americano abordó el avión y comenzó una conversación con el pasajero al lado.

The American tourist boarded the plane and started a conversation with the passenger next to him."
16,2016,paseo,paseo,paseo,"María termina su paseo en el parque.
María finishes her walk in the park."
17,2017,paseo,*paseo* (pasear),pasear,"Voy de paseo al parque donde se respira aire fresco y surgen nuevas ideas.
I go for a walk to the park where fresh air is breathed and new ideas arise."
18,2018,aviones,*aviones* (avión),,"Perdimos dos días esperando los aviones.

We lost two days waiting for the planes."
19,2019,balas,*balas* (bala),,"Te presento a mi amigo, él está llamando a su perro mientras recoge balas del suelo.
I introduce you to my friend, he is calling his dog while picking up bullets from the ground."
20,2020,repente,repente,,"De repente, sentí un profundo alivio cuando te fueras.

Suddenly, I felt a deep relief when you left."
21,2021,cambia,*cambia* (cambiar),,"La doctora cambia el tratamiento del sujeto.
The doctor changes the subject's treatment."
22,2022,tropas,*tropas* (tropa),,"Las tropas tomaron un curso para aprender a cuidar a los heridos.
The troops took a course to learn how to care for the wounded."
23,2023,llevará,*llevará* (llevar),,"El policía llevará la droga a los cuerpos de seguridad.
The police officer will take the drug to the security forces."
24,2024,uso,uso,uso,"Uso el paraguas cuando saldrá y vuelvas a casa.

I use the umbrella when you go out and come back home."
25,2025,uso,*uso* (usar),usar,"Llegué temprano, créeme, siempre uso el reloj.

I arrived early, believe me, I always use the watch."
26,2026,pudiste,*pudiste* (poder),,"¿Pudiste comenzar a robar el banco?  
Were you able to start robbing the bank?"
27,2027,detener,detener,,"Vimos tantas cosas que no pudimos detenernos.

We saw so many things that we couldn't stop."
28,2028,sabia,*sabia* (sabio),,"La sabia líder organizó las tropas para que puedan defender el pueblo.

The wise leader organized the troops so they can defend the village."
29,2029,llegué,*llegué* (llegar),,"Llegué a la ciudad y tuve que aceptar que todo cambia.  
I arrived in the city and had to accept that everything changes."
30,2030,negra,*negra* (negro),,"La caja negra contiene juegos malos.
The black box contains bad games."
31,2031,decidido,decidido,decidido,"Ellos piensan que él ha decidido no perdone a nadie.

They think that he has decided not to forgive anyone."
32,2032,decidido,*decidido* (decidir),decidir,"He decidido ir a la fuente en mi barrio.
I have decided to go to the fountain in my neighborhood."
33,2033,comienza,*comienza* (comenzar),,"El desayuno comienza y no quiero detenerme.

The breakfast begins and I don't want to stop."
34,2034,distancia,distancia,,"El empleo está a una distancia que me hace sentir asustado.
The job is at a distance that makes me feel scared."
35,2035,éramos,*éramos* (ser),,"Éramos niños cuando leíamos el periódico y jugábamos a matando monstruos imaginarios.
We were children when we read the newspaper and played at killing imaginary monsters."
36,2036,murieron,*murieron* (morir),,"El gato entró en la casa donde murieron las personas que le gustaba.

The cat entered the house where the people it liked died."
37,2037,averiguar,averiguar,,"Necesito averiguar los detalles del contrato.  
I need to find out the details of the contract."
38,2038,actuar,actuar,,"Los guardias deben actuar rápido durante el almuerzo.

The guards must act quickly during lunch."
39,2039,quedo,*quedo* (quedar),,"Me quedo en casa para descansar, créeme.
I stay at home to rest, believe me."
40,2040,pulso,pulso,pulso,"Si fueras médico, te gustaría tomar el pulso de los pacientes.
If you were a doctor, you would like to take the pulse of the patients."
41,2041,pulso,*pulso* (pulsar),pulsar,"María quiere averiguar cómo tomar el pulso.

María wants to find out how to take the pulse."
42,2042,aguanta,*aguanta* (aguantar),,"Hablé con ella y le dije que aguanta, que debe aceptar la situación.

I talked to her and told her to hold on, that she must accept the situation."
