,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,1700,cuento,cuento,cuento,"El cuento describe el ruido de una bala.  
The story describes the noise of a bullet."
1,1701,cuento,*cuento* (contar),contar,"El cuento que quiero decirlo es sobre un árbol.
The story I want to tell is about a tree."
2,1702,noticia,noticia,,"Los pequeños niños leyeron la noticia en la red.
The small children read the news on the internet."
3,1703,dígame,*dígame* (decir),,"Dígame el cuento del hombre desgraciado.
Tell me the story of the unfortunate man."
4,1704,decirlo,*decirlo* (decir),,"Ella quiere decirlo porque es bella y siempre come con nosotros.
She wants to say it because she is beautiful and always eats with us."
5,1705,tonterías,*tonterías* (tontería),,"¡Joder, deja de decir tonterías y peina tu cabello!

Damn, stop talking nonsense and comb your hair!"
6,1706,sentimientos,*sentimientos* (sentimiento),,"Mis sentimientos de confianza y justicia son muy fuertes.
My feelings of trust and justice are very strong."
7,1707,objetivo,objetivo,,"El objetivo de alguno es ayudar a la dama.  
The objective of someone is to help the lady."
8,1708,pasada,pasada,pasada,"La pasada noche debió haber mucho ruido.
The past night there must have been a lot of noise."
9,1709,pasada,*pasada* (pasado),pasado,"La semana pasada, los ángeles nos protegieron de las malas noticias.
Last week, the angels protected us from the bad news."
10,1710,pasada,*pasada* (pasar),pasar,"Vosotros comisteis pizza la semana pasada.
You all ate pizza last week."
11,1711,arreglar,arreglar,,"Él está casado y absolutamente necesita arreglar el coche.
He is married and absolutely needs to fix the car."
12,1712,casado,casado,casado,"El hombre inocente está casado y tiene ganado.
The innocent man is married and has livestock."
13,1713,casado,*casado* (casar),casar,"Ellos se casarán y harán una fiesta con una bala de cañón.

They will get married and have a party with a cannonball."
14,1714,bote,bote,bote,"El bote dé una sensación humana de tranquilidad.
The boat gives a human feeling of tranquility."
15,1715,bote,*bote* (botar),botar,"Voy a arreglar el bote debido a una fuga.
I am going to fix the boat due to a leak."
16,1716,roja,*roja* (rojo),,"La humana encontró un pedazo de tela roja.
The human found a piece of red cloth."
17,1717,leyes,*leyes* (ley),,"En la costa pasada, las leyes eran diferentes.

On the past coast, the laws were different."
18,1718,millón,millón,,"Verá que hay un millón de malas decisiones.

You will see that there are a million bad decisions."
19,1719,árbol,árbol,,"El gobierno dé leyes para proteger el árbol.  
The government enacts laws to protect the tree."
20,1720,hable,*hable* (hablar),,"Hable con el camarero sobre mi pedido después de la cena.
I spoke with the waiter about my order after dinner."
21,1721,proyecto,proyecto,,"Dígame si hubieras terminado el proyecto.

Tell me if you had finished the project."
22,1722,nervioso,nervioso,,"Él se pone nervioso cuando come tonterías.
He gets nervous when he eats junk food."
23,1723,lana,lana,,"Es una lástima que la justicia no sea igual para los que tienen mucha lana.

It's a shame that justice is not the same for those who have a lot of money."
24,1724,salido,*salido* (salir),,"El gato ha salido de la casa con las patas limpias, pero las malas noticias llegaron después.

The cat has left the house with clean paws, but the bad news came afterward."
25,1725,pedazo,pedazo,,"El pedazo de cielo muestra su belleza mientras estoy corriendo.

The piece of sky shows its beauty while I am running."
26,1726,malas,*malas* (malo),malo,"Las malas decisiones pueden afectar tu objetivo y tus poderes.
Bad decisions can affect your goal and your powers."
27,1727,malas,*malas* (mala),mala,"Las ovejas con lana malas no están felices.
The sheep with bad wool are not happy."
28,1728,joder,joder,,"¡Joder, no debí haberte llamado tan tarde!

Damn, I shouldn't have called you so late!"
29,1729,humana,*humana* (humano),,"El bote en marcha llevaba a una figura humana.  
The boat in motion carried a human figure."
30,1730,absolutamente,absolutamente,,"Absolutamente entiendo tus sentimientos después de la conversación.

I absolutely understand your feelings after the conversation."
31,1731,evitar,evitar,,"Vos deberían evitar el azúcar.  
You should avoid sugar."
32,1732,corriendo,*corriendo* (correr),,"Él debió haber visto a alguno corriendo.

He should have seen someone running."
33,1733,bala,bala,,"La bala le rompió los dientes y ahora tiene malas noticias.

The bullet broke his teeth and now he has bad news."
34,1734,vosotros,vosotros,,"Vosotros tenéis un objetivo claro, es una lástima que no lo veáis.

You all have a clear objective, it's a shame that you don't see it."
35,1735,despues,*despues* (después),,"Después de preguntar, supe sobre la enfermedad.
After asking, I found out about the illness."
36,1736,debido,debido,debido,"Debido a que estoy casado, planté un árbol en el jardín.
Due to the fact that I am married, I planted a tree in the garden."
37,1737,debido,*debido* (deber),deber,"Debido a sus sentimientos, ella ama profundamente.

Due to her feelings, she loves deeply."
38,1738,confianza,confianza,,"Los ángeles me dan confianza cuando estoy nervioso.
The angels give me confidence when I am nervous."
39,1739,especialmente,especialmente,,"Vos tenés que protegerte, especialmente en invierno.

You have to protect yourself, especially in winter."
40,1740,intenta,*intenta* (intentar),,"Ella intenta ayudar a la humana y verá que es posible.

She tries to help the human and will see that it is possible."
41,1741,pequeños,*pequeños* (pequeño),,"Los pequeños niños encontraron un bote en el cabello de su muñeca.
The small children found a boat in their doll's hair."
42,1742,paga,paga,paga,"Mi hermano paga la luz para comenzar a leer en el cuarto oscuro.
My brother pays for the light to start reading in the dark room."
43,1743,paga,*paga* (pagar),pagar,"Ponte el abrigo porque ya ha salido la paga.

Put on your coat because the payment has already come out."
44,1744,ganado,ganado,ganado,"El equipo intenta y gana el partido, como el ganado en el campo.  
The team tries and wins the game, like the cattle in the field."
45,1745,ganado,*ganado* (ganar),ganar,"El equipo ganó mucha lana la semana pasada.
The team won a lot of money last week."
