,Dutch,Quizlet


0,vond,"*found*
verb: find, think of, hit upon
Ik vond het boek interessant. - I found the book interesting."


1,praat,"*talk*
noun: talking
Hij praat met mij. - He is talking to me."


2,prima,"*fine*
adjective: prime, top, choice
noun: tiptop
adverb: toppingly
Mijn dag was prima! - My day was great!"


3,betekent,"*means*
verb: mean, signify, serve
Het betekent 'it means'"


4,soort,"*kind*
noun: kind, sort, variety
Deze soort appels is het lekkerst. - This type of apples is the tastiest."


5,zaak,"*case*
noun: case, matter, business
""Het is een belangrijke zaak."" - ""It is an important matter."""


6,proberen,"*to attempt*
verb: try, attempt, endeavor
Ik probeer mijn best te doen. - I'm trying my best."


7,jack,"*jack*

Jack is mijn favoriete kledingstuk. - Jack is my favorite article of clothing."


8,spelen,"*to play*
verb: play, game, perform
Ik speel graag piano. - I like to play the piano."


9,lekker,"*Tasty*
adjective: tasty, nice, delicious
adverb: deliciously
""Het eten is lekker!"" - The food is delicious!"


10,doden,"*kill*
verb: kill, slay, jugulate
De soldaten hebben veel doden gemaakt. - The soldiers have made many deaths."


11,gebruiken,"*to use*
verb: use, employ, take
Ik gebruik het boek voor mijn onderzoek. - I am using the book for my research."


12,groot,"*big*
adjective: large, great, big
noun: groat
Mijn huis is erg groot. - My house is very big."


13,kent,"*knows*
noun: the Garden of England
De kat kent de muis. - The cat knows the mouse."


14,boven,"*above*
adverb: above, over, upstairs
preposition: above, over, beyond
adjective: upper
Ik zou graag boven willen zitten. - I would like to sit upstairs."


15,water,"*water*
noun: water
Het water is koud. - The water is cold."


16,problemen,"*issues*
noun: problem, puzzler
De directeur heeft veel problemen met het beheren van het bedrijf.

The director has many problems managing the company."


17,land,"*country*
noun: land, earth, home
Het land was enorm groot. - The land was incredibly large."


18,sta,"*stand*
interjection: Stand fast!
Ik sta klaar om te gaan. - I'm ready to go."


19,later,"*later*
adverb: later, later on, afterwards
adjective: after, ulterior, puisne
Later zal ik je bellen. - I will call you later."


20,papa,"*Daddy*
noun: papa, father
Mijn papa is de beste! - My dad is the best!"


21,pakken,"*to take*
verb: tackle, pack, take
noun: grab
Ik pak mijn tas. - I'm grabbing my bag."


22,week,"*week*
noun: week, hebdomad, sennight
adjective: soft, weak, melting
Deze week heb ik veel gewerkt. - This week I have worked a lot."


23,schat,"*Darling*
noun: treasure, darling, dear
Mijn schat, ik hou van je. My darling, I love you."


24,voordat,"*before*
preposition: prior to
conjunction: ere, ergo
adverb: thitherto
Voordat ik naar school ging, at ik mijn ontbijt. 
Before I went to school, I ate my breakfast."


25,zoveel,"*so much*
adverb: so many, how much, how many
Zoveel mensen bezoeken de stad elke dag. - So many people visit the city every day."


26,vrij,"*free*
adjective: free, clear, leisure
adverb: free, pretty, freely
prefix: non-
Ik ben vrij om te gaan waar ik wil. - I am free to go wherever I want."


27,echte,"*real*
adjective: real, genuine, very
""Hij is een echte gentleman."" - He is a true gentleman."


28,stoppen,"*fuses*
verb: stop, cease, stop off
Ik moet stoppen met roken. - I have to stop smoking."


