,Dutch,Quizlet


0,nou,"*Well*
adverb: now
Nou, laten we gaan! - Now, let's go!"


1,mee,"*along*
noun: mead
adverb: also
Ik ga mee naar huis. - I'm going home with (them)."


2,misschien,"*maybe*
adverb: perhaps, maybe, possibly
Misschien ga ik naar het strand vandaag. - Maybe I'll go to the beach today."


3,even,"*for a bit*
adverb: equally, momentarily, for a while
Ik ben even naar de winkel gegaan. - I just went to the store."


4,iemand,"*someone*
pronoun: someone, anyone, one
noun: person
Iemand heeft me gebeld. - Someone called me."


5,komt,"*comes*
verb: come, get, come to
Komt er nog iemand? - Is anyone else coming?"


6,niets,"*nothing*
noun: nothing, naught, nil
pronoun: nothing, ought
adjective: none
adverb: none
Ik heb niets gezegd. - I didn't say anything."


7,zei,"*said*
verb: say, tell, put
""Hij zei dat hij moe was,"" He said he was tired."


8,hou,"*love*
verb: keep, hold, retain
Hou je van mij? - Do you love me?"


9,komen,"*come*
verb: come, get, come to
""Ze komen morgen aan."" - They will arrive tomorrow."


10,mensen,"*people*
noun: people, men, persons
Mensen zijn op zoek naar manieren om het milieu te beschermen.

People are looking for ways to protect the environment."


11,onze,"*our*
pronoun: our
Onze familie is groot. - Our family is big."


12,nodig,"*necessary*
adjective: necessary, required, needful
Ik heb je hulp nodig. - I need your help."


13,tot,"*until*
preposition: to, until, for
conjunction: until
Ik ben tot morgen hier. - I'll be here till tomorrow."


14,worden,"*become*
verb: be, become, get
De veranderingen zullen worden aangekondigd. - The changes will be announced."


15,veel,"*a lot of*
adverb: much, many, heaps of
Veel plezier! = Have fun!"


16,weten,"*know*
verb: know, wit, wot
Ik weet het niet. - I don't know."


17,leven,"*to live*
noun: life, living, animation
verb: live, exist
Het leven is kort, maar de herinneringen zijn eeuwig. - Life is short, but the memories are eternal."


18,wij,"*We*
pronoun: we
Wij gaan naar het park. - We are going to the park."


19,weer,"*weather*
noun: weather, defense, weir
adverb: again, fro
""Het weer is vandaag mooi."" - ""The weather is nice today."""


20,gewoon,"*Ordinary*
adverb: just, plainly, habitually
adjective: ordinary, plain, common
phrase: common or garden
Gewoon even rustig aan doen. - Just take it easy."


21,kijk,"*look*
noun: outlook
Kijk eens naar de zon! - Look at the sun!"


22,zeggen,"*say*
verb: say, tell, put
""Ik zeg dat ik je zal helpen."" - I say that I will help you."


23,tijd,"*time*
noun: time, period, season
De tijd vliegt! - Time flies!"


24,zeg,"*say*
interjection: Hey!
""Zeg me wat je denkt."" - Tell me what you think."


25,twee,"*two*
noun: two, twain, deuce
: two
Twee mensen stonden samen op het podium. - Two people stood together on the stage."


26,toen,"*when*
conjunction: when, as
adverb: then, at that time, next
Toen gingen we naar huis. - Then we went home."


27,tegen,"*in return for*
preposition: against, at, to
adverb: counter, contrary
noun: con
De kat liep tegen de muur aan. - The cat ran into the wall."


28,zit,"*sit*
noun: seat
Ik zit in de auto. - I am sitting in the car."


29,net,"*just*
adverb: just, just so, nicely
noun: net, network, grid
adjective: spruce, tidy, elegant
Ik heb net een kopje koffie gedronken. - I just drank a cup of coffee."


