,Russian,POS
201,это,particle
202,сегодня,adverb
203,право,noun
204,совсем,adverb
205,нога,noun
206,считать,verb
207,главный,adjective
208,решение,noun
209,увидеть,verb
210,дверь,noun
211,казаться,verb
212,образ,noun
213,писать,verb
214,история,noun
215,лучший,adjective
216,власть,noun
217,закон,noun
218,все,adverb pronoun
219,война,noun
220,бог,noun
221,голос,noun
222,найти,verb
223,поэтому,adverb pronoun
224,стоять,verb
225,вообще,adverb
226,тысяча,noun
227,больше,adverb
228,вместе,adverb
229,маленький,adjective
230,книга,noun
231,некоторый,adjective pronoun
232,решить,verb
233,любой,adjective pronoun
234,возможность,noun
235,результат,noun
236,ночь,noun
237,стол,noun
238,никогда,adverb pronoun
239,имя,noun
240,область,noun
241,молодой,adjective
242,пройти,verb
243,например,adverb
244,статья,noun
245,оно,subject pronoun
246,число,noun
247,компания,noun
248,про,pr
249,государственный,adjective
250,полный,adjective
251,принять,verb
252,народ,noun
253,никакой,adjective pronoun
254,советский,adjective
255,жена,noun
256,настоящий,adjective
257,всякий,adjective pronoun
258,группа,noun
259,развитие,noun
260,процесс,noun
261,суд,noun
262,давать,verb
263,ответить,verb
264,старый,adjective
265,условие,noun
266,твой,adjective pronoun
267,пока,conjunction
268,средство,noun
269,помнить,verb
270,начало,noun
271,ждать,verb
272,свет,noun
273,пора,noun
274,путь,noun
275,душа,noun
276,куда,adverb pronoun
277,нужно,adverb
278,разный,adjective
279,нужный,adjective
280,уровень,noun
281,иной,adjective pronoun
282,форма,noun
283,связь,noun
284,уж,particle
285,минута,noun
286,кроме,pr
287,находиться,verb
288,опять,adverb
289,многий,adjective pronoun
290,белый,adjective
291,собственный,adjective
292,улица,noun
293,черный,adjective
294,написать,verb
295,вечер,noun
296,снова,adverb
297,основной,adjective
298,качество,noun
299,мысль,noun
300,дорога,noun
