,Russian,POS
601,американский,adjective
602,армия,noun
603,класс,noun
604,представитель,noun
605,участие,noun
606,девочка,noun
607,политика,noun
608,сначала,adverb
609,герой,noun
610,картина,noun
611,широкий,adjective
612,доллар,noun
613,спина,noun
614,территория,noun
615,мировой,adjective
616,пол,noun
617,тяжелый,adjective
618,довольно,adverb
619,поле,noun
620,ж,particle
621,изменение,noun
622,умереть,verb
623,более,numeral
624,направление,noun
625,рисунок,noun
626,течение,noun
627,возможный,adjective
628,церковь,noun
629,банк,noun
630,отдельный,adjective
631,средний,adjective
632,красивый,adjective
633,сцена,noun
634,население,noun
635,большинство,noun
636,сесть,verb
637,двадцать,numeral
638,случиться,verb
639,музыка,noun
640,короткий,adjective
641,правда,noun
642,проходить,verb
643,составлять,verb
644,свобода,noun
645,память,noun
646,приходиться,verb
647,причем,conjunction
648,команда,noun
649,установить,verb
650,союз,noun
651,будто,conjunction
652,поднять,verb
653,врач,noun
654,серьезный,adjective
655,договор,noun
656,стараться,verb
657,уметь,verb
658,встать,verb
659,дерево,noun
660,интересный,adjective
661,факт,noun
662,добрый,adjective
663,всего,particle
664,хозяин,noun
665,национальный,adjective
666,однажды,adverb
667,длинный,adjective
668,природа,noun
669,домой,adverb
670,страшный,adjective
671,прошлый,adjective
672,будто,particle
673,общественный,adjective
674,угол,noun
675,чтоб,conjunction
676,телефон,noun
677,позиция,noun
678,проводить,verb
679,скоро,adverb
680,наиболее,adverb
681,двор,noun
682,обычно,adverb
683,бросить,verb
684,разве,particle
685,писатель,noun
686,самолет,noun
687,объем,noun
688,далеко,adverb
689,род,noun
690,солнце,noun
691,вера,noun
692,берег,noun
693,спектакль,noun
694,фирма,noun
695,способ,noun
696,завод,noun
697,цвет,noun
698,трудно,adverb
699,журнал,noun
700,руководитель,noun
