,Russian,POS
701,специалист,noun
702,возможно,adverb
703,детский,adjective
704,точно,adverb
705,объяснить,verb
706,оценка,noun
707,единый,adjective
708,снять,verb
709,определенный,adjective
710,низкий,adjective
711,нравиться,verb
712,услышать,verb
713,регион,noun
714,связать,verb
715,песня,noun
716,процент,noun
717,родитель,noun
718,позволить,verb
719,чужой,adjective
720,море,noun
721,странный,adjective
722,требование,noun
723,чистый,adjective
724,весьма,adverb
725,какой-нибудь,adjective pronoun
726,основание,noun
727,половина,noun
728,поехать,verb
729,положить,verb
730,входить,verb
731,легко,adverb
732,поздний,adjective
733,роман,noun
734,круг,noun
735,анализ,noun
736,стихи,noun
737,автомобиль,noun
738,специальный,adjective
739,экономика,noun
740,литература,noun
741,бумага,noun
742,вместо,pr
743,впервые,adverb
744,видно,adverb
745,научный,adjective
746,оказываться,verb
747,поэт,noun
748,показывать,verb
749,степень,noun
750,вызвать,verb
751,касаться,verb
752,господин,noun
753,надежда,noun
754,сложный,adjective
755,вокруг,pr
756,предмет,noun
757,отметить,verb
758,заявить,verb
759,вариант,noun
760,министр,noun
761,откуда,adverb pronoun
762,реальный,adjective
763,граница,noun
764,действовать,verb
765,дух,noun
766,модель,noun
767,операция,noun
768,пара,noun
769,сон,noun
770,немного,adverb
771,название,noun
772,ум,noun
773,повод,noun
774,старик,noun
775,способный,adjective
776,мало,numeral
777,миллион,noun
778,малый,adjective
779,старший,adjective
780,успех,noun
781,практически,adverb
782,получиться,verb
783,личный,adjective
784,счастье,noun
785,необходимо,adverb
786,свободный,adjective
787,ребята,noun
788,обычный,adjective
789,кабинет,noun
790,прекрасный,adjective
791,высший,adjective
792,кричать,verb
793,прежде,pr
794,магазин,noun
795,пространство,noun
796,выход,noun
797,остановиться,verb
798,удар,noun
799,база,noun
800,знание,noun
