,Russian,POS
801,текст,noun
802,сюда,adverb pronoun
803,темный,adjective
804,защита,noun
805,предлагать,verb
806,руководство,noun
807,вовсе,adverb
808,площадь,noun
809,сознание,noun
810,гражданский,adjective
811,убить,verb
812,возраст,noun
813,молчать,verb
814,согласиться,verb
815,участник,noun
816,участок,noun
817,рано,adverb
818,пункт,noun
819,несмотря,adverb
820,сильно,adverb
821,столь,adverb pronoun
822,сообщить,verb
823,линия,noun
824,бежать,verb
825,желание,noun
826,папа,noun
827,кажется,adverb
828,петь,verb
829,доктор,noun
830,губа,noun
831,известно,adverb
832,дома,adverb
833,вызывать,verb
834,дочь,noun
835,показаться,verb
836,среда,noun
837,председатель,noun
838,представление,noun
839,солдат,noun
840,художник,noun
841,принести,verb
842,волос,noun
843,оружие,noun
844,выглядеть,verb
845,соответствие,noun
846,никак,adverb pronoun
847,ветер,noun
848,внешний,adjective
849,парень,noun
850,служить,verb
851,зрение,noun
852,попросить,verb
853,генерал,noun
854,состоять,verb
855,огонь,noun
856,отдать,verb
857,боевой,adjective
858,понятие,noun
859,строительство,noun
860,ухо,noun
861,выступать,verb
862,грудь,noun
863,нос,noun
864,ставить,verb
865,завтра,adverb
866,возникать,verb
867,когда,adverb pronoun
868,страх,noun
869,услуга,noun
870,рабочий,adjective
871,что-нибудь,subject pronoun
872,глубокий,adjective
873,содержание,noun
874,радость,noun
875,безопасность,noun
876,надеяться,verb
877,продукт,noun
878,видимо,adverb
879,комплекс,noun
880,бизнес,noun
881,подняться,verb
882,вспоминать,verb
883,мало,adverb
884,сад,noun
885,долгий,adjective
886,одновременно,adverb
887,называться,verb
888,сотрудник,noun
889,лето,noun
890,тихо,adverb
891,зато,conjunction
892,прямой,adjective
893,курс,noun
894,помогать,verb
895,предложение,noun
896,финансовый,adjective
897,открытый,adjective
898,почему-то,adverb pronoun
899,значить,verb
900,возникнуть,verb
