,Russian,POS
1,и,conjunction
2,в,pr
3,не,particle
4,на,pr
5,я,subject pronoun
6,быть,verb
7,он,subject pronoun
8,с,pr
9,что,conjunction
10,а,conjunction
11,по,pr
12,это,subject pronoun
13,она,subject pronoun
14,этот,adjective pronoun
15,к,pr
16,но,conjunction
17,они,subject pronoun
18,мы,subject pronoun
19,как,conjunction
20,из,pr
21,у,pr
22,который,adjective pronoun
23,то,subject pronoun
24,за,pr
25,свой,adjective pronoun
26,что,subject pronoun
27,весь,adjective pronoun
28,год,noun
29,от,pr
30,так,adverb pronoun
31,о,pr
32,для,pr
33,ты,subject pronoun
34,же,particle
35,все,subject pronoun
36,тот,adjective pronoun
37,мочь,verb
38,вы,subject pronoun
39,человек,noun
40,такой,adjective pronoun
41,его,adjective pronoun
42,сказать,verb
43,только,particle
44,или,conjunction
45,еще,adverb
46,бы,particle
47,себя,subject pronoun
48,один,adjective pronoun
49,как,adverb pronoun
50,уже,adverb
51,до,pr
52,время,noun
53,если,conjunction
54,сам,adjective pronoun
55,когда,conjunction
56,другой,adjective pronoun
57,вот,particle
58,говорить,verb
59,наш,adjective pronoun
60,мой,adjective pronoun
61,знать,verb
62,стать,verb
63,при,pr
64,чтобы,conjunction
65,дело,noun
66,жизнь,noun
67,кто,subject pronoun
68,первый,anum
69,очень,adverb
70,два,numeral
71,день,noun
72,ее,adjective pronoun
73,новый,adjective
74,рука,noun
75,даже,particle
76,во,pr
77,со,pr
78,раз,noun
79,где,adverb pronoun
80,там,adverb pronoun
81,под,pr
82,можно,adverb
83,ну,particle
84,какой,adjective pronoun
85,после,pr
86,их,adjective pronoun
87,работа,noun
88,без,pr
89,самый,adjective pronoun
90,потом,adverb pronoun
91,надо,adverb
92,хотеть,verb
93,ли,particle
94,слово,noun
95,идти,verb
96,большой,adjective
97,должен,adjective
98,место,noun
99,иметь,verb
100,ничто,subject pronoun
