,Russian,POS
501,крупный,adjective
502,внутренний,adjective
503,просить,verb
504,вспомнить,verb
505,открыть,verb
506,привести,verb
507,судьба,noun
508,пока,adverb
509,девушка,noun
510,поскольку,conjunction
511,очередь,noun
512,лес,noun
513,пусть,particle
514,экономический,adjective
515,оставить,verb
516,правый,adjective
517,состав,noun
518,словно,conjunction
519,федеральный,adjective
520,спрашивать,verb
521,принимать,verb
522,член,noun
523,искать,verb
524,близкий,adjective
525,количество,noun
526,похожий,adjective
527,событие,noun
528,объект,noun
529,зал,noun
530,создание,noun
531,войти,verb
532,различный,adjective
533,значение,noun
534,назвать,verb
535,достаточно,adverb
536,период,noun
537,хоть,particle
538,шаг,noun
539,необходимый,adjective
540,успеть,verb
541,произойти,verb
542,брат,noun
543,искусство,noun
544,единственный,adjective
545,легкий,adjective
546,структура,noun
547,выходить,verb
548,номер,noun
549,предложить,verb
550,пример,noun
551,пить,verb
552,исследование,noun
553,гражданин,noun
554,глядеть,verb
555,человеческий,adjective
556,игра,noun
557,начальник,noun
558,сей,adjective pronoun
559,рост,noun
560,ехать,verb
561,международный,adjective
562,тема,noun
563,принцип,noun
564,дорогой,adjective
565,попасть,verb
566,десять,numeral
567,начаться,verb
568,верить,verb
569,метод,noun
570,тип,noun
571,фильм,noun
572,небольшой,adjective
573,держать,verb
574,либо,conjunction
575,позволять,verb
576,край,noun
577,местный,adjective
578,менее,adverb
579,гость,noun
580,купить,verb
581,уходить,verb
582,собираться,verb
583,воздух,noun
584,туда,adverb pronoun
585,относиться,verb
586,бывший,adjective
587,требовать,verb
588,характер,noun
589,борьба,noun
590,использование,noun
591,кстати,adverb
592,подойти,verb
593,размер,noun
594,удаться,verb
595,образование,noun
596,получать,verb
597,мальчик,noun
598,кровь,noun
599,район,noun
600,небо,noun
