,Russian,POS
401,существовать,verb
402,даже,conjunction
403,интерес,noun
404,становиться,verb
405,федерация,noun
406,правило,noun
407,оба,numeral
408,часто,adverb
409,московский,adjective
410,управление,noun
411,слышать,verb
412,быстро,adverb
413,смочь,verb
414,заметить,verb
415,как-то,adverb pronoun
416,мужчина,noun
417,долго,adverb
418,правда,adverb
419,идея,noun
420,партия,noun
421,иногда,adverb
422,использовать,verb
423,пытаться,verb
424,готовый,adjective
425,чуть,adverb
426,зачем,adverb pronoun
427,представить,verb
428,чувствовать,verb
429,создать,verb
430,совет,noun
431,счет,noun
432,сердце,noun
433,движение,noun
434,вещь,noun
435,материал,noun
436,неделя,noun
437,чувство,noun
438,затем,adverb
439,данный,adjective pronoun
440,заниматься,verb
441,продолжать,verb
442,красный,adjective
443,глава,noun
444,ко,pr
445,слушать,verb
446,наука,noun
447,узнать,verb
448,ряд,noun
449,газета,noun
450,причина,noun
451,против,pr
452,плечо,noun
453,современный,adjective
454,цена,noun
455,план,noun
456,приехать,verb
457,речь,noun
458,четыре,numeral
459,отвечать,verb
460,точка,noun
461,основа,noun
462,товарищ,noun
463,культура,noun
464,слишком,adverb
465,рассказывать,verb
466,вполне,adverb
467,далее,adverb
468,рассказать,verb
469,данные,noun
470,представлять,verb
471,мнение,noun
472,социальный,adjective
473,около,pr
474,документ,noun
475,институт,noun
476,ход,noun
477,брать,verb
478,забыть,verb
479,проект,noun
480,ранний,adjective
481,встреча,noun
482,особый,adjective
483,целый,adjective
484,директор,noun
485,провести,verb
486,спать,verb
487,плохой,adjective
488,может,adverb
489,впрочем,adverb
490,сильный,adjective
491,наверное,adverb
492,скорый,adjective
493,ведь,conjunction
494,срок,noun
495,палец,noun
496,опыт,noun
497,помочь,verb
498,больше,numeral
499,приходить,verb
500,служба,noun
