,Russian,POS
301,мать,noun
302,действие,noun
303,месяц,noun
304,оставаться,verb
305,государство,noun
306,язык,noun
307,любовь,noun
308,взгляд,noun
309,мама,noun
310,играть,verb
311,далекий,adjective
312,лежать,verb
313,нельзя,adverb
314,век,noun
315,школа,noun
316,подумать,verb
317,уйти,verb
318,цель,noun
319,среди,pr
320,общество,noun
321,посмотреть,verb
322,деятельность,noun
323,организация,noun
324,кто-то,subject pronoun
325,вернуться,verb
326,президент,noun
327,комната,noun
328,порядок,noun
329,момент,noun
330,театр,noun
331,следовать,verb
332,читать,verb
333,письмо,noun
334,подобный,adjective
335,следующий,adjective
336,утро,noun
337,особенно,adverb
338,помощь,noun
339,ситуация,noun
340,роль,noun
341,бывать,verb
342,ходить,verb
343,рубль,noun
344,начинать,verb
345,появиться,verb
346,смысл,noun
347,состояние,noun
348,называть,verb
349,рядом,adverb
350,квартира,noun
351,назад,adverb
352,равный,adjective
353,из-за,pr
354,орган,noun
355,внимание,noun
356,тело,noun
357,труд,noun
358,прийтись,verb
359,хотеться,verb
360,сын,noun
361,мера,noun
362,пять,numeral
363,смерть,noun
364,живой,adjective
365,рынок,noun
366,программа,noun
367,задача,noun
368,предприятие,noun
369,известный,adjective
370,окно,noun
371,вести,verb
372,совершенно,adverb
373,военный,adjective
374,разговор,noun
375,показать,verb
376,правительство,noun
377,важный,adjective
378,семья,noun
379,великий,adjective
380,производство,noun
381,простой,adjective
382,значит,adverb
383,третий,anum
384,сколько,numeral
385,огромный,adjective
386,давно,adverb
387,политический,adjective
388,информация,noun
389,действительно,adverb
390,положение,noun
391,поставить,verb
392,бояться,verb
393,наконец,adverb
394,центр,noun
395,происходить,verb
396,ответ,noun
397,муж,noun
398,автор,noun
399,все-таки,particle
400,стена,noun
