,Russian,POS
901,рот,noun
902,где-то,adverb pronoun
903,технология,noun
904,знакомый,adjective
905,недавно,adverb
906,реформа,noun
907,отсутствие,noun
908,нынешний,adjective
909,собака,noun
910,камень,noun
911,будущее,noun
912,звать,verb
913,рассказ,noun
914,контроль,noun
915,позвонить,verb
916,река,noun
917,хватать,verb
918,продукция,noun
919,сумма,noun
920,техника,noun
921,исторический,adjective
922,вновь,adverb
923,народный,adjective
924,прямо,particle
925,ибо,conjunction
926,выпить,verb
927,здание,noun
928,сфера,noun
929,знаменитый,adjective
930,иначе,adverb pronoun
931,потерять,verb
932,необходимость,noun
933,больший,adjective
934,фонд,noun
935,иметься,verb
936,вперед,adverb
937,подготовка,noun
938,вчера,adverb
939,лист,noun
940,пустой,adjective
941,очередной,adjective
942,республика,noun
943,хозяйство,noun
944,полностью,adverb
945,получаться,verb
946,учиться,verb
947,плохо,adverb
948,воля,noun
949,судебный,adjective
950,бюджет,noun
951,возвращаться,verb
952,расти,verb
953,снег,noun
954,деревня,noun
955,обнаружить,verb
956,мужик,noun
957,постоянно,adverb
958,зеленый,adjective
959,элемент,noun
960,обстоятельство,noun
961,почувствовать,verb
962,немец,noun
963,многое,subject pronoun
964,победа,noun
965,источник,noun
966,немецкий,adjective
967,золотой,adjective
968,передать,verb
969,технический,adjective
970,нормальный,adjective
971,едва,adverb
972,желать,verb
973,ожидать,verb
974,некий,adjective pronoun
975,звезда,noun
976,городской,adjective
977,выбор,noun
978,соответствующий,adjective
979,масса,noun
980,составить,verb
981,итог,noun
982,сестра,noun
983,что,adverb pronoun
984,шесть,numeral
985,ясно,adverb
986,практика,noun
987,сто,numeral
988,нести,verb
989,определить,verb
990,проведение,noun
991,карман,noun
992,любимый,adjective
993,родной,adjective
994,западный,adjective
995,обязательно,adverb
996,слава,noun
997,кухня,noun
998,определение,noun
999,пользоваться,verb
1000,быстрый,adjective
