,Dutch,Quizlet
0,nieuw,"adjective, new novel fresh"
1,elk,"pronoun, each any everyone"
2,erin,"No Google Info, No Google Info"
3,ontmoeten,"verb, meet encounter see"
4,vechten,"verb, fight battle combat"
5,voorzichtig,"adjective, careful cautious prudent"
6,geworden,"verb, be become get"
7,enkel,"adjective, only single one"
8,kwijt,"adjective, lost"
9,noemen,"verb, call mention name"
10,valt,"verb, fall drop fall down"
11,prachtig,"adjective, wonderful magnificent gorgeous"
12,rijden,"verb, ride drive away tool"
13,zin,"noun, sense sentence want"
14,hield,"verb, keep hold retain"
15,daarna,"adverb, then after thereafter"
16,mens,"noun, man person woman"
17,schieten,"verb, shoot fire gun"
18,grappig,"adjective, funny comic amusing"
19,stap,"noun, step move pace"
20,zichzelf,"pronoun, himself themselves itself"
21,kantoor,"noun, office bureau shop"
22,wapens,"noun, weapon arm weaponry"
23,normaal,"adjective, normal standard ordinary"
24,slechte,"adjective, bad evil ill"
25,maakte,"verb, make do build"
26,moord,"noun, murder assassination"
27,gebeld,"verb, dial clang clank"
28,ervoor,"No Google Info, No Google Info"
29,ten,"No Google Info, No Google Info"
30,heer,"noun, lord gentleman master"
31,loopt,"verb, walk run foot"
32,einde,"noun, end ending close"
33,gegaan,"verb, go proceed work"
34,gang,"noun, corridor walk hallway"
35,vertelde,"verb, tell relate narrate"
36,spel,"noun, game play performance"
37,informatie,"noun, information conversance"
38,frank,"No Google Info, No Google Info"
39,dames,"adjective, lady's"
40,naartoe,"preposition, to towards toward"
41,allebei,"adjective, both"
42,leg,"noun, lay"
43,acht,"noun, eight attention care"
44,pap,"noun, porridge pap gruel"
45,seks,"noun, sex pork"
46,minder,"adjective, less lesser minor"
47,gevoel,"noun, feeling sense sensation"
48,trouwen,"verb, marry wed marry off"
49,nogal,"adverb, rather quite some"
50,eh,"No Google Info, No Google Info"
51,voelen,"verb, feel sense emote"
52,begint,"verb, start begin commence"
53,plezier,"noun, fun pleasure"
54,meisjes,"adjective, girlish maiden"
55,stuur,"noun, steering wheel handlebar helm"
56,foto,"noun, photo photograph"
57,vreemd,"adjective, strange foreign alien"
58,zomaar,"adverb, overnight"
59,verkeerd,"adjective, wrong incorrect mistaken"
60,zeven,"verb, sieve screen sift"
61,lucht,"noun, air sky atmosphere"
62,grond,"noun, ground floor basis"
63,leeft,"verb, live exist"
64,nam,"verb, take reach seize"
65,pardon,"interjection, Excuse me! I beg your pardon!"
66,verwacht,"verb, expect anticipate hope"
67,kopen,"verb, buy purchase market"
68,koffie,"noun, coffee"
69,onderzoek,"noun, research investigation examination"
70,gesproken,"verb, speak talk see"
71,herinner,"verb, remember remind recollect"
72,idioot,"noun, idiot fool bonehead"
