,Dutch,Quizlet
0,herinnering,"noun, reminder memory remembrance"
1,koninkrijk,"noun, kingdom realm"
2,bewaker,"noun, guard guardian warden"
3,bommen,"noun, bomb bombshell egg"
4,koos,"verb, choose select pick"
5,lunchen,"verb, lunch luncheon snack"
6,dringend,"adjective, urgent pressing instant"
7,verliet,"verb, leave abandon quit"
8,Florida,"noun, Florida"
9,bravo,"interjection, Bravo! Well done!"
10,lading,"noun, cargo charge load"
11,Lincoln,"No Google Info, No Google Info"
12,middernacht,"noun, midnight"
13,handelen,"verb, act trade deal"
14,terugtrekken,"verb, withdraw pull back move back"
15,bepalen,"verb, determine define decide"
16,illegaal,"adjective, backstreet"
17,verander,"verb, change alter turn"
18,geweren,"noun, rifle gun musket"
19,samenwerken,"verb, co-operate collaborate team"
20,partij,"noun, party lot batch"
21,levende,"noun, liver"
22,botten,"verb, bud"
23,brein,"noun, brain mastermind"
24,leid,"verb, lead guide manage"
25,groots,"adjective, grand magnificent grandiose"
26,grot,"noun, cave grotto cavern"
27,volgend,"adjective, next following subsequent"
28,zacht,"adjective, soft gentle mild"
29,volkomen,"adverb, completely entirely fully"
30,klasse,"noun, class classroom genus"
31,zone,"noun, zone dead-spot"
32,mannetje,"noun, male bull dog"
33,rand,"noun, edge outskirts border"
34,bied,"verb, offer propose"
35,smeerlap,"noun, pig skunk ragamuffin"
36,handtekening,"noun, signature"
37,wauw,"No Google Info, No Google Info"
38,namelijk,"adverb, namely viz to wit"
39,beters,"adjective, superior"
40,kerstfeest,"noun, Christmas Yule"
41,bedreiging,"noun, threat menace danger"
42,betekend,"verb, mean signify serve"
43,centrale,"noun, power station telephone exchange"
44,vet,"adjective, fat greasy fatty"
45,gedwongen,"adjective, forced compulsory constrained"
46,meld,"verb, report inform mention"
47,ogenblik,"noun, moment minute instant"
48,Maggie,"No Google Info, No Google Info"
49,plotseling,"adverb, suddenly short of a sudden"
50,zijde,"noun, side silk hand"
51,lied,"noun, song chant carol"
