,Dutch,Quizlet
0,vond,"verb, find think of hit upon"
1,praat,"noun, talking"
2,prima,"adjective, prime top choice"
3,betekent,"verb, mean signify serve"
4,soort,"noun, kind sort variety"
5,zaak,"noun, case matter business"
6,proberen,"verb, try attempt endeavor"
7,jack,"No Google Info, No Google Info"
8,spelen,"verb, play game perform"
9,lekker,"adjective, tasty nice delicious"
10,doden,"verb, kill slay jugulate"
11,gebruiken,"verb, use employ take"
12,groot,"adjective, large great big"
13,kent,"noun, the Garden of England"
14,boven,"adverb, above over upstairs"
15,water,"noun, water"
16,problemen,"noun, problem puzzler"
17,land,"noun, land earth home"
18,sta,"interjection, Stand fast!"
19,later,"adverb, later later on afterwards"
20,papa,"noun, papa father"
21,pakken,"verb, tackle pack take"
22,week,"noun, week hebdomad sennight"
23,schat,"noun, treasure darling dear"
24,voordat,"preposition, prior to"
25,zoveel,"adverb, so many how much how many"
26,vrij,"adjective, free clear leisure"
27,echte,"adjective, real genuine very"
28,stoppen,"verb, stop cease stop off"
29,klootzak,"noun, asshole son of a bitch"
30,beginnen,"verb, start begin commence"
31,alstublieft,"interjection, Please! Here you are! If you please!"
32,zodat,"conjunction, so that"
33,zorg,"noun, care worry anxiety"
34,mooie,"adjective, beautiful nice pretty"
35,wees,"noun, orphan"
36,vermoorden,"verb, murder assassinate slay"
37,mis,"adjective, wrong incorrect"
38,vooruit,"adverb, forward ahead in advance"
39,bellen,"verb, dial clang clank"
40,dochter,"noun, daughter"
41,vrouwen,"noun, women wives"
42,tien,"noun, ten"
43,hoeft,"verb, need require"
44,lopen,"verb, walk run foot"
45,hart,"noun, heart core breast"
46,snap,"verb, get snap see"
47,voorbij,"adjective, past preterite preterit"
48,los,"adjective, loose free lax"
49,vergeten,"verb, forget"
50,gebeuren,"verb, happen be occur"
51,bloed,"noun, blood bordeaux"
52,druk,"noun, pressure push pressing"
53,verhaal,"noun, story tale narrative"
54,moeilijk,"adjective, difficult tough tight"
55,hoi,"No Google Info, No Google Info"
