,Dutch,Quizlet
0,contant,"noun, cash down money"
1,varen,"verb, sail boat navigate"
2,set,"noun, series suit outfit"
3,opgehangen,"verb, hang hang up suspend"
4,bedrag,"noun, amount sum denomination"
5,knuffel,"verb, hug cuddle"
6,aangeboden,"verb, offer present tender"
7,verknald,"No Google Info, No Google Info"
8,kostte,"No Google Info, No Google Info"
9,jager,"noun, hunter huntsman chaser"
10,glimlach,"noun, smile"
11,love,"No Google Info, No Google Info"
12,sukkels,"No Google Info, No Google Info"
13,blank,"noun, blank"
14,McGee,"No Google Info, No Google Info"
15,overeind,"adverb, up on end endwise"
16,Russell,"No Google Info, No Google Info"
17,beurs,"noun, exchange purse scholarship"
18,onzichtbaar,"adjective, invisible sightless"
19,kandidaat,"noun, candidate nominee aspirant"
20,beroofd,"verb, rob deprive plunder"
21,uitgevoerd,"verb, perform carry out execute"
22,ton,"noun, tonne ton tub"
23,voetbal,"noun, football soccer leather"
24,dekken,"verb, cover hedge protect"
25,diepe,"adjective, deep low profound"
26,dominee,"noun, vicar clergyman parson"
27,leeuw,"noun, lion"
28,dieper,"adjective, lower"
29,Jill,"noun, Jill"
30,fortuin,"noun, fortune pile"
31,inzetten,"verb, insert stake put in"
32,zweet,"noun, sweat perspiration moisture"
33,Gina,"No Google Info, No Google Info"
34,gewoonte,"noun, habit custom wont"
35,gebouwen,"noun, building construction edifice"
36,Frodo,"No Google Info, No Google Info"
37,gebrek,"noun, lack absence defect"
38,bekennen,"verb, confess acknowledge avow"
39,durven,"verb, dare presume"
40,Justin,"No Google Info, No Google Info"
41,opzetten,"verb, put on pitch stuff"
42,zonen,"noun, son"
43,toont,"verb, show display demonstrate"
44,huren,"verb, rent hire charter"
45,gevuld,"adjective, stuffed full plump"
46,schoppen,"verb, kick toe"
47,geniaal,"adjective, ingenious genial"
48,officiële,"adjective, official authoritative set"
49,indien,"conjunction, if in case"
50,Japanse,"adjective, Japanese"
51,Harvard,"No Google Info, No Google Info"
52,erbuiten,"adverb, out"
53,mekaar,"No Google Info, No Google Info"
54,blok,"noun, block pad bloc"
55,tja,"No Google Info, No Google Info"
56,stierven,"verb, die perish pass away"
57,pijpen,"verb, pipe fife goffer"
58,brigadier,"noun, brigadier"
59,kwartier,"noun, quarter quarter of an hour billet"
60,interne,"adjective, internal inner resident"
61,wennen,"verb, get used to settle down habituate"
62,inzet,"noun, bet stakes stake"
63,mariniers,"noun, marine leatherneck"
64,plekje,"noun, site"
65,meesten,"No Google Info, No Google Info"
66,beseft,"verb, realize understand appreciate"
67,vielen,"verb, fall drop fall down"
68,waaraan,"adverb, whereat"
69,verward,"adjective, confused entangled confounded"
70,kleuren,"verb, color paint blush"
71,mysterie,"noun, mystery"
72,federatie,"noun, federation confederacy"
73,campagne,"noun, campaign"
74,verlangen,"noun, desire longing demand"
75,knal,"noun, pop bang report"
76,aankomt,"No Google Info, No Google Info"
77,behandelt,"verb, treat handle cure"
78,systemen,"noun, system outfit"
79,ernstige,"adjective, serious grave earnest"
80,circus,"noun, circus"
81,voordeur,"noun, front door"
82,rechtszaak,"noun, action cause"
83,maffia,"noun, mafia"
84,recept,"noun, recipe prescription formula"
85,grapjes,"No Google Info, No Google Info"
86,boeren,"verb, burp belch keck"
87,Travis,"No Google Info, No Google Info"
88,lente,"noun, spring springtime"
89,toekomstige,"adjective, future prospective coming"
90,verblijf,"noun, stay residence lodging"
91,moderne,"adjective, modern mod neoteric"
92,piano,"noun, piano pianoforte pianino"
93,terrorist,"noun, terrorist"
94,nuttig,"adjective, useful helpful profitable"
95,zaal,"noun, room saloon lounge"
96,vette,"adjective, fat greasy fatty"
97,afgemaakt,"verb, finish complete slaughter"
98,opgevoed,"verb, educate nurture breed"
99,overstuur,"adjective, unstrung in disorder"
100,beweert,"verb, claim argue assert"
101,bevriend,"adjective, friendly pally"
102,belangrijks,"adjective, important considerable great"
103,geactiveerd,"verb, activate"
104,draaide,"verb, turn rotate twist"
105,verklaar,"verb, explain state certify"
106,ezel,"noun, donkey ass easel"
107,tandarts,"noun, dentist odontologist"
108,chirurg,"noun, surgeon sawbones"
109,ontkennen,"verb, deny negate disavow"
110,fruit,"noun, fruit"
111,allemachtig,"adverb, mighty extremely"
112,speech,"No Google Info, No Google Info"
113,misverstand,"noun, misunderstanding misconception mistake"
114,vermijden,"verb, avoid shun waive"
115,paradijs,"noun, paradise Eden Shangri-la"
116,Spaans,"adjective, Spanish"
117,bewaard,"verb, keep save preserve"
118,behoort,"verb, belong ought must"
119,Sheldon,"No Google Info, No Google Info"
120,exact,"adjective, exact"
121,afdrukken,"verb, print print out imprint"
122,getrokken,"adjective, drawn"
123,slechtste,"No Google Info, No Google Info"
124,zingt,"verb, sing chant hymn"
125,lijdt,"verb, suffer passion smart"
126,megan,"No Google Info, No Google Info"
127,uitgeput,"adjective, exhausted used up worn"
128,Burke,"No Google Info, No Google Info"
129,engelen,"noun, angel"
130,drama,"noun, drama"
131,mochten,"verb, may"
132,Canada,"noun, Canada"
133,beledigd,"adjective, humiliating"
134,lage,"adjective, low base little"
135,dozen,"noun, box case container"
136,uniek,"adjective, unique singular one-off"
137,bruin,"adjective, brown swarthy"
138,dronk,"noun, drink draught"
139,vermiste,"verb, miss"
140,tegenstander,"noun, opponent adversary antagonist"
141,bronnen,"noun, source well spring"
142,wegkomen,"verb, get away get out get out of"
143,beschuldigd,"adjective, denunciatory"
144,kroon,"noun, crown coronet chandelier"
145,Lana,"No Google Info, No Google Info"
146,Ronnie,"No Google Info, No Google Info"
147,veranderingen,"noun, change alteration shift"
148,ruimen,"verb, empty evacuate"
149,commissie,"noun, committee commission errand"
150,fans,"noun, fan"
151,leerlingen,"noun, pupil learner apprentice"
152,straal,"noun, radius ray beam"
153,bleven,"verb, remain stay keep"
154,cellen,"noun, cell cello"
155,goeiemorgen,"No Google Info, No Google Info"
156,bukken,"verb, bend stoop"
157,machtig,"adjective, powerful mighty potent"
158,ontploft,"verb, explode detonate fulminate"
159,minuutje,"No Google Info, No Google Info"
160,kostuum,"noun, costume fancy dress rig"
161,borrel,"noun, drink shot snifter"
162,misselijk,"adjective, sick nauseous queasy"
163,weleens,"adverb, ever"
164,klop,"noun, knock rap throb"
165,concert,"noun, concert recital"
166,ritje,"noun, ride"
167,artsen,"noun, physician therapist"
168,juwelen,"noun, jewelry jewellery"
169,bliksem,"noun, lightning thunder"
170,verhuisd,"verb, move move out move house"
171,Spanje,"noun, Spain"
172,ambassade,"noun, embassy"
173,script,"noun, script screenplay"
174,luisterde,"verb, listen hear hearken"
175,levenslang,"adjective, lifelong perpetual"
176,opening,"noun, opening aperture hole"
177,regent,"noun, regent governor trustee"
178,symptomen,"noun, symptom indication diagnostic"
179,hitte,"noun, heat fire flame"
180,opent,"verb, open unlock lead off"
181,gemene,"adjective, common mean nasty"
182,handig,"adjective, handy clever nifty"
183,lamp,"noun, lamp bulb light"
184,officieren,"noun, officer subaltern"
185,boer,"noun, farmer peasant Jack"
186,reclame,"noun, advertisement publicity reclame"
187,ooh,"No Google Info, No Google Info"
188,opwindend,"adjective, exciting thrilling lively"
189,bedrogen,"No Google Info, No Google Info"
190,straling,"No Google Info, No Google Info"
191,hup,"No Google Info, No Google Info"
192,alpha,"No Google Info, No Google Info"
193,indianen,"No Google Info, No Google Info"
194,geluisterd,"verb, listen hear hearken"
195,dadelijk,"adverb, immediately at once readily"
196,kern,"noun, core heart nucleus"
197,spijtig,"adjective, regrettable"
198,krachtig,"adjective, powerful strong vigorous"
199,gerucht,"noun, rumor report noise"
