,Dutch,Quizlet
0,rotzooi,"noun, shit shambles disorder"
1,moed,"noun, courage bravery heart"
2,dichterbij,"No Google Info, No Google Info"
3,blanke,"noun, white paleface"
4,verbergen,"verb, hide conceal cover"
5,gaaf,"adjective, whole entire in good order"
6,voorkomen,"verb, prevent occur avert"
7,duivel,"noun, devil demon fiend"
8,persoonlijke,"adjective, personal private individual"
9,bepaalde,"adjective, specific fixed decided"
10,Rome,"noun, Rome"
11,rusten,"verb, rest lie sleep"
12,juffrouw,"noun, waitress mademoiselle"
13,fles,"noun, bottle flask jar"
14,kaarten,"noun, deck"
15,dna,"No Google Info, No Google Info"
16,stappen,"noun, steps"
17,vrije,"adjective, free clear leisure"
18,schijnt,"verb, seem shine appear"
19,favoriete,"noun, favorite favourite"
20,spelletje,"noun, game playgame"
21,broeder,"noun, brother sibling friar"
22,coach,"noun, coach"
23,overkomen,"verb, overcome befall seem"
24,poort,"noun, port gate gateway"
25,zomer,"noun, summer"
26,afgesproken,"adjective, agreed pre-arranged put-up"
27,bron,"noun, source well spring"
28,advies,"noun, opinion advice recommendation"
29,Pete,"No Google Info, No Google Info"
30,Jason,"No Google Info, No Google Info"
31,sukkel,"noun, softy dolt crock"
32,geslapen,"verb, sleep lie doss"
33,jaloers,"adjective, jealous envious yellow"
34,kogels,"noun, ball bullet shot"
35,kamp,"noun, camp encampment match"
36,zwak,"adjective, weak weakly faint"
37,gevolgd,"verb, follow track attend"
38,vertrokken,"verb, leave depart go"
39,stuurde,"verb, send steer forward"
40,menselijke,"adjective, human humane natural"
41,klanten,"noun, clientage"
42,lukken,"verb, work out"
43,Engeland,"noun, England Albion old country"
44,vingers,"noun, finger digit"
45,ziekte,"noun, disease illness sickness"
46,vissen,"verb, fish angle troll"
47,CIA,"No Google Info, No Google Info"
48,Mexico,"noun, Mexico"
49,locatie,"No Google Info, No Google Info"
50,vangen,"verb, catch capture trap"
51,waardoor,"conjunction, whereby"
52,nagedacht,"verb, reflect meditate pause"
53,gaven,"verb, give deliver impart"
54,medische,"adjective, medical medic sanitarian"
55,geloofde,"verb, believe think trust"
56,mooiste,"No Google Info, No Google Info"
57,broers,"noun, brother sibling"
58,tevreden,"adjective, satisfied pleased content"
59,city,"noun, City"
60,details,"phrase, the ins and outs"
61,gereed,"adjective, ready stand-by"
62,aangedaan,"adjective, affected"
63,zojuist,"No Google Info, No Google Info"
64,menselijk,"adjective, human humane natural"
65,blik,"noun, look glance view"
66,verband,"noun, connection context relation"
67,schot,"noun, shot round discharge"
68,punten,"verb, point nib"
69,domme,"adjective, stupid silly foolish"
70,vogel,"noun, bird fowl bobolink"
71,project,"No Google Info, No Google Info"
72,trekt,"verb, attract draw pull"
73,stemmen,"verb, vote tune voice"
74,genoegen,"noun, pleasure satisfaction delight"
75,burgemeester,"noun, mayor burgomaster Lord Mayor"
76,genezen,"verb, cure heal recover"
77,gedachte,"noun, thought idea think"
78,films,"noun, pix"
79,hoopte,"verb, hope trust"
80,doc,"No Google Info, No Google Info"
81,gebruikte,"verb, use employ take"
82,gelaten,"verb, let leave make"
83,voeren,"verb, carry run feed"
84,bedenken,"verb, think imagine devise"
85,bekijk,"verb, see look at look into"
86,verborgen,"adjective, hidden secret latent"
87,oplossing,"noun, solution resolution dissolution"
88,donder,"noun, thunder"
89,verdomd,"adjective, damned"
90,laag,"adjective, low base little"
91,km,"No Google Info, No Google Info"
92,bak,"noun, bin container tank"
93,speelde,"verb, play game perform"
94,verwachten,"verb, expect anticipate hope"
95,uitstekend,"adjective, excellent outstanding prime"
96,voedsel,"noun, food nutrition diet"
97,arts,"noun, physician therapist"
98,fouten,"noun, error mistake fault"
99,super,"adverb, supra"
100,testen,"verb, try"
101,kleur,"noun, color coloring suit"
102,aangevallen,"verb, attack assault charge"
103,station,"noun, station depot"
104,kip,"noun, chicken hen fowl"
105,Simon,"No Google Info, No Google Info"
106,piloot,"noun, pilot"
107,truck,"noun, truck lorry"
108,duizenden,"noun, mil chiliad"
109,kluis,"noun, safe hermitage strongroom"
110,maatje,"noun, mammy mummy maty"
111,des,"No Google Info, No Google Info"
112,echtgenoot,"noun, husband spouse yokefellow"
113,Don,"noun, don"
114,vermoordt,"verb, murder assassinate slay"
115,gouden,"adjective, golden gold"
116,elf,
117,gebleven,"verb, remain stay keep"
118,taal,"noun, language tongue speech"
119,sterker,"No Google Info, No Google Info"
120,noorden,"noun, north"
121,zwemmen,"noun, swimming swim"
122,hoewel,"conjunction, although though even though"
123,leugenaar,"noun, liar fibber fibster"
124,St.,"interjection, Hiss!"
125,vermist,"adjective, missing"
126,toon,"noun, tone note sound"
127,vijanden,"noun, enemy foe adversary"
128,meegemaakt,"verb, participate pass through"
129,compleet,"adjective, complete whole entire"
130,shirt,"noun, undershirt"
131,deuren,"noun, door gate portal"
132,vertrekt,"verb, leave depart go"
133,lijden,"noun, suffering pain"
134,geïnteresseerd,"adjective, interested one-track"
135,veroorzaakt,"verb, cause induce provoke"
136,telefoontje,"noun, call"
137,proces,"noun, trial lawsuit litigation"
138,tent,"noun, tent tabernacle pavilion"
139,harder,"noun, mullet"
140,drank,"noun, drink beverage liquor"
141,begrafenis,"noun, funeral burial entombment"
142,achtergelaten,"verb, leave leave behind vacate"
143,gedragen,"verb, wear bear carry"
144,war,"No Google Info, No Google Info"
145,verstand,"noun, mind sense understanding"
146,stuurt,"verb, send steer forward"
147,snapt,"verb, get snap see"
148,oplossen,"verb, solve resolve dissolve"
149,vaarwel,"noun, goodbye farewell bye"
