,Dutch,Quizlet
0,verkeer,"noun, traffic intercourse commerce"
1,rit,"noun, ride drive tour"
2,paspoort,"noun, passport"
3,verzekering,"noun, insurance assurance warrant"
4,vandaar,"adverb, hence thence there"
5,jongetje,"noun, brat"
6,waanzin,"noun, frenzy mania delirium"
7,bestellen,"verb, order deliver bespeak"
8,mobiel,"adjective, mobile"
9,vrouwelijke,"adjective, female feminine woman"
10,doof,"adjective, deaf"
11,werkelijkheid,"noun, fact actuality the real"
12,zusters,"noun, sister nurse sibling"
13,ruilen,"verb, exchange trade swap"
14,kopje,"noun, cup dobbin"
15,Todd,"No Google Info, No Google Info"
16,Olivia,"No Google Info, No Google Info"
17,inclusief,"adjective, including inclusive"
18,gif,"noun, poison toxic virus"
19,verzinnen,"verb, invent make up devise"
20,satelliet,"noun, satellite orbiter secondary"
21,betekenis,"noun, meaning significance sense"
22,motoren,"noun, engine motor motorcycle"
23,aard,"noun, nature kind character"
24,paleis,"noun, palace"
25,hoeren,"No Google Info, No Google Info"
26,wachtte,"verb, wait await expect"
27,bewijst,"verb, prove evidence show"
28,vullen,"verb, fill fill in cover"
29,slimmer,"No Google Info, No Google Info"
30,ondergoed,"noun, underclothes underclothing underwear"
31,uitvoeren,"verb, perform carry out execute"
32,overnemen,"verb, take over take on take"
33,uitkomen,"verb, come hatch lead"
34,Jessica,"No Google Info, No Google Info"
35,hoofdkwartier,"noun, headquarters head office"
36,goedemiddag,"interjection, Good afternoon!"
37,computers,"noun, computer processor"
38,getraind,"adjective, trained learned"
39,rollen,"verb, roll wallow welter"
40,leidde,"verb, lead guide manage"
41,longen,"noun, lung"
42,shuttle,"noun, shuttle"
43,duiken,"noun, diving"
44,it,"No Google Info, No Google Info"
45,scan,"verb, scan"
46,tenslotte,"adverb, finally eventually lastly"
47,dure,"adjective, expensive costly pricey"
48,middelen,"noun, resources means wherewithal"
49,raketten,"noun, rocket missile racket"
50,bewustzijn,"noun, consciousness awareness realization"
51,Hitler,"No Google Info, No Google Info"
52,stok,"noun, stick pole cane"
53,betrapt,"verb, catch nab surprise"
54,Walker,"No Google Info, No Google Info"
55,brandt,"verb, glow sting toast"
56,datum,"noun, date"
57,wijf,"noun, woman female vixen"
58,zielen,"noun, soul mind heart"
59,kreng,"noun, carrion carcass corpse"
60,ogenblikje,"noun, short moment jiffy jiff"
61,morgenvroeg,"No Google Info, No Google Info"
62,federale,"adjective, federal"
63,opgeblazen,"adjective, bloated puffy flatulent"
64,halt,"interjection, Stand fast! Stop!"
65,gele,"adjective, yellow xanthous"
66,woensdag,"noun, Wednesday"
67,mobiele,"adjective, mobile"
68,eerlijke,"adjective, honest fair straight"
69,ingehuurd,"No Google Info, No Google Info"
70,mulder,"noun, miller"
71,geladen,"verb, load charge lade"
72,biedt,"verb, offer propose"
73,bijt,"noun, ice hole"
74,koe,"noun, cow bovine"
75,etentje,"noun, merry-meeting"
76,bijeenkomst,"noun, meeting reunion gathering"
77,katten,"adjective, feline"
78,vrijen,"verb, woo court pet"
79,kwart,"noun, quarter"
80,coma,"No Google Info, No Google Info"
81,concentreer,"verb, concentrate condense"
82,snappen,"verb, get snap see"
83,link,"noun, link"
84,aanklager,"noun, prosecutor accuser plaintiff"
85,braaf,"adjective, good brave honest"
86,veiliger,"No Google Info, No Google Info"
87,beheersen,"verb, command dominate rule"
88,buitenlandse,"adjective, foreign alien outlandish"
89,plant,"noun, plant vegetable vegetation"
90,vloog,"verb, fly wing rush"
91,Miami,"No Google Info, No Google Info"
92,Sydney,"No Google Info, No Google Info"
93,slaaf,"noun, slave serf bondman"
94,nl.,"No Google Info, No Google Info"
95,slaven,"verb, slave drudge"
96,zeep,"noun, soap"
97,bloeden,"verb, bleed draw blood"
98,spelers,"noun, player actor gambler"
99,arresteer,"verb, arrest lag nick"
100,sector,"noun, sector"
101,coördinaten,"No Google Info, No Google Info"
102,overeen,"No Google Info, No Google Info"
103,zout,"adjective, salt salty saline"
104,ofzo,"adverb, or so"
105,kleiner,"adjective, less lesser minor"
106,traditie,"noun, tradition precedent"
107,konijn,"noun, rabbit cony"
108,symbool,"noun, symbol emblem"
109,ondervragen,"noun, questioning"
110,creëren,"verb, create"
111,afgewezen,"adjective, off-cast"
112,politieagent,"noun, policeman police officer cop"
113,borg,"noun, guarantee guarantor bail"
114,zorgde,"verb, care worry look"
115,documenten,"noun, document paper record"
116,voorzien,"verb, provide foresee anticipate"
117,Grant,"No Google Info, No Google Info"
118,vervolgens,"adverb, then subsequently thereafter"
119,kliniek,"noun, clinic"
120,vergeleken,"verb, compare liken parallel"
121,vredesnaam,"No Google Info, No Google Info"
122,oppakken,"verb, take up"
123,vroegen,"verb, ask question request"
124,defensie,"noun, defense defence"
125,info,"No Google Info, No Google Info"
126,cadeautje,"noun, fairing"
127,kwade,"adjective, evil angry bad"
128,eeuwige,"noun, eternities"
129,flinke,"adjective, brave solid goodly"
130,staren,"verb, stare gaze peer"
131,combinatie,"noun, combination"
132,opblazen,"verb, blow inflate puff"
133,zoektocht,"noun, search quest"
134,gedumpt,"No Google Info, No Google Info"
135,terugkeren,"verb, return go back revert"
136,discussie,"noun, discussion debate colloquy"
137,heuvel,"noun, hill hillock hummock"
138,avenue,"No Google Info, No Google Info"
139,nut,"noun, utility use profit"
140,lust,"noun, lust want inclination"
141,patroon,"noun, pattern cartridge patron"
142,bestemming,"noun, destination destiny fate"
143,dient,"verb, serve must minister"
144,verzonnen,"adjective, made fictional fictitious"
145,wegging,"No Google Info, No Google Info"
146,Kirk,"No Google Info, No Google Info"
147,turner,"No Google Info, No Google Info"
148,gespannen,"adjective, tense strained tight"
149,besefte,"verb, realize understand appreciate"
150,bloeddruk,"noun, blood pressure"
151,bevindt,"verb, find"
152,nachten,"noun, night nighttime"
153,stervende,"noun, dying moribund dyeing"
154,beleefd,"adjective, polite courteous civil"
155,neuk,"No Google Info, No Google Info"
156,hol,"adjective, hollow concave empty"
157,oordeel,"noun, judgment discretion verdict"
158,ontploffen,"verb, explode detonate fulminate"
159,eerwaarde,"noun, Excellency"
160,knie,"noun, knee"
161,Nina,"No Google Info, No Google Info"
162,buitenaardse,"No Google Info, No Google Info"
163,lieveling,"noun, favorite darling pet"
164,demonen,"noun, demon daemon"
165,studio,"noun, studio"
166,lawaai,"noun, noise din racket"
167,gehele,"adjective, whole entire overall"
168,verplaatst,"adjective, moved"
169,waag,"noun, scales weighs weigh scale"
170,college,"noun, college lecture"
171,pagina,"noun, page"
172,passie,"noun, passion interest lust"
173,mietje,"noun, pansy sissy poof"
174,Oliver,"No Google Info, No Google Info"
175,verspillen,"verb, waste spend squander"
176,lessen,"verb, quench slake allay"
177,zonden,"noun, sin transgression trespass"
178,techniek,"noun, technique technics mechanism"
179,relax,"No Google Info, No Google Info"
180,cirkel,"noun, circle circlet"
181,gebeten,"verb, bite nip sting"
182,natuurlijke,"adjective, natural native unsophisticated"
183,veronderstel,"verb, suppose presume allow"
184,applaus,"noun, applause plaudit salvo"
185,schoonmaken,"noun, cleaning cleanup evisceration"
186,kooi,"noun, cage berth cot"
187,doodsbang,"No Google Info, No Google Info"
188,India,"No Google Info, No Google Info"
189,riskeren,"verb, risk take a risk hazard"
190,brandstof,"noun, fuel combustible fuel oil"
191,veertig,"noun, forty"
192,voeden,"verb, feed nourish nurture"
193,betekende,"verb, mean signify serve"
194,grazen,"verb, graze pasture grass"
195,haatte,"verb, hate abhor abominate"
196,gewapend,"adjective, armed"
197,pure,"adjective, pure sheer clean"
198,verrot,"adjective, rotten putrid"
199,planten,"verb, plant set"
