,Dutch,Quizlet
0,hallo,"noun, hello hallo"
1,leuk,"adjective, nice entertaining amusing"
2,sorry,"interjection, Sorry! I am sorry!"
3,alle,"adjective, all"
4,elkaar,"adverb, each other one another"
5,toe,"preposition, to"
6,wist,"verb, know wit wot"
7,zegt,"verb, say tell put"
8,bedoel,"verb, mean intend design"
9,blijf,"verb, remain stay keep"
10,alsjeblieft,"interjection, Please!"
11,lang,"adjective, long tall prolonged"
12,meneer,"abbreviation, Mr."
13,ziet,"verb, see view look"
14,maakt,"verb, make do build"
15,luister,"noun, splendor magnificence pomp"
16,dingen,"verb, bargain sue chaffer"
17,mooi,"adjective, beautiful nice pretty"
18,werd,"verb, be become get"
19,eerste,"adjective, first initial former"
20,graag,"adverb, gladly willingly fain"
21,natuurlijk,"adverb, of course naturally no doubt"
22,houden,"verb, keep hold retain"
23,zonder,"preposition, without sans out of"
24,steeds,"adverb, always ever"
25,krijgen,"verb, get receive have"
26,grote,"adjective, large great big"
27,achter,"adverb, behind after post"
28,helemaal,"adverb, all completely quite"
29,naam,"noun, name first name title"
30,gek,"adjective, crazy mad fool"
31,blijven,"verb, remain stay keep"
32,onder,"adverb, under below underneath"
33,vriend,"noun, friend pal well-wisher"
34,geweest,"No Google Info, No Google Info"
35,kijken,"verb, look see glance"
36,geven,"verb, give deliver impart"
37,ging,"verb, go proceed work"
38,vertellen,"verb, tell relate narrate"
39,ooit,"adverb, ever sometime whilom"
40,snel,"adverb, quickly fast rapidly"
41,hand,"noun, hand mitt dukes"
42,idee,"noun, idea notion thought"
43,goede,"noun, well"
44,auto,"adjective, auto"
45,kwam,"verb, come get come to"
46,verdomme,"interjection, Blast it!"
47,beetje,"noun, bit little tad"
48,moest,"verb, must"
49,kinderen,"noun, children kids olive-branches"
50,wanneer,"adverb, when"
51,gebeurd,"verb, happen be occur"
52,jongen,"noun, boy lad pup"
53,bang,"adjective, afraid scared fearful"
54,vraag,"noun, question demand request"
55,lijkt,"verb, seem appear look"
56,geweldig,"adjective, immense violent colossal"
57,paar,"noun, couple pair couplet"
58,hoor,"verb, hear belong learn"
59,laatste,"noun, last"
60,deed,"verb, do make perform"
61,nieuwe,"adjective, new novel fresh"
62,vragen,"verb, ask question request"
63,kun,"No Google Info, No Google Info"
64,zag,"verb, see view look"
65,zorgen,"verb, care worry look"
66,staan,"verb, stand be face"
67,wereld,"noun, world universe"
68,eten,"verb, food eat meal"
69,jongens,"adjective, boyish"
70,enige,"adjective, some"
71,zelf,"pronoun, itself self myself"
72,want,"conjunction, because for as"
73,nemen,"verb, take reach seize"
74,heen,"adverb, away"
75,zo'n,"noun, sun daystar"
76,beste,"No Google Info, No Google Info"
77,ken,"verb, know"
78,vandaag,"adverb, today"
79,zelfs,"adverb, even"
80,ie,"No Google Info, No Google Info"
81,gezegd,"verb, say tell put"
82,hadden,"verb, have possess own"
83,vertel,"verb, tell relate narrate"
84,eerst,"adjective, first primary one"
85,gevonden,"verb, find think of hit upon"
86,zoon,"noun, son"
87,buiten,"adverb, outside out outdoors"
88,samen,"adverb, together"
89,denken,"verb, think think of conceive"
90,geloof,"noun, faith belief religion"
91,morgen,"adverb, tomorrow next day"
92,geleden,"adverb, ago since"
93,meisje,"noun, girl maid maiden"
94,thuis,"adverb, home in indoors"
95,denkt,"verb, think think of conceive"
96,rustig,"adjective, quiet tranquil calm"
97,mannen,"adjective, male"
98,halen,"verb, catch fetch bring"
99,probleem,"noun, problem puzzler"
